"УИК №934"	"УИК №935"	"УИК №936"	"УИК №937"	"УИК №938"	"УИК №939"	"УИК №940"	"УИК №941"	"УИК №942"	"УИК №943"	"УИК №944"	"УИК №945"	"УИК №946"	"УИК №947"	"УИК №948"	"УИК №949"	"УИК №950"	"УИК №951"	"УИК №952"	"УИК №953"	"УИК №954"	"УИК №955"	"УИК №956"	"УИК №957"	"УИК №958"	"УИК №959"	"УИК №960"	"УИК №961"	"УИК №962"	"УИК №963"	"УИК №964"	"УИК №965"	"УИК №966"	"УИК №967"	"УИК №968"	"УИК №969"	"УИК №970"	"УИК №971"	"УИК №972"	"УИК №973"	"УИК №974"	"УИК №975"	"УИК №976"	"УИК №977"	"УИК №978"	"УИК №979"	"УИК №980"	"УИК №981"	"УИК №982"	"УИК №983"	"УИК №984"	"УИК №985"	"УИК №986"	"УИК №987"	"УИК №988"	"УИК №989"	"УИК №990"	"УИК №991"	"УИК №992"	"УИК №993"	
1644	1505	1527	1730	1947	2742	760	1980	1037	1821	1869	2029	2467	2165	1850	1842	1995	1682	1586	1766	1746	1793	1630	1394	1577	1308	1736	1774	2216	1563	2255	2430	2156	2177	2130	2001	2163	2251	2356	2399	2109	1585	1465	1780	1740	1760	2028	2034	2025	1854	2559	2818	1598	1882	1910	1448	1059	1390	1659	1208	
1503	1341	1384	1287	1816	2314	833	1665	969	1790	1675	2072	2241	1998	1728	1755	1647	1512	1453	1674	1620	1738	1393	1144	1818	1753	1593	1606	1988	1383	1993	2138	1922	1802	1916	1913	2052	2052	2234	2278	1988	1326	1350	1665	1561	1620	1924	2004	1990	1900	2448	2592	1369	1638	1791	1283	1053	1296	1793	1276	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1179	1009	816	1165	1451	1899	537	1432	871	1243	993	1492	1548	1520	1236	1304	1118	1323	970	1098	1219	1259	1081	930	1369	1276	1349	1151	1415	905	1265	1538	1579	1586	1311	1358	1378	1760	1817	1656	1592	1150	940	1289	1231	1228	1449	1473	1416	1374	1849	1676	1207	1415	1327	1103	644	835	1044	989	
27	52	327	32	53	23	32	66	84	65	98	65	49	27	64	59	14	50	28	28	145	48	39	25	60	32	32	34	25	40	79	44	51	43	33	43	46	51	81	23	28	23	184	28	27	6	32	87	62	28	14	47	13	26	14	16	177	147	114	152	
297	280	241	90	312	392	264	167	14	482	584	515	644	451	428	392	515	139	455	548	256	431	273	189	389	445	211	421	548	438	649	556	292	173	572	512	628	241	336	599	368	153	226	348	303	386	443	444	512	498	585	869	149	197	450	164	232	314	635	135	
27	52	327	32	53	23	32	66	84	65	98	65	49	27	64	59	14	50	28	28	145	48	39	25	60	32	32	34	25	40	79	44	51	43	33	43	46	51	81	23	27	23	184	28	27	6	32	87	62	28	14	47	13	26	14	16	177	147	114	152	
1179	1009	816	1165	1451	1899	537	1432	871	1243	993	1492	1548	1520	1236	1304	1118	1323	970	1098	1219	1259	1081	930	1369	1276	1349	1151	1415	905	1265	1538	1576	1586	1311	1358	1378	1760	1817	1656	1592	1150	940	1289	1231	1220	1449	1473	1416	1374	1849	1676	1207	1415	1327	1103	644	835	1044	989	
16	13	13	15	16	19	7	21	9	16	9	19	23	7	23	8	14	18	12	11	0	17	14	9	6	8	14	4	15	6	17	18	17	12	15	13	18	19	20	21	11	14	10	14	12	7	11	21	25	13	22	15	14	12	16	8	4	5	10	11	
1190	1048	1130	1182	1488	1903	562	1477	946	1292	1082	1538	1574	1540	1277	1355	1118	1355	986	1115	1364	1290	1106	946	1423	1300	1367	1181	1425	939	1327	1564	1610	1617	1329	1388	1406	1792	1878	1658	1608	1159	1114	1303	1246	1219	1470	1539	1453	1389	1841	1708	1206	1429	1325	1111	817	977	1148	1130	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

17	6	6	10	6	13	4	8	8	8	4	16	12	7	16	12	5	8	6	6	8	9	12	7	7	7	4	8	13	8	10	13	10	6	12	9	14	10	15	15	14	5	13	9	8	5	12	16	14	13	12	14	7	7	9	9	5	7	6	5	
146	138	115	152	208	233	95	185	96	149	143	204	201	192	142	159	139	158	99	142	121	161	150	108	151	155	186	135	188	135	228	198	229	190	160	167	191	224	251	246	216	156	141	188	128	182	174	199	186	175	278	241	159	205	177	146	126	168	242	101	
62	65	83	82	88	125	28	126	97	101	80	105	103	92	81	97	82	91	68	80	85	110	83	58	87	76	68	70	78	48	86	116	106	98	81	86	69	103	107	94	104	84	75	103	68	69	109	128	93	88	84	105	84	72	77	70	85	57	76	112	
896	796	872	883	1114	1456	409	1120	710	983	814	1146	1168	1180	974	1025	851	1035	771	841	1097	953	813	733	1121	1008	1068	915	1103	711	945	1161	1193	1237	1022	1065	1060	1376	1435	1177	1204	865	848	955	983	911	1126	1148	1111	1062	1356	1263	906	1073	988	851	583	728	799	889	
24	21	24	22	25	33	20	14	11	24	18	24	39	29	17	27	13	20	22	17	16	22	19	16	17	30	16	13	16	14	22	28	30	35	18	23	21	35	26	53	33	17	14	19	26	25	24	17	16	14	45	42	15	26	29	20	4	5	5	8	
15	7	8	9	12	10	1	10	10	10	8	15	14	12	9	13	11	15	6	10	17	17	9	4	6	5	5	8	9	10	9	10	14	27	13	11	19	11	21	18	9	9	9	9	11	7	4	9	9	10	10	16	11	16	16	4	9	6	13	4	
18	0	12	14	19	18	2	7	9	6	8	11	17	15	18	12	12	15	8	7	10	8	8	8	18	6	15	13	9	4	17	18	15	13	11	11	15	15	11	24	11	16	9	9	13	8	6	12	13	13	26	20	13	13	13	7	2	4	3	5	
