"УИК №1642"	"УИК №1643"	"УИК №1644"	"УИК №1645"	"УИК №1646"	"УИК №1647"	"УИК №1648"	"УИК №1649"	"УИК №1650"	"УИК №1651"	"УИК №1652"	"УИК №1653"	"УИК №1654"	"УИК №1655"	"УИК №1656"	"УИК №1657"	"УИК №1658"	"УИК №1659"	"УИК №1660"	"УИК №1661"	"УИК №1662"	"УИК №1663"	"УИК №1665"	"УИК №1667"	"УИК №1668"	"УИК №1669"	"УИК №1670"	"УИК №1671"	"УИК №1672"	"УИК №1673"	"УИК №1674"	"УИК №1676"	"УИК №1677"	"УИК №1678"	"УИК №1679"	"УИК №1680"	"УИК №1683"	"УИК №1684"	"УИК №1685"	"УИК №1686"	"УИК №1687"	"УИК №1688"	"УИК №1689"	"УИК №1690"	"УИК №1691"	"УИК №1692"	"УИК №1693"	"УИК №1694"	"УИК №1695"	"УИК №1696"	"УИК №1697"	"УИК №1698"	"УИК №1699"	"УИК №1700"	"УИК №1701"	"УИК №1702"	"УИК №1703"	"УИК №1704"	"УИК №1705"	"УИК №1706"	"УИК №1707"	"УИК №1708"	"УИК №1709"	"УИК №1710"	"УИК №1711"	"УИК №1712"	"УИК №1713"	"УИК №1714"	"УИК №1715"	
1368	524	544	1292	102	1004	1129	1483	1048	1137	1119	1005	710	677	939	1612	829	1189	1181	270	160	310	200	195	94	509	106	207	476	142	471	535	119	623	145	363	195	141	86	360	96	37	361	230	68	177	529	328	85	267	665	260	164	67	622	199	258	361	282	930	373	268	301	73	213	64	72	96	120	
1100	450	450	1050	131	800	1000	1300	1000	1000	1000	1000	600	600	800	1200	700	1000	1000	290	170	325	230	210	95	500	100	200	450	190	430	600	110	600	150	350	190	140	90	350	100	38	380	230	70	180	550	300	90	270	650	280	180	60	650	200	250	400	300	900	350	280	300	70	210	65	75	96	125	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
628	279	268	707	83	579	622	869	572	607	714	662	398	401	512	911	497	668	691	214	144	275	114	108	72	362	72	154	386	78	311	381	97	457	98	235	120	87	48	242	73	32	310	170	57	131	353	214	49	179	442	148	113	53	428	148	165	243	179	544	248	215	227	61	158	51	72	46	117	
52	10	15	63	18	32	37	56	69	46	48	33	17	17	26	42	33	77	52	39	4	12	24	38	10	23	3	15	32	45	27	41	5	20	13	27	0	0	2	46	7	2	12	10	0	23	31	16	10	37	63	71	35	0	32	9	23	40	5	108	56	35	28	7	26	0	0	50	0	
420	161	167	280	30	189	341	375	359	347	238	305	185	182	262	247	170	255	257	37	22	38	92	64	13	115	25	31	32	67	92	178	8	123	39	88	70	53	40	62	20	4	58	50	13	26	166	70	31	54	145	61	32	7	190	43	62	117	116	248	46	30	45	2	26	14	3	0	8	
52	10	15	63	18	32	37	56	69	46	48	33	17	17	26	42	33	77	52	39	4	12	24	38	10	23	3	15	32	45	27	41	5	20	13	27	0	0	2	46	7	2	12	10	0	23	31	16	10	37	63	71	35	0	32	9	23	40	5	108	56	35	28	7	26	0	0	50	0	
628	279	268	707	83	579	622	869	572	607	714	662	398	401	512	911	497	668	691	214	144	275	114	108	72	362	72	154	386	78	310	381	97	457	98	235	120	87	48	242	73	32	310	170	57	131	353	214	49	179	442	148	113	53	428	148	165	243	179	544	248	215	227	61	158	51	72	46	117	
5	3	2	6	7	5	7	13	4	10	9	1	6	5	3	7	2	16	6	1	1	2	0	0	1	5	0	3	10	2	4	7	0	6	4	4	1	1	0	1	0	1	0	1	0	4	4	8	0	3	3	16	0	0	6	0	1	2	4	14	4	2	2	0	2	0	0	0	0	
675	286	281	764	94	606	652	912	637	643	753	694	409	413	535	946	528	729	737	252	147	285	138	146	81	380	75	166	408	121	333	415	102	471	107	258	119	86	50	287	80	33	322	179	57	150	380	222	59	213	502	203	148	53	454	157	187	281	180	638	300	248	253	68	182	51	72	96	117	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

10	12	9	31	3	14	18	27	9	10	23	29	10	12	17	20	17	8	17	1	0	2	0	0	2	4	1	0	6	1	5	7	2	4	0	6	4	2	2	2	1	0	5	1	0	2	5	4	0	4	7	19	0	0	11	2	5	3	6	3	5	9	5	1	3	2	0	2	2	
139	68	51	159	6	142	162	256	167	161	205	145	77	94	126	249	127	181	208	24	15	32	13	11	8	107	19	23	89	16	53	65	14	88	7	33	16	6	5	36	11	0	28	28	5	17	81	49	2	31	84	22	15	6	102	19	13	50	24	114	51	21	43	4	48	11	4	16	26	
57	26	31	43	22	41	52	54	45	23	45	41	39	28	44	81	41	48	58	22	15	20	8	15	7	36	8	16	48	14	36	55	8	39	6	33	8	2	3	20	19	2	25	18	9	7	2	21	5	7	49	20	5	2	29	18	14	22	20	73	45	16	13	4	12	2	13	9	11	
459	173	184	522	59	394	406	556	406	439	467	459	269	265	330	571	326	479	435	203	112	230	115	117	58	226	45	125	258	86	231	275	77	327	92	180	87	74	39	225	49	31	257	128	43	117	282	145	48	159	351	140	128	45	297	114	152	203	128	438	191	193	186	59	113	36	52	68	75	
4	1	1	4	2	4	9	6	4	4	6	5	7	9	4	8	5	5	6	2	1	0	1	2	3	2	1	1	2	1	1	5	0	5	1	2	1	1	1	2	0	0	0	2	0	3	2	1	4	5	6	1	0	0	2	4	3	3	1	4	2	4	0	0	3	0	2	0	1	
1	2	1	2	2	4	1	6	4	2	2	3	3	0	2	6	4	3	2	0	4	1	0	0	0	1	0	1	1	1	1	2	1	1	1	0	3	1	0	2	0	0	3	0	0	0	6	2	0	6	3	0	0	0	9	0	0	0	0	3	1	0	4	0	2	0	1	0	1	
3	2	2	1	0	5	1	3	2	4	1	2	2	4	4	6	2	3	6	0	0	0	1	1	1	3	0	0	4	0	5	2	0	6	0	3	0	0	0	0	0	0	3	2	0	4	1	0	0	1	0	0	0	0	2	0	0	0	0	1	1	3	0	0	1	0	0	1	1	
2	2	2	2	0	2	3	4	0	0	4	10	2	1	8	5	6	2	5	0	0	0	0	0	2	1	1	0	0	2	1	4	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	1	0	0	2	0	0	0	1	2	4	2	2	0	0	0	0	0	0	
