"УИК №331"	"УИК №332"	"УИК №333"	"УИК №334"	"УИК №335"	"УИК №336"	"УИК №337"	"УИК №338"	"УИК №339"	"УИК №340"	"УИК №341"	"УИК №342"	"УИК №343"	"УИК №344"	"УИК №345"	"УИК №346"	"УИК №347"	"УИК №348"	"УИК №349"	"УИК №350"	"УИК №351"	"УИК №352"	"УИК №353"	"УИК №354"	"УИК №355"	"УИК №356"	"УИК №357"	"УИК №358"	"УИК №359"	"УИК №360"	"УИК №361"	"УИК №362"	"УИК №363"	"УИК №364"	"УИК №365"	"УИК №366"	"УИК №367"	"УИК №368"	"УИК №369"	"УИК №370"	"УИК №371"	"УИК №372"	"УИК №373"	"УИК №374"	"УИК №375"	"УИК №376"	"УИК №377"	"УИК №378"	"УИК №379"	"УИК №380"	"УИК №381"	"УИК №382"	
2276	2021	1300	2638	1993	2210	2435	2224	2378	2293	2469	2603	2224	2757	2076	2198	2062	1317	2910	2105	1690	2244	2223	2717	1169	1915	1574	1970	1625	2413	2257	1414	2034	1930	1925	2067	1179	1815	1471	2149	2272	2610	2443	2678	1910	2060	1155	2720	2402	2600	2769	280	
2000	2000	1000	2500	1900	2000	2500	2000	2200	2000	2200	2200	2000	2500	2000	2000	2000	1000	2500	2000	1500	2000	2000	2200	1000	1900	1500	1700	1500	2000	2000	1300	2000	1900	2000	2000	900	1700	1300	2000	2000	2300	2200	2500	1800	1800	1100	2500	2200	2500	2500	282	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1301	1219	663	1523	1035	1130	1404	1252	1345	1334	1341	1266	1142	1445	1204	1251	1151	676	1376	1182	941	1315	1272	1357	659	1090	946	1179	903	1488	1289	861	1264	1156	1018	1188	793	1116	877	1135	1055	1400	1403	1724	1018	1189	527	1640	1506	1607	1457	280	
32	30	55	21	15	30	33	35	26	15	38	53	21	65	18	36	17	3	15	40	35	21	27	33	13	36	30	67	26	35	79	21	15	32	29	34	5	36	89	30	17	9	22	10	34	29	20	35	14	20	5	0	
667	751	282	956	850	840	1063	713	829	651	821	881	837	990	778	713	832	321	1109	778	524	664	701	810	328	774	524	454	571	477	632	418	721	712	953	778	102	548	334	835	928	891	775	766	748	582	553	825	680	873	1038	2	
32	30	55	21	15	30	33	35	26	15	38	53	21	65	18	36	17	3	15	40	35	21	27	33	13	36	30	67	26	35	79	21	15	32	29	34	5	36	89	30	17	9	22	10	34	29	20	35	14	20	5	0	
1299	1218	663	1523	1035	1130	1399	1252	1344	1332	1340	1263	1142	1445	1203	1251	1148	676	1376	1182	941	1315	1272	1357	659	1088	946	1177	903	1487	1289	861	1264	1156	1018	1187	793	1114	877	1134	1047	1399	1401	1724	1017	1187	527	1639	1506	1606	1457	280	
9	7	8	14	13	7	14	15	9	14	13	17	6	14	10	9	21	7	14	17	11	17	12	20	11	16	10	17	10	13	22	3	13	18	8	18	8	10	7	15	13	14	13	10	11	16	34	25	10	11	9	6	
1322	1241	710	1530	1037	1153	1418	1272	1361	1333	1365	1299	1157	1496	1211	1278	1144	672	1377	1205	965	1319	1287	1370	661	1108	966	1227	919	1509	1346	879	1266	1170	1039	1203	790	1140	959	1149	1051	1394	1410	1724	1040	1200	513	1649	1510	1615	1453	274	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	6	6	12	8	14	16	10	17	11	10	11	6	5	3	13	4	4	9	12	12	12	10	9	12	12	16	15	4	12	11	8	9	10	8	10	5	9	5	16	12	8	4	14	6	7	2	8	8	12	14	1	
183	150	94	193	125	134	162	153	141	166	147	154	117	170	145	161	120	85	150	143	98	167	167	174	94	183	125	123	115	166	159	91	123	131	141	116	78	123	137	147	108	164	171	168	121	121	56	225	181	173	169	19	
55	63	36	47	53	75	64	61	65	56	63	60	56	107	78	67	62	46	70	55	48	56	64	67	35	34	44	52	42	59	60	50	70	55	49	64	36	47	43	56	59	73	66	105	56	56	31	89	93	89	76	52	
919	870	504	1108	761	818	1039	930	1004	1001	1013	983	912	1145	915	981	901	502	1068	859	747	938	926	961	452	745	677	942	651	1105	959	650	944	872	729	896	607	852	695	800	790	1053	1031	1338	781	930	386	1234	1145	1260	1106	172	
73	69	34	62	30	61	56	46	59	54	55	43	27	30	36	24	24	15	38	50	21	67	63	88	31	69	49	39	41	76	64	43	45	48	51	43	34	51	44	63	32	39	65	46	34	42	15	34	41	39	38	28	
11	7	4	16	8	13	15	10	10	13	13	7	5	11	12	7	7	4	4	9	10	8	3	9	5	12	9	9	5	15	14	5	10	7	11	13	4	9	4	7	12	13	6	10	7	6	6	15	9	9	9	1	
25	21	8	50	18	17	25	23	22	12	27	22	13	12	10	11	9	9	17	27	8	28	18	22	14	10	12	18	10	23	21	9	26	20	19	17	10	22	10	22	14	17	22	18	11	20	5	20	18	16	17	1	
53	55	24	42	34	21	41	39	43	20	37	19	21	16	12	14	17	7	21	50	21	43	36	40	18	43	34	29	51	53	58	23	39	27	31	44	16	27	21	38	24	27	45	25	24	18	12	24	15	17	24	0	
