"УИК №2801"	"УИК №2802"	"УИК №2803"	"УИК №2804"	"УИК №2805"	"УИК №2806"	"УИК №2807"	"УИК №2808"	"УИК №2809"	"УИК №2810"	"УИК №2811"	"УИК №2812"	"УИК №2814"	"УИК №2815"	"УИК №2816"	"УИК №2817"	"УИК №2818"	"УИК №2819"	"УИК №2820"	"УИК №2821"	"УИК №2822"	"УИК №2823"	"УИК №2824"	"УИК №2825"	"УИК №2826"	"УИК №2827"	"УИК №2828"	"УИК №2829"	"УИК №2830"	"УИК №2831"	"УИК №2832"	"УИК №2833"	"УИК №2834"	"УИК №2835"	"УИК №2836"	"УИК №2837"	"УИК №2838"	"УИК №2839"	"УИК №2840"	"УИК №2841"	"УИК №2842"	"УИК №2843"	"УИК №2844"	"УИК №2845"	"УИК №2846"	"УИК №2847"	"УИК №2848"	"УИК №2849"	"УИК №2850"	"УИК №2851"	"УИК №2852"	"УИК №2853"	"УИК №2854"	"УИК №2855"	"УИК №2856"	"УИК №2857"	"УИК №2858"	"УИК №2859"	"УИК №2860"	
2505	2403	2457	2439	2789	2626	2429	1514	1007	2609	1062	2192	1381	2397	2251	2230	1766	1427	1703	850	2408	2418	364	2455	2154	2486	1019	614	1908	2332	920	915	1159	603	252	477	677	882	705	754	508	838	401	662	350	1330	813	1523	2044	711	317	330	191	215	627	706	1968	202	1239	
2300	2200	2300	2200	2500	2300	2300	1400	900	2400	1000	2000	1200	2100	2100	2100	1500	1300	1600	800	2200	2200	360	2200	1900	2200	900	530	1900	2200	900	900	950	560	230	440	660	820	660	710	470	850	340	650	320	1200	740	1400	2000	650	310	300	160	200	620	640	1900	180	1200	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1511	1546	1367	1475	2185	1735	1484	911	647	1812	705	1199	803	1825	1382	1705	1101	930	1117	502	1529	1375	223	1460	1401	1501	644	452	1434	1223	718	497	628	390	131	354	329	506	284	247	179	282	278	301	222	566	408	752	1020	401	216	156	117	136	385	422	1023	109	790	
63	137	85	51	100	185	105	87	65	77	52	87	42	60	102	79	45	90	78	53	145	188	131	105	103	148	55	45	187	182	68	89	223	75	51	44	165	130	104	145	88	147	61	184	60	205	132	365	179	181	38	103	35	38	117	129	130	48	221	
726	517	848	674	215	380	711	402	188	511	243	714	355	215	616	316	354	280	405	245	526	637	6	635	396	551	201	33	279	795	114	314	99	95	48	42	166	184	272	318	203	421	1	165	38	429	200	283	801	68	56	41	8	26	118	89	747	23	189	
63	137	85	51	100	185	105	87	65	77	52	87	42	60	102	79	45	90	78	53	145	188	131	105	103	148	55	45	187	182	68	89	223	75	51	44	165	130	104	145	88	147	61	184	60	205	132	365	179	181	38	103	35	38	117	129	130	48	221	
1506	1546	1367	1475	2185	1550	1484	911	647	1812	705	1199	803	1825	1382	1705	1101	930	1117	502	1529	1375	223	1460	1401	1501	644	452	1434	1223	718	497	628	390	131	354	329	506	284	247	179	282	278	301	222	566	408	752	1020	401	216	156	117	136	385	422	1023	109	790	
28	19	16	26	38	27	13	15	5	14	7	18	4	17	15	17	21	0	13	7	16	18	2	17	20	20	9	4	9	12	2	0	6	6	2	5	0	6	3	0	2	1	0	9	3	6	2	11	14	0	0	3	0	0	0	1	7	1	0	
1541	1664	1436	1500	2247	1708	1576	983	707	1875	750	1268	841	1868	1469	1767	1125	1020	1182	548	1658	1545	352	1548	1484	1629	690	493	1612	1393	784	586	845	459	180	393	494	630	385	392	265	428	339	476	279	765	538	1106	1185	582	254	256	152	174	502	550	1146	156	1011	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

17	7	8	12	8	15	9	4	7	17	3	8	10	9	6	10	11	4	1	6	14	9	3	15	11	11	2	2	4	5	2	4	11	3	0	2	6	0	3	1	2	3	1	5	4	1	1	5	6	3	0	1	0	3	0	0	5	0	5	
123	168	135	139	183	172	140	89	67	159	59	129	71	130	163	115	103	99	134	66	165	156	16	126	143	162	97	42	53	131	49	48	84	47	13	33	35	67	44	29	24	47	22	40	17	50	65	73	104	57	10	19	4	7	12	23	82	12	64	
110	126	107	111	150	121	87	98	51	164	61	106	80	138	108	112	101	42	89	32	135	110	16	106	93	125	42	30	60	90	31	17	57	31	17	29	43	54	23	30	16	36	17	39	12	41	34	83	66	43	12	17	17	11	14	32	74	7	52	
1234	1303	1126	1181	1825	1334	1270	758	552	1460	604	973	653	1523	1137	1456	869	856	916	421	1287	1204	304	1230	1188	1263	533	405	1474	1134	691	508	655	372	144	318	393	496	306	326	217	331	291	386	243	653	420	924	985	464	227	217	129	145	470	488	953	134	876	
20	20	23	16	39	28	27	7	9	31	13	16	12	19	20	26	14	14	15	6	21	22	7	22	16	25	4	6	8	17	3	3	7	2	1	4	3	4	5	2	3	6	3	2	1	7	4	7	9	5	1	1	1	4	2	4	9	2	3	
13	14	11	14	13	10	11	10	5	12	4	4	7	18	4	19	9	0	5	5	13	20	2	15	10	18	3	2	7	5	2	4	10	0	2	2	5	4	0	1	0	2	3	0	0	2	7	6	8	4	1	1	1	2	1	1	9	1	3	
13	8	13	14	12	13	15	4	8	21	3	17	4	16	12	8	12	0	11	6	12	16	1	14	14	6	2	5	4	4	4	0	14	3	1	1	5	4	3	0	2	2	2	4	0	5	4	6	4	2	2	0	0	0	2	0	8	0	4	
11	18	13	13	17	15	17	13	8	11	3	15	4	15	19	21	6	5	11	6	11	8	3	20	9	19	7	1	2	7	2	2	7	1	2	4	4	1	1	3	1	1	0	0	2	6	3	2	3	4	1	0	0	2	1	2	6	0	4	
