"УИК №201"	"УИК №202"	"УИК №203"	"УИК №204"	"УИК №205"	"УИК №206"	"УИК №207"	"УИК №208"	"УИК №209"	"УИК №210"	"УИК №211"	"УИК №212"	"УИК №213"	"УИК №214"	"УИК №215"	"УИК №216"	"УИК №217"	"УИК №218"	"УИК №219"	"УИК №220"	"УИК №221"	"УИК №222"	"УИК №223"	"УИК №224"	"УИК №225"	"УИК №226"	"УИК №227"	"УИК №228"	"УИК №229"	"УИК №230"	"УИК №231"	"УИК №232"	"УИК №233"	"УИК №234"	"УИК №235"	"УИК №236"	"УИК №237"	"УИК №238"	"УИК №239"	
731	527	604	558	303	192	129	287	222	412	382	562	263	252	337	229	234	95	115	189	498	143	425	231	288	167	322	265	168	185	192	210	245	223	230	239	355	218	231	
850	600	700	600	400	220	150	330	250	490	460	650	330	300	390	270	280	100	150	210	620	150	510	310	350	240	370	300	190	185	250	235	310	265	300	280	440	265	260	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
645	471	539	457	257	169	111	250	194	311	334	441	223	214	282	175	202	78	98	153	424	126	366	189	241	128	275	226	146	144	161	165	194	186	208	196	260	179	179	
10	15	20	44	40	15	7	31	18	87	40	91	36	32	51	40	26	13	14	32	48	16	51	30	42	36	32	28	15	31	24	25	34	27	12	37	65	23	35	
195	114	141	99	103	36	32	49	38	92	86	118	71	54	57	55	52	9	38	25	148	8	93	91	67	76	63	46	29	10	65	45	82	52	80	47	115	63	46	
10	15	20	44	40	15	7	31	18	87	40	91	36	32	51	40	26	13	14	32	48	16	51	30	42	36	32	28	15	31	24	25	34	27	12	37	65	23	35	
645	471	539	457	257	169	111	250	194	311	334	441	223	214	282	175	202	78	98	153	424	126	366	189	241	128	275	226	146	144	161	165	194	186	208	196	260	179	179	
12	5	9	8	6	1	2	5	4	12	4	8	4	5	3	2	2	0	1	5	4	0	13	3	4	0	5	2	3	4	6	2	4	4	1	1	8	2	3	
643	481	550	493	291	183	116	276	208	386	370	524	255	241	330	213	226	91	111	180	468	142	404	216	279	164	302	252	158	171	179	188	224	209	219	232	317	200	211	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	4	1	5	0	0	0	2	1	2	1	3	0	2	3	0	1	0	1	1	2	1	0	4	0	0	1	1	0	1	1	1	1	1	0	1	0	0	0	
119	96	104	98	37	26	18	44	50	43	48	70	45	42	28	13	27	8	10	13	91	7	37	16	27	18	53	20	13	18	26	38	31	69	20	12	51	28	22	
50	29	30	32	7	7	7	11	4	13	19	32	7	8	22	7	6	2	11	17	17	1	19	15	14	5	10	13	2	5	8	16	16	11	13	8	18	6	5	
464	339	396	348	238	149	90	216	151	319	294	409	198	182	274	193	188	80	89	146	347	131	335	176	236	137	235	215	138	143	140	132	169	119	177	209	244	161	183	
5	7	8	5	4	0	0	2	0	1	5	4	3	5	2	0	3	1	0	1	6	0	6	1	0	2	2	2	2	2	1	1	4	2	3	1	2	4	0	
1	1	2	4	5	1	1	0	1	5	3	2	1	0	0	0	0	0	0	1	3	0	6	2	0	1	1	0	1	1	1	0	1	4	2	1	1	1	0	
0	3	4	1	0	0	0	1	1	2	0	1	1	1	1	0	0	0	0	1	1	0	0	2	1	1	0	0	1	1	1	0	2	3	2	0	1	0	0	
1	2	5	0	0	0	0	0	0	1	0	3	0	1	0	0	1	0	0	0	1	2	1	0	1	0	0	1	1	0	1	0	0	0	2	0	0	0	1	
