"УИК №500"	"УИК №501"	"УИК №502"	"УИК №503"	"УИК №504"	"УИК №505"	"УИК №506"	"УИК №507"	"УИК №508"	"УИК №509"	"УИК №510"	"УИК №511"	"УИК №512"	"УИК №513"	"УИК №514"	"УИК №515"	"УИК №516"	"УИК №517"	"УИК №518"	"УИК №519"	
1451	1253	1330	1281	1249	1169	1439	1917	1374	1213	1305	1460	1153	1152	1385	1303	1244	1379	1388	1610	
1410	1315	1375	1335	1320	1225	1445	1555	1440	1265	1260	1520	1220	1220	1455	1355	1325	1445	1450	1565	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
905	807	854	867	777	779	995	1403	909	798	847	985	765	793	937	874	847	958	947	1152	
10	13	11	15	15	12	20	25	20	5	11	20	12	15	13	12	10	11	17	13	
495	495	510	453	528	434	430	127	511	462	402	515	443	412	505	469	468	476	486	400	
10	13	11	15	15	12	20	25	20	5	11	20	12	15	13	12	10	11	17	13	
905	807	854	867	777	779	995	1402	909	797	847	985	765	793	936	874	846	958	947	1152	
24	23	8	19	15	8	21	32	19	18	20	18	13	23	21	16	14	14	20	17	
891	797	857	863	777	783	994	1395	910	784	838	987	764	785	928	870	842	955	944	1148	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	3	3	2	6	7	3	7	6	4	5	5	3	7	8	9	4	5	3	6	
144	110	122	114	100	112	131	242	119	104	130	160	89	94	140	132	127	129	151	136	
77	45	66	64	71	68	67	135	58	53	82	89	64	58	63	64	69	68	80	100	
650	614	638	661	586	577	761	963	696	598	606	707	584	605	693	634	609	719	675	873	
7	10	12	10	6	9	17	20	10	7	11	8	15	10	11	18	10	19	14	17	
4	5	9	3	2	2	7	10	7	7	2	8	3	4	5	3	5	5	4	5	
4	6	3	6	1	3	5	12	8	6	1	6	0	3	2	3	11	4	8	3	
2	4	4	3	5	5	3	6	6	5	1	4	6	4	6	7	7	6	9	8	
