"УИК №3118"	"УИК №3119"	"УИК №3120"	"УИК №3121"	"УИК №3122"	"УИК №3123"	"УИК №3124"	"УИК №3125"	"УИК №3126"	"УИК №3127"	"УИК №3128"	"УИК №3129"	"УИК №3130"	"УИК №3131"	"УИК №3132"	"УИК №3133"	"УИК №3134"	"УИК №3135"	"УИК №3136"	"УИК №3137"	"УИК №3138"	"УИК №3139"	"УИК №3140"	"УИК №3141"	"УИК №3142"	
2222	1931	2915	1856	1663	1728	2239	1759	1851	1954	1737	1794	1855	1857	2014	1728	1738	1836	1833	1847	1853	1697	2169	1639	605	
1700	1500	2200	1500	1300	1400	1700	1400	1500	1500	1500	1500	1500	1500	1600	1500	1400	1500	1500	1500	1500	1400	1700	1300	500	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1366	1167	1705	1166	940	1067	1427	1085	1074	1151	984	1143	1192	1118	1218	1077	1085	1135	1122	1173	1148	1055	1192	1043	368	
26	19	16	22	23	21	21	31	29	30	36	34	8	33	43	36	29	28	28	33	19	14	17	18	4	
308	314	479	312	337	312	252	284	397	319	480	323	300	349	339	387	286	337	350	294	333	331	491	239	128	
26	19	16	22	23	21	21	31	29	30	36	34	8	33	43	36	29	28	28	33	19	14	17	18	4	
1366	1167	1705	1166	940	1067	1426	1085	1069	1149	983	1143	1192	1117	1217	1077	1084	1135	1122	1173	1148	1055	1192	1042	368	
9	14	37	25	9	21	17	12	15	13	18	8	17	22	14	15	19	17	14	34	17	16	16	18	3	
1383	1172	1684	1163	954	1067	1430	1104	1083	1166	1001	1169	1183	1128	1246	1098	1094	1146	1136	1172	1150	1053	1193	1042	369	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

16	11	11	14	11	13	13	10	12	8	17	13	9	11	14	17	10	9	17	13	8	12	7	13	1	
209	125	232	191	170	155	204	148	150	170	113	201	194	144	135	125	169	149	178	171	185	134	180	132	62	
72	72	101	53	49	58	65	50	62	62	42	55	54	72	58	63	55	59	41	64	69	48	47	55	28	
1000	897	1241	807	658	767	1014	817	801	870	761	815	847	841	960	837	784	830	837	854	830	789	873	768	256	
30	23	34	36	30	26	57	31	17	23	20	30	27	28	34	25	32	27	20	23	30	20	41	31	8	
8	8	11	10	10	10	11	4	6	4	15	13	6	4	15	5	8	7	6	10	6	6	7	7	5	
17	13	22	20	7	14	31	12	9	12	11	13	20	10	13	9	8	29	15	9	5	14	14	9	3	
31	23	32	32	19	24	35	32	26	17	22	29	26	18	17	17	28	36	22	28	17	30	24	27	6	
