"УИК №1640"	"УИК №1641"	"УИК №1642"	"УИК №1643"	"УИК №1644"	"УИК №1645"	"УИК №1646"	"УИК №1647"	"УИК №1648"	"УИК №1649"	"УИК №1650"	"УИК №1651"	"УИК №1652"	"УИК №1653"	"УИК №1654"	"УИК №1655"	"УИК №1656"	
2373	1007	1954	576	110	515	502	1238	632	325	790	614	154	578	539	676	360	
2368	986	1894	557	102	508	498	1207	651	321	770	609	153	570	516	640	359	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1452	583	1351	375	70	361	337	782	393	208	539	396	108	375	332	464	216	
120	82	95	61	8	27	72	126	76	39	39	39	13	45	32	116	60	
796	321	448	121	24	120	89	299	182	74	192	174	32	150	152	60	83	
120	82	95	61	8	27	72	126	76	39	39	39	13	45	32	116	60	
1452	583	1351	375	70	361	337	782	393	208	539	396	108	375	332	464	216	
25	10	6	4	0	2	0	7	6	0	0	0	0	0	4	0	0	
1547	655	1440	432	78	386	409	901	463	247	578	435	121	420	360	580	276	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

15	3	5	0	2	0	0	2	2	0	6	5	2	1	2	2	1	
261	137	257	58	4	49	31	131	74	31	101	58	10	28	88	62	62	
81	47	39	17	1	20	9	38	14	8	31	21	6	11	15	13	19	
1149	457	1099	348	69	311	363	704	361	205	429	345	100	374	249	490	186	
13	2	12	3	2	3	1	16	6	2	6	3	2	4	6	3	2	
18	3	17	4	0	2	3	6	4	0	4	0	0	1	0	1	1	
4	5	7	1	0	1	2	4	0	0	1	1	1	1	0	2	3	
6	1	4	1	0	0	0	0	2	1	0	2	0	0	0	7	2	
