"УИК №2005"	"УИК №2006"	"УИК №2007"	"УИК №2008"	"УИК №2009"	"УИК №2010"	"УИК №2011"	"УИК №2012"	"УИК №2013"	"УИК №2014"	"УИК №2015"	"УИК №2016"	"УИК №2017"	"УИК №2018"	"УИК №2019"	"УИК №2020"	"УИК №2021"	"УИК №2022"	"УИК №2023"	"УИК №2024"	"УИК №2025"	"УИК №2027"	"УИК №2028"	"УИК №2029"	"УИК №2030"	"УИК №2031"	"УИК №2032"	"УИК №2033"	"УИК №2034"	"УИК №2035"	"УИК №2037"	"УИК №2038"	"УИК №2039"	"УИК №2040"	"УИК №2041"	
656	595	1447	1283	1185	1168	619	1149	1227	648	1014	1149	1172	400	570	464	84	215	524	358	364	483	421	494	376	266	158	293	358	516	219	648	237	1005	866	
650	600	1200	1300	1200	1200	600	1100	1200	600	1000	1100	1200	350	550	400	80	220	540	360	300	500	400	450	350	250	150	300	350	500	220	650	230	1000	850	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
407	388	755	699	725	710	457	738	739	402	530	709	711	186	312	309	60	126	354	225	192	387	261	311	263	184	91	183	248	287	198	443	145	577	517	
36	36	181	33	44	20	26	18	31	31	40	56	60	46	109	33	8	30	62	24	68	25	41	71	28	30	14	18	30	75	6	53	28	38	49	
207	176	264	568	431	470	117	344	430	167	430	335	429	118	129	58	12	64	124	111	40	88	98	68	59	36	45	99	72	138	16	154	57	385	284	
36	36	181	33	44	20	26	18	31	31	40	56	60	46	109	33	8	30	62	24	68	25	41	71	28	30	14	18	30	75	6	53	28	38	49	
407	388	755	699	725	710	457	738	739	402	530	709	711	186	312	309	60	126	354	225	192	387	261	311	263	184	91	183	248	287	198	443	145	577	517	
7	2	7	0	8	6	4	9	8	2	4	11	8	0	0	3	1	0	1	0	4	0	0	3	3	1	0	1	4	1	1	1	0	0	4	
436	422	929	732	761	724	479	747	762	431	566	754	763	232	421	339	67	156	415	249	256	412	302	379	288	213	105	200	274	361	203	495	173	615	562	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	2	3	4	4	3	7	5	4	2	6	4	7	1	2	0	0	0	5	2	3	1	1	2	0	1	0	2	2	2	2	3	0	3	3	
61	96	203	157	167	169	84	162	160	98	96	115	127	40	46	43	11	18	71	73	67	48	56	52	49	61	4	31	20	56	21	90	15	94	101	
38	44	87	51	63	49	37	64	51	27	52	61	60	26	55	33	3	10	26	31	26	37	33	27	34	17	14	27	27	38	14	42	12	84	49	
329	267	617	500	507	486	343	501	526	296	401	558	551	158	313	255	52	128	309	137	152	320	202	290	200	134	87	135	224	260	159	348	146	423	404	
3	5	6	10	9	5	2	5	2	2	4	4	6	1	0	1	1	0	2	0	1	1	4	2	1	0	0	0	1	2	3	4	0	4	2	
1	2	7	4	8	4	0	5	10	3	3	7	1	4	3	3	0	0	1	2	2	4	3	4	3	0	0	1	0	0	3	6	0	3	0	
1	3	5	4	1	6	5	3	5	2	4	4	8	1	2	1	0	0	1	4	4	0	2	2	0	0	0	2	0	0	0	1	0	3	1	
1	3	1	2	2	2	1	2	4	1	0	1	3	1	0	3	0	0	0	0	1	1	1	0	1	0	0	2	0	3	1	1	0	1	2	
