"УИК №512"	"УИК №513"	"УИК №514"	"УИК №515"	"УИК №516"	"УИК №517"	"УИК №518"	"УИК №519"	"УИК №520"	"УИК №521"	"УИК №522"	"УИК №523"	"УИК №524"	
460	1236	963	669	191	364	391	136	324	576	252	364	362	
500	1250	1050	700	190	400	450	150	340	650	250	400	400	
0	0	0	0	0	0	0	0	0	0	0	0	0	
272	698	552	491	139	197	199	76	193	322	117	241	198	
64	121	93	93	36	163	139	49	67	113	83	53	97	
164	431	405	116	15	40	112	25	80	215	50	106	105	
64	121	93	93	36	163	139	49	67	113	83	53	97	
272	698	552	491	139	197	199	76	193	322	117	241	198	
6	11	6	0	0	0	0	1	2	0	0	0	1	
330	808	639	584	175	360	338	124	258	435	200	294	294	
0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	

1	5	3	0	1	0	3	0	0	0	0	1	2	
35	135	97	38	5	23	17	12	20	66	26	40	36	
31	74	61	10	5	0	25	12	3	27	13	18	9	
252	574	465	534	161	337	286	99	234	333	160	232	241	
6	7	5	2	1	0	1	0	0	3	1	2	2	
4	4	2	0	1	0	4	0	0	3	0	1	1	
0	4	0	0	1	0	1	1	1	2	0	0	1	
1	5	6	0	0	0	1	0	0	1	0	0	2	
