"УИК №706"	"УИК №920"	"УИК №929"	"УИК №930"	"УИК №931"	"УИК №932"	"УИК №933"	"УИК №934"	"УИК №935"	"УИК №936"	"УИК №937"	"УИК №938"	"УИК №939"	"УИК №940"	"УИК №941"	"УИК №942"	"УИК №943"	"УИК №944"	"УИК №945"	"УИК №946"	"УИК №947"	"УИК №948"	"УИК №949"	"УИК №950"	"УИК №951"	"УИК №952"	"УИК №953"	"УИК №954"	"УИК №955"	"УИК №956"	"УИК №957"	"УИК №958"	"УИК №959"	"УИК №960"	"УИК №961"	"УИК №962"	"УИК №963"	"УИК №964"	"УИК №965"	"УИК №966"	"УИК №967"	"УИК №968"	"УИК №969"	"УИК №970"	"УИК №971"	"УИК №972"	"УИК №973"	"УИК №974"	"УИК №975"	"УИК №976"	"УИК №977"	"УИК №978"	"УИК №979"	"УИК №980"	"УИК №981"	"УИК №982"	"УИК №983"	"УИК №984"	"УИК №985"	"УИК №986"	"УИК №987"	"УИК №988"	"УИК №989"	"УИК №990"	"УИК №991"	"УИК №992"	"УИК №993"	"УИК №994"	"УИК №995"	"УИК №996"	"УИК №997"	"УИК №998"	"УИК №999"	"УИК №1000"	"УИК №1001"	"УИК №1002"	"УИК №1003"	"УИК №1004"	"УИК №1005"	"УИК №1006"	"УИК №1007"	"УИК №1008"	"УИК №1009"	"УИК №1010"	"УИК №1011"	"УИК №1012"	"УИК №1013"	"УИК №1014"	"УИК №1015"	"УИК №1016"	"УИК №1017"	"УИК №1018"	"УИК №1019"	"УИК №1020"	"УИК №1021"	"УИК №1022"	"УИК №1023"	"УИК №1024"	"УИК №1025"	"УИК №1026"	"УИК №1027"	"УИК №1028"	"УИК №1029"	"УИК №1030"	"УИК №1031"	"УИК №1032"	"УИК №1033"	"УИК №1034"	"УИК №1035"	"УИК №1036"	"УИК №1037"	"УИК №1038"	"УИК №1039"	"УИК №1040"	"УИК №1041"	"УИК №1042"	"УИК №1043"	"УИК №1044"	"УИК №1045"	"УИК №1046"	"УИК №1047"	"УИК №1048"	"УИК №1049"	"УИК №1050"	"УИК №1051"	"УИК №1052"	"УИК №1053"	"УИК №1054"	"УИК №1055"	"УИК №1056"	"УИК №1057"	"УИК №1058"	"УИК №1059"	"УИК №1060"	"УИК №1061"	"УИК №1256"	"УИК №1257"	"УИК №1258"	"УИК №1259"	"УИК №1263"	
2671	2465	1469	1548	1445	1575	1315	1378	1775	1957	1743	1913	1614	1760	1575	262	1971	2038	1411	1186	1410	2151	1563	1961	1844	1815	1954	1684	1494	1548	1459	1665	2336	1085	1734	2194	1006	639	1737	1702	1300	1684	1013	693	1511	1096	1005	835	1199	1585	1250	946	917	1050	1491	896	1459	2119	1871	2077	2007	1843	2351	2121	2073	2080	1935	2515	1777	2065	1672	2153	2201	2019	2098	2255	2404	2215	2319	2467	2533	2425	2728	1832	1650	1984	1542	2035	1780	1575	2065	2196	1705	2182	2341	1821	1804	2604	2596	2503	656	877	1515	1273	563	814	734	234	780	159	546	499	626	860	333	1582	417	1596	1188	758	447	356	1274	718	366	616	644	711	143	968	889	1283	1249	825	1149	601	146	84	262	1480	
2350	2150	1400	1500	1400	1500	1200	1300	1700	1800	1650	1800	1500	1600	1500	230	1900	2000	1350	1100	1300	2100	1500	1900	1700	1700	1800	1600	1400	1500	1300	1600	2200	1000	1600	2000	900	600	1550	1600	1200	1550	900	600	1400	1000	900	750	1100	1400	1200	850	850	950	1400	850	1400	1700	1700	2000	1950	1800	2200	2000	2000	2050	1850	2400	1600	2000	1500	2100	2100	1950	2000	2200	2300	2100	2250	2400	2500	2300	2600	1700	1500	1900	1500	2000	1650	1500	2000	2100	1700	2100	2300	1700	1700	2500	2400	2300	600	850	1400	1200	550	800	700	230	750	150	500	450	600	850	300	1400	400	1500	1150	700	400	300	1250	700	400	600	600	700	140	950	850	1250	1200	800	1150	700	146	85	262	1300	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1590	1515	987	960	763	894	753	730	1131	1245	1117	1081	1003	1132	1034	108	1263	1265	817	765	819	1304	887	1081	1023	1162	1170	894	827	798	801	937	1513	691	1142	1207	537	322	888	919	766	1028	437	386	748	428	540	458	667	934	693	447	384	495	799	426	691	1447	1173	1119	1255	1056	1459	1443	1353	1360	1288	1595	969	1060	925	1308	1416	1210	1289	1416	1407	1370	1421	1495	1564	1539	1557	1103	1032	1199	956	1290	1075	1001	1305	1422	1117	1405	1492	1169	1057	1647	1775	1473	408	497	679	541	242	413	393	100	450	112	236	294	327	417	198	828	237	1014	613	486	212	189	713	390	298	310	276	441	40	480	438	742	729	369	678	297	146	43	209	1030	
15	30	23	18	16	33	29	51	27	29	34	28	21	24	26	33	44	48	45	60	32	76	48	30	31	42	56	64	41	19	50	52	20	32	35	52	39	29	92	62	34	24	117	16	27	49	39	43	35	43	37	100	106	43	31	54	62	26	29	15	32	27	13	15	21	18	24	15	25	15	18	20	30	25	20	21	82	31	36	36	37	39	29	41	46	35	34	43	45	22	34	38	52	33	26	12	118	13	18	27	73	148	261	262	141	149	109	46	92	20	121	60	90	153	81	196	53	179	175	58	55	50	142	74	68	167	160	154	74	244	201	121	92	143	227	304	0	41	53	13	
745	605	390	522	621	573	418	519	542	526	499	691	476	444	440	89	593	687	488	275	449	720	565	789	646	496	574	642	532	683	449	611	667	277	423	741	324	249	570	619	400	498	346	198	625	523	321	249	398	423	470	303	360	412	570	370	647	227	498	866	663	717	728	542	626	672	538	790	606	925	557	772	654	715	691	763	811	699	793	869	899	722	1014	556	422	666	510	667	530	477	661	640	531	662	782	519	525	840	607	800	119	205	460	397	167	238	198	84	208	18	143	96	183	280	21	376	110	307	362	156	133	61	395	236	34	123	164	105	26	226	211	387	379	288	245	99	0	1	0	257	
15	30	23	18	16	33	29	51	27	29	34	28	21	24	26	33	44	48	45	60	32	76	48	30	31	42	56	64	41	19	50	52	20	32	35	52	39	29	92	62	34	24	117	16	27	49	39	43	35	43	37	100	106	43	31	54	62	26	29	15	32	27	13	15	21	18	24	15	25	15	18	20	30	25	20	21	82	31	36	36	37	39	29	41	46	35	34	43	45	22	34	38	52	33	26	12	118	13	18	27	73	148	261	262	141	149	109	46	92	20	121	60	90	153	81	196	53	179	175	58	55	50	142	74	68	167	160	154	74	244	201	121	92	143	227	304	0	41	53	13	
1590	1515	987	960	763	894	753	725	1131	1245	1117	1080	1003	1132	1033	108	1263	1265	817	765	819	1300	887	1081	1023	1162	1170	894	827	798	801	937	1513	690	1142	1207	537	322	888	919	766	1028	437	386	748	428	540	458	667	934	692	447	384	495	799	426	691	1447	1173	1119	1255	1056	1459	1443	1352	1360	1288	1595	969	1060	925	1308	1416	1210	1289	1412	1407	1367	1421	1495	1564	1538	1557	1103	1030	1198	956	1290	1075	1000	1305	1422	1115	1405	1492	1169	1057	1647	1770	1471	408	497	679	541	242	413	393	100	450	112	236	294	327	417	198	828	237	1014	613	486	212	189	713	390	298	310	276	441	40	480	438	742	728	369	678	297	146	43	209	1028	
30	13	20	17	9	14	5	12	12	18	15	12	16	16	13	3	17	15	8	8	19	19	11	17	12	12	24	13	19	12	14	18	26	11	18	9	5	4	16	6	6	9	5	7	10	9	5	4	8	10	17	8	4	4	8	9	9	21	18	15	19	12	19	22	19	20	13	26	18	11	13	15	12	18	13	18	18	16	21	10	24	12	16	16	14	13	9	23	15	15	16	24	16	17	21	10	21	20	19	15	0	9	8	6	6	3	2	2	6	2	2	7	16	4	1	11	6	10	9	5	5	2	3	8	2	1	4	10	1	12	4	8	11	1	4	7	1	1	5	17	
1575	1532	990	961	770	913	777	764	1146	1256	1136	1096	1008	1140	1046	138	1290	1298	854	817	832	1357	924	1094	1042	1192	1202	945	849	805	837	971	1507	711	1159	1250	571	347	964	975	794	1043	549	395	765	468	574	497	694	967	712	539	486	534	822	471	744	1452	1184	1119	1268	1071	1453	1436	1354	1358	1299	1584	976	1064	930	1313	1434	1217	1296	1415	1471	1382	1436	1521	1577	1565	1570	1128	1062	1220	981	1310	1105	1007	1323	1436	1151	1421	1497	1171	1154	1640	1769	1483	481	636	932	797	377	559	500	144	536	130	355	347	401	566	278	1013	284	1183	779	539	262	237	852	456	364	476	432	585	113	712	635	855	809	511	901	594	145	83	257	1024	
