"УИК №1"	"УИК №2"	"УИК №3"	"УИК №4"	"УИК №5"	"УИК №6"	"УИК №7"	"УИК №8"	"УИК №9"	"УИК №10"	"УИК №11"	"УИК №12"	"УИК №13"	"УИК №14"	"УИК №15"	"УИК №16"	"УИК №17"	"УИК №18"	"УИК №19"	"УИК №20"	"УИК №21"	"УИК №22"	"УИК №23"	"УИК №24"	"УИК №25"	"УИК №26"	"УИК №27"	"УИК №28"	"УИК №29"	"УИК №30"	"УИК №31"	"УИК №32"	"УИК №33"	"УИК №34"	"УИК №35"	"УИК №36"	"УИК №37"	"УИК №38"	"УИК №39"	"УИК №40"	"УИК №41"	"УИК №183"	"УИК №184"	
2331	2487	2130	1476	2447	2310	2407	2313	2763	1782	1433	1074	1276	328	1204	1170	1339	1153	315	385	774	982	1787	729	725	1474	564	1695	706	2076	2273	1653	953	1653	24	1448	1565	1231	1314	490	1208	44	90	
2200	2300	2000	1400	2300	2100	2200	2200	2600	1600	1300	1000	766	300	1200	1000	861	832	310	400	800	572	1700	700	700	965	341	1500	342	1900	2100	968	900	1600	25	1400	1500	1000	1300	400	1100	46	91	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1312	1419	1226	841	1565	1452	1575	1504	1749	968	885	656	741	168	489	718	843	819	123	236	317	549	1146	279	356	926	329	918	307	1308	1475	937	418	826	0	591	872	774	831	232	598	44	90	
38	37	20	28	44	39	40	39	36	22	20	16	25	2	20	24	18	13	168	2	6	23	35	18	13	39	12	19	35	40	37	31	22	22	22	18	10	12	17	12	3	0	0	
850	844	754	531	691	609	585	657	815	610	395	328	0	130	691	258	0	0	19	162	477	0	519	403	331	0	0	563	0	552	588	0	460	752	3	791	618	214	452	156	499	2	1	
38	37	20	28	44	39	40	39	36	22	20	16	25	2	20	24	18	13	168	2	6	23	35	18	13	39	12	19	35	40	37	31	22	22	22	18	10	12	17	12	3	0	0	
1312	1417	1226	841	1564	1451	1575	1502	1749	968	881	656	740	168	489	718	843	818	123	236	317	549	1146	279	356	924	329	918	307	1308	1474	937	418	826	0	591	872	774	830	232	598	44	90	
18	26	25	18	22	26	26	28	43	6	17	9	5	3	8	14	9	8	4	8	7	1	18	3	3	2	2	15	6	11	27	6	9	9	0	9	20	11	11	4	7	1	0	
1332	1428	1221	851	1586	1464	1589	1513	1742	984	884	663	760	167	501	728	852	823	287	230	316	571	1163	294	366	961	339	922	336	1337	1484	962	431	839	22	600	862	775	836	240	594	43	90	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

12	10	10	4	16	6	16	12	13	14	6	6	5	0	3	7	8	3	3	2	4	5	7	5	5	4	2	6	4	10	12	8	1	3	0	4	6	4	2	1	1	1	0	
302	289	253	191	323	284	320	318	377	209	198	130	139	28	97	163	167	152	41	31	51	108	249	73	82	194	74	199	78	281	295	197	90	199	4	142	150	117	153	34	158	1	6	
101	102	114	88	137	102	120	119	118	79	56	47	70	19	59	48	70	58	36	20	41	44	92	48	43	60	28	63	37	90	101	90	54	94	2	72	93	58	69	22	66	5	10	
886	983	806	546	1055	1038	1083	1030	1164	646	596	457	525	118	331	484	568	581	202	171	216	382	775	165	226	671	225	605	213	901	1034	640	278	531	16	375	595	575	579	180	352	36	66	
10	11	11	9	22	18	23	12	23	12	12	7	9	1	2	15	11	13	3	3	1	12	19	3	4	14	5	19	1	22	10	11	3	5	0	3	7	6	16	1	9	0	5	
7	8	9	6	11	9	5	6	13	4	1	5	3	1	7	1	4	3	1	2	2	4	5	0	2	4	1	6	0	11	12	5	2	3	0	3	3	3	7	2	4	0	1	
6	11	9	4	9	4	13	11	17	13	8	8	6	0	1	5	9	9	0	0	1	9	11	0	2	5	1	14	1	9	10	6	2	0	0	1	3	5	3	0	0	0	0	
8	14	9	3	13	3	9	5	17	7	7	3	3	0	1	5	15	4	1	1	0	7	5	0	2	9	3	10	2	13	10	5	1	4	0	0	5	7	7	0	4	0	2	
