"УИК №999"	"УИК №1000"	"УИК №1001"	"УИК №1002"	"УИК №1003"	"УИК №1004"	"УИК №1005"	"УИК №1006"	"УИК №1007"	"УИК №1008"	"УИК №1009"	"УИК №1010"	"УИК №1011"	"УИК №1012"	"УИК №1013"	
1425	627	657	267	215	97	129	358	326	125	92	169	75	87	231	
1535	670	680	250	250	130	150	400	350	150	100	170	100	100	250	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
884	338	363	161	139	56	79	191	207	87	61	122	43	65	126	
89	53	54	43	45	11	29	60	20	16	10	12	18	10	70	
562	279	263	46	66	63	42	149	123	47	29	36	39	25	54	
89	53	54	43	45	11	29	60	20	16	10	12	18	10	70	
884	338	363	161	139	56	79	191	207	87	61	122	43	65	126	
13	7	5	5	0	0	0	4	3	1	0	1	1	0	4	
960	384	412	199	184	67	108	247	224	102	71	133	60	75	192	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

8	2	2	0	1	0	0	2	1	2	1	1	0	0	0	
147	51	76	22	29	2	10	43	4	6	5	14	10	1	20	
88	50	57	14	16	1	9	23	16	15	12	11	6	6	30	
682	275	268	159	135	60	85	176	201	77	53	101	44	68	137	
10	3	2	2	0	2	2	0	2	0	0	3	0	0	4	
12	0	4	2	3	0	2	1	0	2	0	2	0	0	0	
5	2	2	0	0	0	0	0	0	0	0	0	0	0	1	
8	1	1	0	0	2	0	2	0	0	0	1	0	0	0	
