"УИК №79"	"УИК №80"	"УИК №81"	"УИК №82"	"УИК №83"	"УИК №84"	"УИК №85"	"УИК №86"	"УИК №87"	"УИК №88"	"УИК №89"	"УИК №90"	"УИК №91"	"УИК №92"	"УИК №93"	"УИК №94"	"УИК №95"	"УИК №96"	
1399	1075	926	1902	729	1359	902	963	841	1882	1840	2385	1522	376	2356	2294	705	2115	
1440	1112	1055	1940	857	1393	1030	1094	966	1928	1887	2435	1572	372	2406	2341	828	2149	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1222	965	833	1746	647	1228	808	829	763	1363	1707	2215	1361	310	2171	2078	638	1928	
89	45	23	31	25	42	34	52	12	400	25	40	52	42	41	42	16	46	
129	102	199	163	185	123	188	213	191	165	155	180	159	20	194	221	174	175	
89	45	23	31	25	42	34	52	12	400	25	40	52	42	41	42	16	46	
1220	964	832	1744	645	1227	807	828	761	1362	1705	2214	1359	309	2169	2077	637	1926	
2	2	1	3	2	1	3	2	2	1	2	3	2	2	1	1	2	2	
1307	1007	854	1772	668	1268	838	878	771	1761	1728	2251	1409	349	2209	2118	651	1970	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	3	4	5	3	6	4	2	3	3	4	5	5	1	4	5	2	5	
78	49	35	89	25	69	31	38	31	78	102	131	83	16	128	103	24	98	
14	12	3	15	3	13	6	5	4	32	18	23	14	6	16	24	3	22	
1196	928	799	1644	625	1162	782	818	722	1628	1589	2072	1295	321	2046	1968	610	1830	
3	2	4	3	2	4	3	4	3	2	4	5	2	1	2	4	3	4	
4	5	2	3	3	4	7	5	3	4	2	4	5	1	4	2	3	2	
6	2	5	7	2	7	2	2	3	9	6	7	3	2	4	6	2	5	
3	6	2	6	5	3	3	4	2	5	3	4	2	1	5	6	4	4	
