"УИК №234"	"УИК №235"	"УИК №236"	"УИК №237"	"УИК №238"	"УИК №239"	"УИК №240"	"УИК №241"	"УИК №242"	"УИК №243"	"УИК №244"	"УИК №245"	"УИК №246"	"УИК №247"	"УИК №248"	"УИК №249"	"УИК №250"	"УИК №251"	"УИК №252"	"УИК №253"	"УИК №254"	"УИК №255"	"УИК №256"	"УИК №257"	"УИК №258"	"УИК №259"	"УИК №260"	"УИК №261"	"УИК №262"	"УИК №263"	"УИК №264"	"УИК №265"	"УИК №266"	"УИК №267"	"УИК №268"	"УИК №269"	"УИК №270"	"УИК №271"	"УИК №272"	"УИК №273"	"УИК №274"	"УИК №275"	"УИК №276"	"УИК №277"	"УИК №278"	"УИК №279"	"УИК №280"	"УИК №281"	"УИК №282"	"УИК №283"	"УИК №284"	"УИК №285"	"УИК №286"	"УИК №287"	"УИК №288"	"УИК №289"	
1417	1394	1105	648	884	1061	803	989	190	190	626	482	835	580	420	353	749	824	331	842	605	853	561	99	76	290	491	81	180	174	779	113	176	391	243	182	104	312	210	167	358	305	210	346	299	263	86	381	722	215	339	317	1041	311	332	359	
1400	1300	1100	640	900	1000	800	950	185	190	650	480	800	590	400	350	750	830	350	850	620	850	580	100	80	270	500	80	180	170	770	140	170	380	240	180	105	310	210	170	350	300	210	350	300	260	85	370	700	230	340	320	1000	300	320	350	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
884	845	727	412	595	665	559	556	155	126	418	339	515	475	286	277	661	717	241	711	550	509	422	64	53	212	249	29	121	103	560	55	86	227	140	164	78	222	151	120	243	198	138	214	212	170	55	202	434	113	220	202	655	210	182	277	
111	217	70	39	60	43	61	211	19	13	68	70	150	77	113	58	65	81	65	97	37	199	86	26	10	39	58	29	9	44	143	47	64	78	39	9	20	58	47	35	43	65	64	94	46	67	25	32	26	80	106	101	95	39	77	18	
405	238	303	189	245	292	180	183	11	51	164	71	135	38	1	15	24	32	44	42	33	142	72	10	17	19	193	22	50	23	67	38	20	75	61	7	7	30	12	15	64	37	8	42	42	23	5	136	240	37	14	17	250	51	61	55	
111	217	70	39	60	43	61	211	19	13	68	70	150	77	113	58	65	81	65	97	37	199	86	26	10	39	58	29	9	44	143	47	64	78	39	9	20	58	47	35	43	65	64	94	46	67	25	32	26	80	106	101	95	39	77	18	
884	845	727	412	595	665	559	556	155	126	418	339	515	475	286	277	661	717	241	711	550	509	422	64	53	212	249	29	121	103	560	55	86	227	140	164	78	222	151	120	243	198	138	214	212	170	55	202	434	113	220	202	655	210	182	277	
11	8	11	5	5	12	2	6	5	0	6	3	141	2	0	1	14	13	0	14	7	3	2	0	0	1	3	0	0	3	12	0	0	2	3	4	0	1	10	7	0	4	0	0	2	0	0	2	10	1	0	0	7	2	1	3	
984	1054	786	446	650	696	618	761	169	139	480	406	524	550	399	334	712	785	306	794	580	705	506	90	63	250	304	58	130	144	691	102	150	303	176	169	98	279	188	148	286	259	202	308	256	237	80	232	450	192	326	303	743	247	258	292	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

7	14	3	3	8	3	1	7	1	0	7	0	4	0	2	2	0	2	3	4	1	4	3	0	0	1	0	0	0	0	1	0	1	0	1	0	0	1	3	1	2	3	1	1	1	0	0	3	1	0	1	0	1	1	1	1	
144	168	130	84	121	120	110	142	2	19	89	45	28	12	18	12	76	77	34	67	15	76	184	7	1	18	18	13	20	15	94	3	24	23	13	5	8	18	7	9	12	19	12	19	19	12	1	34	86	19	14	5	91	17	38	18	
56	78	64	37	45	57	48	62	8	19	43	33	34	11	16	19	30	35	24	40	17	43	37	0	3	18	23	2	13	5	26	6	8	14	16	4	3	15	20	6	14	21	6	2	8	11	2	17	37	9	14	32	61	35	27	23	
748	765	566	305	454	496	442	524	155	97	332	320	452	523	359	297	592	658	240	670	538	573	273	83	59	208	262	43	93	122	557	93	117	258	143	160	87	239	153	130	251	213	182	280	226	209	77	176	312	157	291	265	582	191	187	242	
10	15	7	5	5	8	5	14	1	1	4	3	1	0	1	2	4	2	2	6	2	4	4	0	0	2	0	0	2	0	9	0	0	5	1	0	0	3	1	2	2	0	0	2	2	0	0	1	5	2	2	1	1	2	2	4	
7	5	4	4	5	7	8	3	1	2	2	3	3	0	1	2	6	7	1	0	3	4	3	0	0	3	0	0	1	2	1	0	0	2	0	0	0	1	1	0	4	3	1	0	0	4	0	0	2	2	2	0	5	1	1	2	
7	5	5	2	8	2	1	4	0	0	1	2	0	2	1	0	1	3	1	3	4	1	1	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	3	0	1	0	0	3	0	1	0	0	4	0	2	0	0	0	1	0	
5	4	7	6	4	3	3	5	1	1	2	0	2	2	1	0	3	1	1	4	0	0	1	0	0	0	1	0	1	0	2	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	1	3	3	0	0	2	0	1	2	
