"УИК №3001"	"УИК №3002"	"УИК №3003"	"УИК №3004"	"УИК №3005"	"УИК №3006"	"УИК №3007"	"УИК №3008"	"УИК №3009"	"УИК №3010"	"УИК №3011"	"УИК №3012"	"УИК №3013"	"УИК №3014"	"УИК №3015"	"УИК №3016"	"УИК №3017"	"УИК №3018"	"УИК №3019"	"УИК №3020"	"УИК №3021"	"УИК №3022"	"УИК №3023"	"УИК №3024"	"УИК №3025"	"УИК №3026"	"УИК №3027"	"УИК №3028"	"УИК №3029"	"УИК №3030"	"УИК №3031"	"УИК №3032"	"УИК №3033"	"УИК №3034"	"УИК №3035"	
1894	1620	1557	2428	2307	1997	1237	1154	1847	1088	1850	1301	2471	1852	1939	2035	501	287	258	815	2402	922	977	398	1393	1354	1824	822	1505	1286	158	1236	1239	1400	1000	
1750	1550	1450	2300	2200	1900	1150	1100	1800	1050	1750	1250	2350	1750	1850	1950	465	290	255	800	2400	950	1000	410	1400	1330	1800	830	1500	1270	140	1220	1300	1430	990	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1184	1024	904	1919	1773	1608	751	917	1442	810	1542	953	1470	1161	1565	1303	373	199	159	595	1526	645	812	307	742	706	961	705	889	658	115	1127	971	1230	817	
206	140	116	240	198	201	147	129	175	107	172	116	184	98	151	176	54	39	59	154	201	64	89	68	183	107	233	64	180	213	18	86	157	142	167	
360	386	430	141	229	91	252	54	183	133	36	181	696	491	134	471	38	52	37	51	673	241	99	35	475	517	606	61	431	399	7	7	172	58	6	
206	140	116	240	198	201	147	129	175	107	172	116	184	98	151	176	54	39	59	154	201	64	89	68	183	107	233	64	180	213	18	86	157	142	167	
1184	1024	904	1919	1773	1607	751	917	1442	810	1542	953	1470	1161	1565	1303	373	199	159	595	1526	645	812	307	742	706	961	705	889	658	115	1127	971	1230	817	
15	8	13	38	34	17	5	11	23	8	3	9	32	9	25	11	8	1	0	5	27	14	8	5	15	13	24	2	10	7	1	0	2	2	10	
1375	1156	1007	2121	1937	1791	893	1035	1594	909	1711	1060	1622	1250	1691	1468	419	237	218	744	1700	695	893	370	910	800	1170	767	1059	864	132	1213	1126	1370	974	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

7	4	3	20	15	8	7	5	7	5	7	7	2	12	6	7	1	1	0	2	8	3	2	1	4	1	8	4	4	6	1	1	7	0	3	
200	171	162	230	231	178	129	108	202	121	158	134	256	199	170	109	23	37	11	74	390	66	104	34	126	123	169	86	104	106	11	104	117	117	108	
82	53	74	223	114	83	53	46	81	42	69	48	100	78	95	84	39	20	22	66	70	56	46	35	84	74	85	36	40	65	7	12	35	54	55	
1067	893	740	1589	1533	1491	680	852	1253	715	1442	835	1225	928	1376	1228	345	173	183	588	1204	555	723	294	672	582	878	630	887	669	112	1093	954	1193	789	
7	17	8	25	17	11	8	12	16	6	14	16	11	13	19	14	2	0	0	7	9	10	7	3	8	4	7	4	3	4	1	0	2	6	7	
4	11	8	13	15	14	6	5	16	3	7	9	10	9	15	13	4	2	1	7	8	2	7	1	8	5	17	5	10	9	0	1	8	0	7	
4	3	4	13	7	3	5	3	12	9	5	8	14	6	6	6	1	1	1	0	10	3	3	1	6	6	5	1	9	2	0	0	2	0	4	
4	4	8	8	5	3	5	4	7	8	9	3	4	5	4	7	4	3	0	0	1	0	1	1	2	5	1	1	2	3	0	2	1	0	1	
