"УИК №98"	"УИК №99"	"УИК №100"	"УИК №101"	"УИК №102"	"УИК №103"	"УИК №104"	"УИК №105"	"УИК №106"	"УИК №107"	"УИК №108"	"УИК №109"	"УИК №110"	"УИК №111"	"УИК №112"	"УИК №113"	"УИК №114"	"УИК №115"	"УИК №116"	"УИК №117"	"УИК №118"	"УИК №119"	"УИК №120"	"УИК №121"	"УИК №122"	"УИК №123"	"УИК №124"	"УИК №125"	"УИК №126"	"УИК №127"	"УИК №128"	"УИК №129"	"УИК №130"	"УИК №131"	"УИК №132"	"УИК №133"	"УИК №134"	"УИК №135"	"УИК №136"	"УИК №137"	"УИК №138"	"УИК №139"	"УИК №140"	"УИК №141"	"УИК №142"	"УИК №143"	"УИК №144"	"УИК №145"	"УИК №146"	"УИК №147"	"УИК №148"	"УИК №149"	"УИК №150"	"УИК №151"	"УИК №152"	"УИК №153"	"УИК №154"	"УИК №155"	"УИК №156"	"УИК №157"	"УИК №158"	"УИК №159"	"УИК №160"	"УИК №161"	"УИК №162"	"УИК №163"	"УИК №164"	"УИК №165"	"УИК №166"	"УИК №167"	"УИК №168"	"УИК №169"	"УИК №170"	"УИК №171"	"УИК №172"	"УИК №173"	"УИК №174"	"УИК №175"	"УИК №176"	"УИК №177"	"УИК №178"	"УИК №179"	"УИК №180"	"УИК №181"	
2292	2130	2221	2241	2111	2179	2129	1809	1930	1952	2060	2382	1352	2232	2294	1923	1809	1755	1706	1787	2250	2105	2508	2365	2031	2181	2666	2598	1057	637	1445	1125	1031	1824	2436	2439	1883	2307	2515	2406	1265	1876	1815	2001	1912	2019	2303	2472	2124	2622	2162	2170	2088	2316	2639	2164	2184	1986	1807	1782	1733	1724	2368	2063	2410	1451	747	810	2004	2002	1696	2075	1855	1599	1760	2044	1244	1247	1737	321	344	134	125	183	
2200	2000	2100	2100	2000	1900	2000	1700	1900	1900	1900	2100	1300	2000	2200	1800	1700	1700	1700	1700	2100	2000	2400	2300	1900	2100	2600	2400	900	580	1400	1100	1000	1800	2200	2400	1700	2200	2500	2300	1200	1800	1700	1900	1800	1900	2200	2400	2000	2500	2000	2100	2100	2200	2500	2100	2100	1900	1700	1700	1700	1600	2300	2000	2400	1400	691	800	1900	2000	1600	2000	1800	1500	1700	1900	1200	1200	1600	350	500	150	150	200	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1322	1215	1340	1317	1150	1378	1255	1099	1102	1026	1136	1307	556	1374	1414	1114	1108	1068	1091	1088	1081	1005	1173	842	962	932	1195	1364	576	368	1115	923	594	910	1220	1495	1153	1327	1525	1357	610	872	1161	1142	1149	1136	1133	1137	1256	1573	1358	1288	1297	1367	1595	1229	1302	1137	1051	933	1025	964	1341	1190	1469	769	378	392	1022	917	750	1524	1400	1115	934	1297	767	647	1142	314	285	134	125	178	
56	73	55	83	84	58	50	47	42	15	27	102	6	55	53	29	52	45	44	20	18	23	17	20	28	12	45	24	24	9	48	22	35	18	40	41	17	60	58	44	46	39	29	15	19	9	20	29	20	36	31	27	25	47	30	51	51	24	39	31	26	31	33	14	13	30	265	15	20	26	32	26	19	19	33	54	19	14	6	0	0	0	0	0	
822	712	705	700	766	464	695	554	756	859	737	691	738	571	733	657	540	587	565	592	1001	972	1210	1438	910	1156	1360	1012	300	203	237	155	371	872	940	864	530	813	917	899	544	889	510	743	632	755	1047	1234	724	891	611	785	778	786	875	820	747	739	610	736	649	605	926	796	918	601	48	393	858	1057	818	450	381	366	733	549	414	539	452	36	215	16	25	22	
56	73	55	83	84	58	50	47	42	15	27	102	6	55	53	29	52	45	44	20	18	23	17	20	28	12	45	24	24	9	48	22	35	18	40	41	17	60	58	44	46	39	29	15	19	9	20	29	20	36	31	27	25	47	30	51	51	24	39	31	26	31	33	14	13	30	265	15	20	26	32	26	19	19	33	54	19	14	6	0	0	0	0	0	
1322	1212	1340	1317	1150	1378	1254	1099	1101	1026	1136	1307	556	1372	1414	1114	1108	1068	1091	1088	1081	1005	1173	842	962	932	1195	1364	575	368	1115	923	594	910	1220	1495	1153	1327	1525	1357	610	872	1161	1142	1148	1136	1132	1135	1256	1573	1357	1288	1297	1367	1595	1228	1302	1137	1050	933	1025	964	1341	1190	1469	769	378	392	1022	917	750	1524	1400	1115	934	1297	767	647	1142	314	285	134	125	178	
22	19	23	16	14	22	25	6	18	17	28	25	9	18	15	18	29	8	7	23	19	22	17	17	18	11	23	19	6	2	9	6	6	11	26	20	22	27	23	24	13	14	20	16	22	20	21	24	24	36	29	22	19	24	27	17	24	17	16	18	9	15	21	20	21	19	14	6	20	26	13	20	14	25	29	24	21	10	15	6	4	3	0	6	
1356	1266	1372	1384	1220	1414	1279	1140	1125	1024	1135	1384	553	1409	1452	1125	1131	1105	1128	1085	1080	1006	1173	845	972	933	1217	1369	593	375	1154	939	623	917	1234	1516	1148	1360	1560	1377	643	897	1170	1141	1145	1125	1131	1140	1252	1573	1359	1293	1303	1390	1598	1262	1329	1144	1073	946	1042	980	1353	1184	1461	780	629	401	1022	917	769	1530	1405	1109	938	1327	765	651	1133	308	281	131	125	172	
