"УИК №560"	"УИК №561"	"УИК №562"	"УИК №563"	"УИК №564"	"УИК №565"	"УИК №566"	"УИК №567"	"УИК №568"	"УИК №569"	"УИК №570"	"УИК №571"	"УИК №572"	"УИК №573"	"УИК №574"	"УИК №575"	"УИК №576"	"УИК №577"	"УИК №578"	"УИК №579"	"УИК №580"	"УИК №581"	"УИК №582"	
366	99	105	245	642	88	296	171	296	639	548	42	76	266	178	56	196	280	1711	824	714	707	564	
375	105	110	245	670	87	300	175	330	655	575	53	84	275	200	60	200	305	1800	860	770	735	595	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
315	62	82	210	362	42	209	141	213	369	385	30	72	190	133	36	126	191	902	393	472	487	345	
39	30	17	17	118	33	51	27	42	146	92	9	0	37	20	15	43	55	137	113	51	87	69	
21	13	11	18	190	12	40	7	75	140	98	14	12	48	47	9	31	59	761	354	247	161	181	
39	30	17	17	118	33	51	27	42	146	92	9	0	37	20	15	43	55	137	113	51	87	69	
315	62	82	210	362	42	209	141	213	369	385	30	72	190	133	36	126	191	902	393	472	487	345	
0	0	0	2	2	0	0	0	1	0	2	0	0	1	5	0	4	0	4	11	2	10	13	
354	92	99	225	478	75	260	168	254	515	475	39	72	226	148	51	165	246	1035	495	521	564	401	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	0	1	1	3	0	0	0	1	0	0	0	0	0	0	0	0	1	5	3	4	2	0	
16	6	0	7	64	4	37	3	6	27	21	0	2	20	12	0	10	15	172	73	55	74	13	
10	1	2	6	22	3	3	3	11	15	11	1	0	6	4	1	2	10	63	45	14	28	11	
324	85	94	210	380	65	220	162	229	464	439	38	69	197	128	50	153	218	773	360	445	449	373	
1	0	2	0	2	0	0	0	1	4	0	0	0	0	0	0	0	2	5	0	0	2	0	
1	0	0	1	3	2	0	0	6	3	3	0	1	1	2	0	0	0	9	5	3	5	2	
0	0	0	0	3	0	0	0	0	1	1	0	0	1	0	0	0	0	6	3	0	0	2	
0	0	0	0	1	1	0	0	0	1	0	0	0	1	2	0	0	0	2	6	0	4	0	
