"УИК №3501"	"УИК №3502"	"УИК №3503"	"УИК №3504"	"УИК №3505"	"УИК №3506"	"УИК №3507"	"УИК №3508"	"УИК №3509"	"УИК №3510"	"УИК №3511"	"УИК №3512"	"УИК №3513"	"УИК №3514"	"УИК №3515"	"УИК №3516"	"УИК №3517"	"УИК №3518"	"УИК №3519"	"УИК №3520"	"УИК №3521"	"УИК №3522"	"УИК №3523"	"УИК №3524"	"УИК №3525"	"УИК №3526"	"УИК №3527"	"УИК №3528"	"УИК №3529"	"УИК №3530"	"УИК №3531"	"УИК №3532"	"УИК №3533"	"УИК №3534"	"УИК №3535"	"УИК №3536"	"УИК №3537"	
669	1244	713	1808	1443	1204	1632	300	222	637	403	445	1401	1279	409	451	674	880	627	235	177	591	281	719	381	259	682	579	160	343	186	814	1127	597	244	245	414	
1350	1300	750	1850	1450	1050	1600	300	250	700	450	500	1500	1350	400	500	700	850	650	250	200	600	300	750	400	300	700	600	150	350	200	850	1150	600	250	250	400	
0	0	0	0	0	0	0	0	0	26	0	0	0	0	5	0	22	0	0	0	0	0	0	34	0	0	27	19	0	0	0	26	0	22	0	0	0	
645	544	339	844	737	764	975	143	99	188	191	152	593	610	147	199	210	480	342	143	110	318	184	339	184	114	333	253	98	233	130	436	543	426	148	145	249	
24	17	10	22	76	27	41	6	35	95	29	49	25	29	26	16	51	32	15	16	15	34	21	42	20	32	50	36	16	12	7	50	61	42	18	12	16	
681	739	401	984	637	259	584	151	116	391	230	299	882	711	222	285	417	338	293	91	75	248	95	335	196	154	290	292	36	105	63	338	546	110	84	93	135	
24	17	10	22	76	27	41	6	35	121	29	49	25	29	31	16	73	32	15	16	15	34	21	76	20	32	77	55	16	12	7	76	61	64	18	12	16	
645	544	339	844	737	764	975	143	99	188	191	152	593	610	147	199	210	480	342	143	110	318	184	339	184	114	333	253	98	233	130	436	543	426	148	145	249	
8	9	52	13	8	5	5	2	2	2	3	2	10	25	0	4	4	4	12	2	3	1	6	5	0	0	3	7	1	1	0	6	6	5	0	4	2	
661	552	297	853	805	786	1011	147	132	307	217	199	608	614	178	211	279	508	345	157	122	351	199	410	204	146	407	301	113	244	137	506	598	485	166	153	263	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

5	9	0	2	2	2	6	1	1	4	3	3	3	3	2	2	0	2	3	1	0	3	0	2	0	1	2	0	0	1	0	2	3	2	0	0	0	
115	96	55	130	139	113	167	23	4	26	18	24	103	106	22	40	44	86	50	11	10	19	11	26	9	13	16	21	2	7	2	57	68	37	11	9	12	
96	82	50	130	85	101	123	22	23	26	22	22	103	74	24	30	42	81	63	14	14	24	17	19	16	9	30	34	14	37	8	84	85	49	23	17	38	
434	356	187	576	559	549	693	99	101	250	164	148	380	414	126	137	191	330	221	129	95	301	171	357	174	120	357	242	96	198	126	358	436	359	127	122	211	
2	1	2	4	5	6	7	2	1	0	2	0	6	4	2	1	2	4	1	2	0	2	0	2	1	0	2	4	0	0	1	1	1	0	0	1	0	
8	6	3	7	8	5	10	0	2	1	5	1	7	6	1	0	0	2	2	0	0	1	0	3	3	2	0	0	0	0	0	1	4	6	2	3	1	
1	2	0	2	3	6	2	0	0	0	1	0	2	5	0	0	0	1	2	0	2	1	0	1	1	1	0	0	1	0	0	1	1	1	2	0	1	
0	0	0	2	4	4	3	0	0	0	2	1	4	2	1	1	0	2	3	0	1	0	0	0	0	0	0	0	0	1	0	2	0	31	1	1	0	
