"УИК №61"	"УИК №62"	"УИК №63"	"УИК №64"	"УИК №65"	"УИК №66"	"УИК №67"	"УИК №68"	"УИК №69"	"УИК №70"	"УИК №71"	"УИК №72"	"УИК №73"	"УИК №74"	"УИК №75"	"УИК №76"	"УИК №77"	"УИК №78"	"УИК №79"	"УИК №80"	"УИК №81"	"УИК №82"	"УИК №83"	"УИК №84"	"УИК №85"	"УИК №86"	"УИК №87"	"УИК №88"	"УИК №89"	"УИК №90"	"УИК №91"	"УИК №92"	"УИК №93"	"УИК №94"	"УИК №95"	"УИК №96"	"УИК №97"	"УИК №98"	"УИК №99"	"УИК №100"	"УИК №101"	"УИК №102"	"УИК №103"	"УИК №104"	"УИК №105"	"УИК №106"	"УИК №107"	"УИК №108"	"УИК №109"	"УИК №110"	"УИК №111"	"УИК №112"	"УИК №113"	"УИК №114"	"УИК №115"	"УИК №116"	"УИК №117"	"УИК №118"	"УИК №119"	"УИК №120"	"УИК №121"	"УИК №123"	"УИК №124"	"УИК №125"	"УИК №126"	"УИК №127"	
955	1591	1501	1554	1192	1365	1200	1432	1450	1259	1617	1222	1338	1350	1191	1921	1654	1281	1263	2615	1975	1584	1546	1495	1584	1979	1464	1651	1413	2371	219	1393	1596	2315	1508	2167	1491	1581	1053	1564	1522	1554	1673	2411	1578	1642	3013	1559	1790	1691	1441	1658	1780	2573	1829	2334	1504	1581	1853	1509	993	145	192	104	484	75	
900	1400	1300	1500	1100	1200	1100	1300	1200	1200	1500	1200	1300	1300	1100	1700	1500	1400	1100	2500	1900	1500	1400	1400	1500	1800	1300	1400	1300	2200	220	1300	1500	2100	1300	2000	1400	1400	1000	1400	1400	1500	1600	2300	1500	1500	2800	1500	1700	1600	1300	1600	1700	2500	1700	2200	1500	1500	1800	1400	850	200	400	150	700	100	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
513	834	956	962	765	860	687	843	838	778	949	596	763	753	682	1049	955	704	704	1560	1025	915	913	859	984	1121	922	1071	829	1603	137	868	1014	1402	1018	1346	972	1034	643	978	933	973	1048	1375	953	967	1504	985	1103	1040	831	1014	1038	1468	1098	1422	862	912	992	834	449	62	117	69	193	63	
29	114	46	32	30	30	29	15	8	42	23	29	22	33	20	21	24	6	24	17	40	8	38	12	28	43	25	27	48	29	25	19	25	26	29	42	15	22	27	41	22	13	20	41	35	17	16	30	20	28	31	33	24	21	38	34	23	35	27	22	123	79	61	21	242	0	
358	452	298	506	305	310	384	442	354	380	528	575	515	514	398	630	521	690	372	923	835	577	449	529	488	636	353	302	423	568	58	413	461	672	253	612	413	344	330	381	445	514	532	884	512	516	1280	485	577	532	438	553	638	1011	564	744	615	553	781	544	278	59	222	60	265	37	
29	114	46	32	30	30	29	15	8	42	23	29	22	33	20	21	24	6	24	17	40	8	38	12	28	43	25	27	48	29	25	19	25	26	29	42	15	22	27	41	22	13	20	41	35	17	16	30	20	28	31	33	24	21	38	34	23	35	27	22	123	79	61	21	242	0	
513	834	956	962	764	860	685	842	836	777	949	596	763	752	682	1049	955	704	703	1560	1025	914	913	859	984	1121	920	1069	828	1598	137	866	1012	1401	1017	1346	972	1033	640	978	933	973	1048	1374	952	967	1504	985	1103	1039	830	1013	1038	1468	1098	1422	862	912	992	834	449	62	117	69	193	63	
2	8	10	12	7	9	9	11	12	11	10	4	7	9	11	8	15	15	5	15	5	11	13	13	8	11	10	20	11	24	7	10	13	18	13	15	8	13	6	15	8	9	12	9	10	11	14	15	9	11	9	7	8	12	12	23	8	10	14	7	6	2	2	0	4	1	
540	940	992	982	787	881	705	846	832	808	962	621	778	776	691	1062	964	695	722	1562	1060	911	938	858	1004	1153	935	1076	865	1603	155	875	1024	1409	1033	1373	979	1042	661	1004	947	977	1056	1406	977	973	1506	1000	1114	1056	852	1039	1054	1477	1124	1433	877	937	1005	849	566	139	176	90	431	62	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

