"УИК №107"	"УИК №108"	"УИК №109"	"УИК №111"	"УИК №112"	"УИК №113"	"УИК №114"	"УИК №115"	"УИК №116"	"УИК №117"	"УИК №118"	"УИК №119"	
1282	1200	1142	305	238	366	213	378	445	761	363	328	
1317	1240	1219	330	258	378	247	428	486	800	389	414	
0	0	0	0	0	0	0	0	0	0	0	0	
884	677	703	167	167	252	137	258	265	500	252	240	
37	127	100	54	30	25	42	40	63	61	29	38	
396	436	416	109	61	101	68	130	158	239	108	136	
37	127	100	54	30	25	42	40	63	61	29	38	
884	677	703	167	167	252	137	258	265	500	252	240	
21	9	11	1	3	1	0	1	4	4	5	1	
900	795	792	220	194	276	179	297	324	557	276	277	
0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	

5	6	5	0	4	2	0	7	1	3	2	3	
150	128	101	21	24	32	21	46	34	56	22	12	
94	78	91	28	22	34	11	40	28	49	23	38	
624	553	565	171	137	197	143	198	259	434	223	218	
17	16	9	0	3	8	3	1	1	6	3	4	
1	2	8	0	2	2	0	4	1	2	1	2	
6	6	8	0	1	1	1	1	0	1	2	0	
3	6	5	0	1	0	0	0	0	6	0	0	
