"УИК №292"	"УИК №293"	"УИК №294"	"УИК №295"	"УИК №296"	"УИК №297"	"УИК №298"	"УИК №299"	"УИК №300"	"УИК №301"	"УИК №302"	"УИК №303"	"УИК №304"	"УИК №305"	"УИК №306"	
1017	612	660	1038	787	773	419	917	153	462	186	283	614	401	704	
1012	620	692	1041	825	730	460	954	167	498	203	302	623	400	723	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
651	386	427	687	546	560	251	531	81	281	104	156	380	204	492	
141	97	70	97	49	82	63	132	30	72	36	67	91	115	71	
220	137	195	257	230	88	146	291	56	145	63	79	152	81	160	
141	97	70	97	49	82	63	132	30	72	36	67	91	115	71	
651	386	427	687	546	560	251	531	81	281	104	156	380	204	492	
5	1	2	8	10	5	2	2	0	2	0	0	2	2	2	
787	482	495	776	585	637	312	661	111	351	140	223	469	317	561	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	3	4	7	3	4	1	1	0	2	1	2	2	1	5	
70	41	50	84	55	65	14	42	3	27	16	36	40	19	38	
60	46	36	41	23	42	23	38	7	11	14	13	16	11	36	
650	377	400	624	488	515	265	572	100	307	96	171	398	282	476	
0	6	3	8	2	3	5	1	0	1	4	0	0	1	1	
5	4	2	5	5	2	3	4	0	2	5	0	6	1	1	
2	3	0	2	9	5	1	0	1	0	3	1	3	1	1	
0	2	0	5	0	1	0	3	0	1	1	0	4	1	3	
