"УИК №1101"	"УИК №1102"	"УИК №1103"	"УИК №1104"	"УИК №1105"	"УИК №1106"	"УИК №1107"	"УИК №1108"	"УИК №1109"	"УИК №1110"	"УИК №1111"	"УИК №1112"	"УИК №1113"	"УИК №1114"	"УИК №1115"	"УИК №1116"	"УИК №1117"	"УИК №1118"	"УИК №1119"	"УИК №1120"	"УИК №1121"	"УИК №1122"	"УИК №1123"	
1593	484	188	341	314	666	143	476	200	282	585	1185	539	1198	288	260	296	159	265	306	285	419	599	
1630	490	170	360	330	600	140	450	190	290	570	1200	530	1190	290	250	320	190	280	290	300	410	570	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1112	286	127	259	204	440	93	321	158	207	226	762	407	800	215	121	208	115	161	232	217	287	402	
116	94	33	37	63	130	39	84	26	20	148	192	23	101	37	126	48	29	84	58	48	103	109	
402	110	10	64	63	30	8	45	6	63	196	246	100	289	38	3	64	46	35	0	35	20	59	
116	94	33	37	63	130	39	84	26	20	148	192	23	101	37	126	48	29	84	58	48	103	109	
1112	286	127	259	204	439	93	321	158	207	226	762	407	800	215	121	208	115	161	232	217	287	402	
29	1	11	15	1	12	7	22	5	11	2	8	9	8	2	0	5	1	1	2	0	7	21	
1199	379	149	281	266	557	125	383	179	216	372	946	421	893	250	247	251	143	244	288	265	383	490	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

12	0	1	3	0	3	2	0	1	0	1	7	1	8	1	0	1	0	0	2	0	4	6	
122	28	5	12	27	25	4	22	7	14	45	50	46	126	20	20	12	13	17	11	18	39	34	
77	18	11	20	11	20	10	16	3	5	17	27	32	61	13	9	9	8	7	14	13	12	33	
961	332	131	240	227	504	108	339	168	195	306	851	341	676	211	217	226	121	219	255	231	324	409	
16	0	1	4	0	1	1	5	0	1	0	4	0	10	4	0	2	0	0	1	0	1	0	
6	0	0	2	0	2	0	0	0	1	3	5	1	5	0	1	0	1	0	4	3	3	3	
4	0	0	0	1	1	0	0	0	0	0	2	0	4	0	0	0	0	0	0	0	0	2	
1	1	0	0	0	1	0	1	0	0	0	0	0	3	1	0	1	0	1	1	0	0	3	
