"УИК №301"	"УИК №302"	"УИК №303"	"УИК №304"	"УИК №305"	"УИК №306"	"УИК №307"	"УИК №308"	"УИК №309"	"УИК №310"	"УИК №311"	"УИК №312"	"УИК №313"	"УИК №314"	"УИК №315"	"УИК №316"	
520	327	473	1544	1490	1703	176	489	683	586	631	753	457	613	389	316	
556	308	488	1539	1498	1794	184	467	706	595	661	772	454	643	426	311	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
386	269	366	1173	1328	1540	141	407	394	484	482	596	363	458	315	221	
93	36	70	127	112	158	33	48	66	47	88	125	75	115	41	41	
77	3	52	239	58	96	10	12	246	64	91	51	16	70	70	49	
93	36	70	127	112	158	33	48	66	47	88	125	75	115	41	41	
386	269	366	1172	1328	1540	141	407	394	484	482	596	363	458	315	221	
9	5	4	16	9	26	2	5	4	7	7	9	4	4	5	4	
470	300	432	1283	1431	1672	172	450	456	524	563	712	434	569	351	258	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

5	0	4	4	10	13	0	2	5	3	6	2	3	4	5	0	
36	53	36	144	100	168	12	33	49	52	75	60	30	34	63	38	
29	22	46	84	51	118	22	42	50	43	49	35	23	33	39	16	
394	220	335	1011	1258	1329	134	369	337	415	425	604	374	488	233	198	
4	4	4	17	6	16	0	0	4	0	2	6	0	5	2	2	
1	1	3	11	0	5	4	4	9	7	1	3	3	2	5	4	
1	0	1	7	2	12	0	0	1	3	4	1	0	3	4	0	
0	0	3	5	4	11	0	0	1	1	1	1	1	0	0	0	
