"УИК №136"	"УИК №137"	"УИК №138"	"УИК №139"	"УИК №140"	"УИК №141"	"УИК №142"	"УИК №143"	"УИК №144"	"УИК №145"	"УИК №146"	"УИК №147"	"УИК №148"	"УИК №149"	"УИК №150"	"УИК №151"	"УИК №152"	"УИК №153"	"УИК №154"	"УИК №155"	"УИК №156"	"УИК №157"	"УИК №158"	"УИК №159"	"УИК №160"	"УИК №161"	"УИК №162"	"УИК №163"	"УИК №164"	"УИК №165"	"УИК №166"	"УИК №167"	"УИК №168"	"УИК №169"	"УИК №170"	"УИК №171"	"УИК №172"	"УИК №173"	
1000	985	1075	789	2754	322	227	403	638	692	394	337	360	1614	1159	1353	1705	1226	482	675	335	364	2021	885	836	138	818	282	339	1403	1214	210	222	2375	507	1127	535	171	
850	800	850	600	2500	300	200	400	600	650	350	300	300	1300	1000	1100	1500	1100	400	550	300	300	1750	750	700	120	700	250	300	1100	1100	180	200	2050	450	1000	450	150	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
467	577	592	393	1817	134	71	193	215	371	61	178	138	968	519	942	1013	552	206	165	129	130	1517	371	352	42	312	118	172	770	499	112	69	1746	301	575	244	66	
249	42	35	76	6	94	70	108	187	83	220	67	94	50	208	49	33	96	109	199	87	80	24	134	122	70	149	65	77	142	178	39	64	49	76	155	53	38	
134	181	223	131	677	72	59	99	198	196	69	55	68	282	273	109	454	452	85	186	84	90	209	245	226	8	239	67	51	188	423	29	67	255	73	270	153	46	
249	42	35	76	6	94	70	108	187	83	220	67	94	50	208	49	33	96	109	199	87	80	24	134	122	70	149	65	77	142	178	39	64	49	76	155	53	38	
467	577	592	393	1817	134	71	193	215	371	61	178	138	968	519	942	1013	552	206	165	129	130	1517	371	352	42	312	118	172	770	499	112	69	1743	301	575	244	66	
5	11	12	4	18	0	1	0	1	6	0	2	1	13	4	10	10	5	0	1	1	1	7	4	4	0	7	1	2	12	4	1	0	20	1	13	0	0	
711	608	615	465	1805	228	140	301	401	448	281	243	231	1005	723	981	1036	643	315	363	215	209	1534	501	470	112	454	182	247	900	673	150	133	1772	376	717	297	104	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

9	4	2	3	17	1	0	0	1	5	3	3	3	11	6	8	6	6	3	2	3	1	12	4	5	3	3	3	0	4	2	0	0	14	3	4	2	2	
83	89	68	46	229	16	9	29	27	29	30	12	18	121	80	116	95	77	33	28	14	21	181	60	48	4	43	16	27	99	72	5	22	149	38	74	23	4	
66	42	51	31	100	13	13	19	35	36	20	40	14	59	53	91	48	43	25	30	21	16	73	30	27	6	53	16	14	59	50	8	10	91	20	41	26	4	
517	449	454	365	1337	196	116	245	320	357	221	185	195	763	549	714	827	491	230	291	175	168	1150	393	379	97	328	135	188	694	524	131	93	1451	305	580	234	93	
11	8	9	8	49	1	1	3	12	11	1	0	0	24	8	17	17	10	6	4	0	2	55	6	5	2	7	7	8	18	6	2	2	27	2	5	3	0	
8	2	5	1	8	1	1	0	2	5	0	2	0	14	8	13	9	4	1	2	1	0	12	5	1	0	3	1	4	2	3	0	3	9	4	3	4	0	
5	5	9	6	25	0	0	2	3	2	1	0	0	8	10	8	19	8	5	1	0	0	18	1	0	0	10	1	4	6	10	0	1	14	0	5	1	0	
12	9	17	5	40	0	0	3	1	3	5	1	1	5	9	14	15	4	12	5	1	1	33	2	5	0	7	3	2	18	6	4	2	17	4	5	4	1	
