"УИК №1301"	"УИК №1302"	"УИК №1303"	"УИК №1304"	"УИК №1305"	"УИК №1306"	"УИК №1307"	"УИК №1308"	"УИК №1309"	"УИК №1310"	"УИК №1311"	"УИК №1312"	"УИК №1313"	"УИК №1314"	"УИК №1315"	"УИК №1316"	"УИК №1317"	"УИК №1318"	"УИК №1319"	"УИК №1320"	"УИК №1321"	"УИК №1322"	"УИК №1323"	"УИК №1324"	"УИК №1325"	"УИК №1326"	"УИК №1327"	"УИК №1328"	"УИК №1329"	"УИК №1330"	"УИК №1331"	"УИК №1332"	"УИК №1333"	"УИК №1334"	"УИК №1335"	"УИК №1336"	"УИК №1337"	"УИК №1338"	
1708	185	1437	1061	317	314	234	1139	882	1628	768	744	1621	1082	1928	1084	592	847	401	1284	1824	1577	1539	1516	1463	1841	286	459	287	544	292	979	156	1175	558	639	346	405	
1458	150	1215	878	260	257	174	934	716	1331	599	608	1351	892	1567	904	473	699	332	1046	1452	1225	1239	1250	1203	1523	236	362	231	457	240	800	122	946	556	503	278	407	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
720	117	1004	543	215	232	130	675	430	832	530	376	912	597	951	519	290	469	290	757	986	801	763	818	846	1003	185	237	137	313	183	591	111	691	412	485	199	403	
35	0	129	66	15	21	19	83	16	61	6	13	19	55	71	34	9	27	26	21	38	13	46	44	22	22	10	31	13	60	29	11	4	24	7	18	11	2	
703	33	82	269	30	4	25	176	270	438	63	219	420	240	545	351	174	203	16	268	428	411	430	388	335	498	41	94	81	84	28	198	7	231	137	0	68	2	
35	0	129	66	15	21	19	83	16	61	6	13	19	55	71	34	9	27	26	21	38	13	45	44	22	22	10	31	13	60	29	11	4	24	7	18	11	2	
720	117	1004	543	215	232	130	675	430	832	530	376	912	597	951	519	290	469	290	757	986	801	763	818	846	1003	185	237	137	313	183	591	111	691	412	467	199	403	
2	0	4	5	2	1	1	12	6	0	0	7	9	4	10	0	3	4	2	11	20	13	19	7	13	24	3	3	1	1	2	8	1	21	3	2	0	34	
753	117	1129	604	228	252	148	746	440	893	536	382	922	648	1012	553	296	492	314	767	1004	801	789	855	855	1001	192	265	149	372	210	594	114	694	416	483	210	371	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

5	0	0	0	1	1	1	0	4	1	0	3	7	3	4	3	2	0	1	7	4	9	2	6	4	0	0	0	0	2	0	0	0	4	0	0	0	7	
117	5	29	136	40	23	25	260	63	151	66	42	214	110	138	58	45	130	34	116	193	136	133	192	154	260	27	54	56	68	16	135	11	78	76	64	86	11	
6	1	2	24	7	4	2	12	13	12	9	38	33	16	51	15	13	17	11	31	86	52	54	82	65	26	10	2	2	8	5	19	6	22	24	2	5	68	
618	109	1096	415	171	220	111	461	352	722	458	287	627	501	774	456	226	338	257	587	695	576	569	545	602	687	152	199	88	288	182	431	87	572	307	417	115	242	
1	1	0	13	2	2	3	6	3	3	1	6	21	9	21	7	7	2	3	13	5	13	7	6	9	13	0	4	1	3	1	3	2	6	2	0	2	36	
5	0	2	10	5	1	6	4	3	3	0	2	6	3	10	6	1	3	4	2	10	6	10	15	9	6	2	4	0	2	3	5	2	6	2	0	2	1	
1	1	0	3	2	1	0	1	2	0	0	2	10	2	6	5	2	1	4	7	6	4	10	4	4	6	0	2	1	0	3	0	2	3	2	0	0	3	
0	0	0	3	0	0	0	2	0	1	2	2	4	4	8	3	0	1	0	4	5	5	4	5	8	3	1	0	1	1	0	1	4	3	3	0	0	3	
