"УИК №1574"	"УИК №1575"	"УИК №1576"	"УИК №1577"	"УИК №1578"	"УИК №1579"	"УИК №1580"	"УИК №1581"	"УИК №1582"	"УИК №1583"	"УИК №1584"	"УИК №1585"	"УИК №1586"	"УИК №1587"	"УИК №1588"	"УИК №1589"	"УИК №1590"	"УИК №1591"	"УИК №1592"	"УИК №1593"	"УИК №1594"	"УИК №1595"	"УИК №1596"	"УИК №1597"	"УИК №1598"	"УИК №1599"	"УИК №1600"	"УИК №1601"	"УИК №1602"	"УИК №1603"	
2483	2669	2125	2287	1760	1523	1493	1640	1553	1658	1818	2355	2462	1755	783	1810	2343	2132	2270	2535	2211	2022	1704	2367	2653	1716	2432	2500	2526	2153	
2200	2300	2000	2100	1500	1400	1300	1400	1300	1500	1600	2000	2200	1500	600	1500	2100	1900	2000	2300	1900	1800	1500	2200	2500	1300	2000	2000	2200	1900	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1424	1576	1131	1240	1052	813	920	906	871	920	1045	1386	1392	1044	461	999	1275	1215	1323	1468	1199	1214	995	1438	1485	993	1393	1534	1453	1229	
59	77	55	43	49	38	13	52	27	34	52	56	58	37	17	35	64	70	50	63	50	52	38	56	71	7	6	7	3	13	
717	647	814	817	399	549	367	442	402	546	503	558	750	419	122	466	761	615	627	769	651	534	467	706	944	300	601	459	744	658	
59	77	55	43	49	38	13	52	27	34	52	56	58	37	17	35	64	70	50	63	50	52	38	56	71	7	5	7	3	13	
1420	1570	1129	1240	1052	809	920	906	871	918	1044	1386	1392	1044	461	999	1275	1215	1323	1468	1199	1214	995	1438	1485	992	1393	1534	1453	1228	
10	15	14	31	12	6	19	16	12	7	12	19	15	11	5	10	43	15	9	14	25	12	10	19	23	15	14	39	19	13	
1469	1632	1170	1252	1089	841	914	942	886	945	1084	1423	1435	1070	473	1024	1296	1270	1364	1517	1224	1254	1023	1475	1533	984	1384	1502	1437	1228	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

14	18	14	15	16	10	10	15	9	9	13	13	9	10	3	10	13	10	14	20	8	6	20	6	14	7	8	14	21	10	
210	206	124	165	142	124	135	112	122	125	121	181	158	140	57	76	173	116	163	190	173	170	130	198	177	155	210	76	207	182	
68	95	64	72	61	40	39	47	40	38	46	65	75	39	22	49	55	39	68	65	50	61	46	68	90	41	60	36	48	54	
1088	1172	881	898	781	584	644	697	654	697	810	1052	1074	796	351	789	950	1031	1017	1103	879	894	746	1075	1125	672	935	1139	959	828	
37	58	37	30	37	34	45	19	27	23	44	44	60	43	24	40	40	17	44	51	50	56	41	47	54	47	87	174	91	62	
10	12	9	11	6	8	5	6	6	4	13	8	9	9	3	8	13	9	8	20	12	10	9	15	12	5	5	6	4	10	
14	30	14	20	20	19	12	13	11	13	12	16	21	11	6	21	18	12	18	23	21	17	10	26	13	27	21	44	41	30	
28	41	27	41	26	22	24	33	17	36	25	44	29	22	7	31	34	36	32	45	31	40	21	40	48	30	58	13	66	52	
