"УИК №2177"	"УИК №2178"	"УИК №2179"	"УИК №2180"	"УИК №2181"	"УИК №2182"	"УИК №2183"	"УИК №2184"	"УИК №2185"	"УИК №2186"	"УИК №2187"	"УИК №2188"	"УИК №2189"	"УИК №2190"	"УИК №2191"	"УИК №2192"	"УИК №2193"	"УИК №2194"	"УИК №2195"	"УИК №2196"	"УИК №2197"	"УИК №2198"	"УИК №2199"	"УИК №2200"	"УИК №2201"	"УИК №2202"	"УИК №2203"	"УИК №2204"	"УИК №2205"	"УИК №2206"	"УИК №2207"	"УИК №2208"	"УИК №2209"	"УИК №2210"	"УИК №2211"	"УИК №2212"	"УИК №2213"	"УИК №2214"	"УИК №2215"	"УИК №2216"	"УИК №2217"	"УИК №2218"	"УИК №2219"	"УИК №2220"	"УИК №2221"	"УИК №2222"	"УИК №2223"	"УИК №2224"	"УИК №2225"	"УИК №2226"	"УИК №2227"	"УИК №2228"	"УИК №2229"	"УИК №2230"	"УИК №2231"	"УИК №2232"	"УИК №2233"	"УИК №2234"	
2495	2425	2194	2436	2103	1944	1948	2192	2220	2100	2063	2494	2093	1859	2179	1637	1460	2047	2117	2100	2182	1725	1677	2124	1966	1990	1764	2168	1893	2090	1814	2596	1888	1985	2436	1639	1921	2418	2110	2299	1968	1879	2447	1187	1463	2027	1716	1404	1570	2015	2048	2361	2114	2027	2628	1646	1782	2828	
2450	2400	2200	2400	2100	1950	1900	2200	2200	2050	2050	2450	1900	1850	2100	1600	1400	2000	2100	2100	2100	1650	1600	2150	1950	1900	1750	2150	1900	2050	1750	2600	1900	1900	2400	1600	1900	2400	2100	2300	1202	1123	2440	783	1400	2000	1700	1400	872	1950	1306	1559	2100	1206	2600	986	921	2800	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1395	1487	1403	1415	1267	1031	1175	1386	1263	1221	1264	1403	1254	1057	1158	983	833	1175	1165	1270	1181	1043	1016	1309	1189	1196	1028	1412	1218	1332	1162	1617	1239	1252	1570	1084	1194	1559	1362	1566	1157	1102	1485	770	962	1236	1146	884	826	1334	1287	1524	1293	1188	1762	959	884	1828	
23	27	23	43	9	16	19	21	23	39	43	29	22	31	45	42	24	40	71	38	77	64	40	31	46	28	52	37	48	52	14	29	28	19	45	26	40	34	24	22	45	21	31	13	23	41	27	28	46	32	19	35	22	18	40	27	37	16	
1032	886	774	942	824	903	706	793	914	790	743	1018	624	762	897	575	543	785	864	792	842	543	544	810	715	676	670	701	634	666	574	954	633	629	785	490	666	807	714	712	0	0	924	0	415	723	527	488	0	584	0	0	785	0	798	0	0	956	
23	27	23	43	9	16	19	21	23	39	43	29	22	31	45	42	24	40	71	38	77	64	40	31	46	28	52	37	48	52	14	29	28	19	45	26	40	34	24	22	45	21	31	13	23	41	27	28	46	32	19	35	22	18	40	27	37	16	
1395	1487	1403	1415	1267	1031	1175	1385	1263	1221	1264	1403	1254	1057	1158	982	832	1171	1165	1268	1181	1043	1016	1309	1189	1196	1028	1412	1218	1309	1162	1617	1239	1252	1569	1083	1193	1559	1362	1566	1156	1101	1483	770	962	1236	1146	884	824	1334	1284	1518	1293	1175	1762	957	884	1828	
7	17	14	11	6	9	9	12	14	10	9	18	16	11	7	7	8	12	0	12	9	13	11	21	7	17	13	7	6	8	12	18	11	20	17	10	7	8	13	4	15	5	5	3	8	13	10	13	15	12	9	10	15	3	18	11	2	22	
1411	1497	1412	1447	1270	1038	1185	1394	1272	1250	1298	1414	1260	1077	1196	1017	848	1199	1236	1294	1249	1094	1045	1319	1228	1207	1067	1442	1260	1353	1164	1628	1256	1251	1597	1099	1226	1585	1373	1584	1186	1117	1509	780	977	1264	1163	899	855	1354	1294	1543	1300	1190	1784	973	919	1822	
