"УИК №725"	"УИК №726"	"УИК №727"	"УИК №728"	"УИК №729"	"УИК №730"	"УИК №731"	"УИК №732"	"УИК №733"	"УИК №734"	"УИК №735"	"УИК №736"	"УИК №737"	"УИК №738"	"УИК №739"	"УИК №740"	"УИК №741"	"УИК №742"	"УИК №743"	"УИК №744"	"УИК №745"	"УИК №746"	"УИК №747"	"УИК №748"	"УИК №749"	"УИК №750"	"УИК №751"	"УИК №752"	"УИК №753"	"УИК №754"	"УИК №755"	"УИК №756"	"УИК №757"	"УИК №758"	"УИК №759"	"УИК №760"	"УИК №761"	"УИК №762"	"УИК №763"	"УИК №764"	"УИК №765"	"УИК №766"	"УИК №767"	"УИК №768"	"УИК №769"	"УИК №770"	"УИК №771"	"УИК №772"	"УИК №773"	"УИК №774"	"УИК №775"	"УИК №776"	"УИК №777"	"УИК №778"	"УИК №779"	"УИК №780"	"УИК №781"	"УИК №782"	"УИК №783"	"УИК №2226"	"УИК №2255"	"УИК №2286"	"УИК №2407"	
1916	1813	2501	1358	1688	1783	1536	1330	1167	1671	2395	1534	1666	2230	1539	1886	1532	2022	1546	1294	1635	2374	2102	2225	2204	2027	2089	2206	1033	2478	1427	2018	2605	1347	2435	2560	1801	1525	1931	2321	2387	2494	2199	2353	2565	2867	2366	2704	2226	2263	2274	2445	2229	2644	2890	2444	2596	2747	2590	731	1151	2352	2618	
1700	1600	2250	1250	1550	1650	1350	1200	1100	1550	2200	1400	1550	2050	1400	1700	1350	1850	1400	1150	1500	2000	1850	2050	2050	1800	1950	2050	950	2200	1250	1850	2350	1250	2200	2350	1600	1400	1700	2200	2250	2350	2050	2150	2350	2600	2200	2300	1950	2100	2050	2300	2050	2300	2700	2150	2250	2300	2300	734	1050	2150	2300	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1287	1020	1403	772	1052	1030	903	775	676	1018	1452	794	1076	1417	995	1071	1014	1325	887	712	981	1464	1217	1375	1319	1246	1255	1364	638	1473	902	1285	1632	776	1520	1588	1093	906	1180	1483	1411	1539	1283	1386	1373	1550	1498	1702	1460	1528	1437	1517	1400	1608	1870	1428	1400	1705	1595	234	596	1423	1660	
51	39	54	23	13	33	42	22	37	34	33	22	22	39	17	25	7	41	19	16	40	110	22	22	49	42	47	54	17	94	46	48	73	50	63	47	28	29	46	26	35	77	64	38	50	47	43	60	60	31	52	75	52	268	78	31	47	33	18	456	37	24	46	
362	541	793	455	485	587	405	403	387	498	715	584	452	594	388	604	329	484	494	422	479	426	611	653	682	512	648	632	295	633	302	517	645	424	617	715	479	465	474	691	804	734	703	726	927	1003	659	538	430	541	561	708	598	424	752	691	803	562	687	44	417	703	594	
51	39	54	23	13	33	42	22	37	34	33	22	22	39	17	25	7	41	19	16	40	110	22	22	49	42	47	54	17	94	46	48	73	50	63	47	28	29	46	26	35	77	64	38	50	47	43	60	60	31	52	75	52	268	78	31	42	33	18	456	37	24	46	
1287	1020	1403	770	1052	1030	903	775	676	1018	1452	794	1076	1417	995	1071	1014	1325	887	712	981	1464	1217	1375	1318	1244	1255	1364	638	1473	902	1283	1630	776	1520	1588	1092	906	1180	1483	1411	1539	1283	1385	1373	1550	1498	1702	1460	1528	1437	1517	1400	1608	1870	1428	1398	1703	1595	234	596	1423	1660	
17	17	18	12	15	20	12	7	8	17	16	17	11	27	21	15	38	17	6	10	7	29	12	21	34	15	18	24	11	33	14	21	24	18	20	19	19	13	95	17	25	20	18	12	20	19	20	23	126	23	20	23	22	25	18	12	15	18	24	11	9	19	24	
1321	1042	1439	781	1050	1043	933	790	705	1035	1469	799	1087	1429	991	1081	983	1349	900	718	1014	1545	1227	1376	1333	1271	1284	1394	644	1534	934	1310	1679	808	1563	1616	1101	922	1131	1492	1421	1596	1329	1411	1403	1578	1521	1739	1394	1536	1469	1569	1430	1851	1930	1447	1425	1718	1589	679	624	1428	1682	
