"УИК №620"	"УИК №621"	"УИК №622"	"УИК №623"	"УИК №624"	"УИК №625"	"УИК №626"	"УИК №627"	"УИК №628"	"УИК №629"	"УИК №630"	
1471	1550	1500	903	726	757	690	473	692	612	711	
1400	1400	1400	850	650	700	600	450	650	550	700	
0	0	0	0	0	0	0	0	0	0	0	
817	747	778	602	460	468	483	268	430	282	491	
86	159	167	130	124	117	85	84	98	107	87	
497	494	455	118	66	115	32	98	122	161	122	
86	159	167	130	124	117	85	84	98	107	87	
817	747	777	602	460	468	483	268	429	282	491	
4	7	11	0	0	7	7	3	1	7	4	
899	899	933	732	584	578	561	349	526	382	574	
0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	

7	6	10	3	2	0	0	3	0	4	1	
141	111	149	47	30	66	61	64	55	87	61	
48	45	64	25	23	23	15	18	24	16	33	
679	722	690	652	514	481	473	262	427	264	456	
7	2	6	1	10	6	5	1	10	7	15	
13	4	9	1	2	1	4	1	8	1	7	
2	8	4	1	1	0	1	0	2	0	0	
2	1	1	2	2	1	2	0	0	3	1	
