"УИК №328"	"УИК №329"	"УИК №330"	"УИК №331"	"УИК №332"	"УИК №333"	"УИК №334"	"УИК №335"	"УИК №336"	"УИК №337"	"УИК №338"	"УИК №339"	"УИК №340"	"УИК №341"	"УИК №342"	"УИК №343"	"УИК №344"	"УИК №345"	"УИК №346"	"УИК №347"	"УИК №348"	"УИК №349"	"УИК №350"	"УИК №351"	"УИК №352"	"УИК №353"	"УИК №354"	"УИК №355"	"УИК №356"	"УИК №357"	"УИК №358"	"УИК №359"	"УИК №360"	"УИК №361"	"УИК №362"	"УИК №363"	"УИК №364"	"УИК №365"	"УИК №1766"	"УИК №1767"	
1626	1308	1358	2386	1572	1511	1804	1345	1768	1657	1813	1364	1362	1894	1885	2685	2247	2930	2100	1602	1629	1566	1758	1935	1964	2637	2221	1737	1766	1872	2121	2290	1964	2115	2055	2699	2702	2963	390	739	
1300	1050	1250	2100	1300	1250	1450	1100	1450	1350	1500	1150	1050	1700	1700	2150	1850	2450	1750	1550	1350	1300	1450	1650	1650	2250	1850	1450	1500	1650	1750	1950	1600	1750	1700	2500	2300	2500	400	800	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1017	851	890	1727	1153	1160	1129	1006	1226	1306	1214	838	900	1258	1546	1638	1662	2221	1612	1354	1201	1190	1329	1580	1518	1506	1733	1224	1199	1347	1587	1650	1491	1632	1405	2283	2128	1856	298	251	
50	156	238	301	105	58	139	67	146	20	77	52	58	371	122	55	68	180	97	55	115	50	77	46	113	145	44	183	171	151	109	163	80	50	244	69	37	77	92	486	
233	43	122	72	42	32	182	27	78	24	209	260	92	71	32	457	120	49	41	141	34	60	44	24	19	599	73	43	130	152	54	137	29	68	51	148	135	567	10	63	
50	156	238	301	105	58	139	67	146	20	77	52	58	371	122	55	68	180	97	55	115	50	77	46	113	145	44	183	171	151	109	163	80	50	244	69	37	77	92	486	
1016	831	884	1710	1123	1116	1111	884	1207	1291	1184	835	900	1258	1541	1637	1600	2218	1465	1345	1191	1188	1321	1574	1515	1500	1725	1219	1199	1341	1587	1650	1491	1609	1404	2254	2128	1856	298	251	
7	15	11	15	9	23	3	14	20	6	18	10	0	15	10	20	28	21	89	17	11	20	17	29	20	20	15	6	3	12	15	23	2	20	33	19	15	0	1	6	
1059	972	1111	1996	1219	1151	1247	937	1333	1305	1243	877	958	1614	1653	1672	1640	2377	1473	1383	1295	1218	1381	1591	1608	1625	1754	1396	1367	1480	1681	1790	1569	1639	1615	2304	2150	1933	389	731	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

7	10	14	17	16	6	3	8	11	11	7	0	3	13	11	14	11	11	7	11	13	15	9	6	7	11	7	8	6	6	8	19	2	17	6	12	10	14	3	4	
168	61	43	97	50	33	18	36	167	36	57	49	54	105	126	273	56	79	33	58	50	127	63	51	131	242	84	72	81	80	72	65	80	152	63	173	105	74	10	19	
58	54	54	139	12	31	24	42	80	121	73	51	58	33	40	108	95	99	36	65	57	48	78	93	45	153	129	67	67	92	99	77	101	114	46	69	180	150	6	24	
738	838	948	1675	1069	1027	1180	826	1005	1122	1073	752	780	1389	1415	1132	1429	2041	1388	1210	1112	987	1192	1397	1384	1153	1491	1201	1172	1269	1441	1534	1360	1278	1456	1998	1785	1574	361	668	
43	7	13	15	7	13	11	12	17	6	5	15	27	23	19	72	6	55	1	11	11	14	12	11	8	23	18	20	15	8	4	32	19	37	12	13	25	44	2	5	
9	0	16	9	18	12	2	3	13	1	4	0	7	10	4	7	9	19	1	2	7	7	9	3	5	13	9	5	10	7	26	20	1	6	11	8	15	48	3	5	
13	2	9	16	30	9	3	4	14	3	3	0	9	11	13	28	16	22	2	8	9	11	7	9	13	11	9	13	4	7	11	21	3	13	12	3	20	22	2	4	
23	0	14	28	17	20	6	6	26	5	21	10	20	30	25	38	18	51	5	18	36	9	11	21	15	19	7	10	12	11	20	22	3	22	9	28	10	7	2	2	
