"УИК №544"	"УИК №545"	"УИК №546"	"УИК №547"	"УИК №548"	"УИК №549"	"УИК №550"	"УИК №551"	"УИК №552"	"УИК №553"	"УИК №554"	"УИК №555"	"УИК №556"	"УИК №557"	"УИК №558"	"УИК №559"	"УИК №560"	"УИК №561"	"УИК №562"	"УИК №563"	"УИК №564"	"УИК №565"	"УИК №566"	
270	1120	1101	295	513	478	566	784	707	265	321	999	354	670	621	214	948	354	145	214	184	914	607	
280	1100	1100	300	540	490	550	750	650	250	300	1000	350	650	640	200	950	350	140	200	160	930	600	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
146	553	557	167	224	235	244	344	344	113	180	461	181	321	273	136	445	135	78	97	85	530	313	
15	49	53	22	49	55	102	121	27	24	24	160	30	118	98	12	67	76	34	21	19	47	61	
119	498	490	111	267	200	204	285	279	113	96	379	139	211	269	52	438	139	28	82	56	353	226	
15	49	53	22	49	55	102	121	27	24	24	160	30	118	98	12	67	76	34	21	19	47	61	
146	553	557	167	224	235	244	344	344	113	180	461	181	321	273	136	445	135	78	97	85	530	313	
2	3	9	0	3	4	3	3	1	0	0	4	2	2	2	1	13	0	0	2	1	6	0	
159	599	601	189	270	286	343	462	370	137	204	617	209	437	369	147	499	211	112	116	103	571	374	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	8	11	2	4	0	1	6	7	0	1	4	1	2	1	2	3	1	0	3	0	3	3	
8	102	91	31	26	37	42	72	49	10	17	126	21	39	44	23	72	19	13	9	5	63	36	
9	61	79	18	41	39	35	56	46	12	15	81	16	31	46	18	53	26	11	17	12	54	29	
139	404	400	132	191	202	257	309	255	112	169	395	170	356	265	94	352	161	87	86	85	440	298	
2	5	13	3	1	6	2	3	4	1	1	0	0	6	4	4	4	1	0	0	0	3	3	
0	7	1	2	2	2	5	8	2	2	1	6	1	2	1	4	8	2	0	1	1	3	2	
1	8	4	1	2	0	1	4	5	0	0	3	0	1	6	0	4	0	1	0	0	4	2	
0	4	2	0	3	0	0	4	2	0	0	2	0	0	2	2	3	1	0	0	0	1	1	
