"УИК №801"	"УИК №802"	"УИК №803"	"УИК №804"	"УИК №805"	"УИК №806"	
2881	514	1894	462	1769	1713	
2875	487	1863	450	1600	1586	
389	99	821	0	150	250	
2402	369	971	409	1433	1209	
56	19	57	26	14	124	
28	0	14	15	3	3	
445	118	878	26	164	374	
2402	369	971	409	1433	1209	
3	1	3	1	1	3	
2844	486	1846	434	1596	1580	
0	0	0	0	0	0	
0	0	0	0	0	0	

3	1	4	1	3	6	
30	5	17	4	16	16	
103	14	54	13	48	47	
2675	458	1756	407	1503	1495	
17	3	4	3	8	2	
3	1	2	1	13	1	
8	2	5	2	3	6	
5	2	4	3	2	7	
