"УИК №1"	"УИК №2"	"УИК №3"	"УИК №4"	"УИК №5"	"УИК №6"	"УИК №7"	"УИК №8"	"УИК №9"	"УИК №10"	"УИК №11"	"УИК №12"	"УИК №13"	"УИК №14"	"УИК №15"	"УИК №16"	"УИК №17"	"УИК №18"	"УИК №19"	"УИК №20"	"УИК №21"	"УИК №22"	"УИК №23"	"УИК №24"	"УИК №25"	"УИК №26"	"УИК №27"	"УИК №28"	"УИК №29"	"УИК №30"	"УИК №31"	"УИК №32"	"УИК №33"	"УИК №34"	"УИК №35"	"УИК №36"	"УИК №37"	"УИК №38"	"УИК №39"	"УИК №40"	"УИК №41"	"УИК №42"	"УИК №43"	"УИК №44"	"УИК №45"	"УИК №46"	"УИК №47"	"УИК №48"	"УИК №49"	"УИК №50"	"УИК №51"	"УИК №52"	"УИК №53"	"УИК №54"	"УИК №55"	"УИК №56"	"УИК №57"	"УИК №58"	"УИК №59"	"УИК №60"	"УИК №61"	"УИК №62"	"УИК №63"	"УИК №64"	"УИК №65"	"УИК №66"	"УИК №67"	"УИК №68"	"УИК №69"	"УИК №70"	"УИК №71"	"УИК №72"	"УИК №73"	"УИК №74"	"УИК №75"	"УИК №76"	"УИК №77"	"УИК №78"	"УИК №79"	"УИК №80"	"УИК №81"	"УИК №82"	"УИК №83"	"УИК №84"	"УИК №85"	
1671	1615	485	1464	308	1703	1714	1574	1531	2857	1378	1524	1606	1975	1989	1687	667	2513	1133	1744	2195	2078	1909	1125	2413	2456	2658	2386	2050	2120	2205	1984	2134	1842	1943	1571	2043	1726	1850	1445	1523	1784	1260	743	1079	1369	1326	2468	1217	1678	1508	1397	1616	1819	1947	1830	2495	1866	1571	1890	2339	2237	1971	1854	2394	2334	1636	958	1392	1263	2328	2493	1793	2520	1579	2098	2357	3034	3121	1568	1808	1545	172	517	486	
1500	1500	400	1400	300	1700	1500	1400	1300	2700	1200	1300	1500	1800	1800	1600	600	2400	900	1500	2000	1800	1800	900	2100	2300	2400	2200	1900	1900	2000	1700	2000	1600	1700	1400	1600	1500	1700	1200	1400	1600	1000	600	900	1200	1100	2400	1000	1500	1400	1200	1500	1600	1800	1600	2300	1700	1400	1600	2500	2100	1800	1700	2200	2100	1500	800	1300	1100	2100	2300	1600	2300	1400	1900	2200	2700	2900	1100	1700	1400	200	500	500	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
985	948	284	714	151	1001	1045	839	850	1362	745	841	792	1171	878	974	265	1554	703	1115	1382	1276	1008	665	1369	1508	1585	1556	1266	1242	1351	1175	1289	1145	1240	1009	1379	1083	1046	889	826	905	654	453	722	838	802	1634	903	1040	939	765	819	1209	1239	1143	1467	1177	937	1196	1654	1458	1152	1014	1454	1396	1001	554	825	697	1481	1579	1182	1515	1044	1357	1488	1817	1628	698	1043	779	103	265	244	
33	17	11	29	10	13	19	39	85	25	20	14	11	65	34	34	12	30	13	20	23	21	29	1	78	20	15	22	24	17	8	23	30	27	33	24	17	17	12	9	26	16	4	25	9	14	18	46	9	40	31	15	29	21	21	26	23	28	27	28	27	23	15	10	26	17	7	10	22	14	32	29	11	13	11	17	16	188	25	339	9	75	64	198	242	
482	535	105	657	139	686	436	522	365	1313	435	445	697	564	888	592	323	816	184	365	595	503	763	234	653	772	800	622	610	641	641	502	681	428	427	367	204	400	642	302	548	679	342	122	169	348	280	720	88	420	430	420	652	370	540	431	810	495	436	376	819	619	633	676	720	687	492	236	453	389	587	692	407	772	345	526	696	695	1247	63	648	546	33	37	14	
33	17	11	29	10	13	19	39	85	25	20	14	11	65	34	34	12	30	13	20	23	21	29	1	78	20	15	22	24	17	8	23	30	27	33	24	17	17	12	9	26	16	4	25	9	14	18	46	9	40	31	15	29	21	21	26	23	28	27	28	27	23	15	10	26	17	7	10	22	14	32	29	11	13	11	17	16	188	25	339	9	75	64	198	242	
975	948	284	714	151	1000	1045	838	849	1360	745	841	792	1171	878	974	265	1553	703	1114	1381	1276	1008	662	1369	1498	1584	1552	1266	1242	1349	1170	1280	1145	1240	1008	1379	1083	1046	888	824	905	654	453	722	838	802	1631	903	1038	938	765	819	1209	1239	1142	1466	1177	937	1193	1654	1456	1151	1014	1453	1396	1000	553	825	697	1476	1578	1181	1515	1044	1357	1486	1816	1628	698	1043	778	103	265	244	
3	15	4	6	0	14	17	19	18	16	14	20	21	15	17	16	3	39	16	23	42	23	12	13	29	28	16	24	19	12	16	29	17	18	22	10	27	12	21	15	6	20	13	7	7	56	12	21	19	16	22	14	19	24	24	21	30	20	30	25	22	29	16	23	27	22	12	8	9	4	29	25	16	15	14	13	17	33	22	25	16	10	1	6	5	
1005	950	291	737	161	999	1047	858	916	1369	751	835	782	1221	895	992	274	1544	700	1111	1362	1274	1025	650	1418	1490	1583	1550	1271	1247	1341	1164	1293	1154	1251	1022	1369	1088	1037	882	844	901	645	471	724	796	808	1656	893	1062	947	766	829	1206	1236	1147	1459	1185	934	1196	1659	1450	1150	1001	1452	1391	995	555	838	707	1479	1582	1176	1513	1041	1361	1485	1971	1631	1012	1036	843	166	457	481	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
