"УИК №3101"	"УИК №3102"	"УИК №3103"	"УИК №3104"	"УИК №3105"	"УИК №3106"	"УИК №3107"	"УИК №3108"	"УИК №3109"	"УИК №3110"	"УИК №3111"	"УИК №3112"	"УИК №3113"	"УИК №3114"	"УИК №3115"	"УИК №3116"	"УИК №3117"	"УИК №3118"	"УИК №3119"	"УИК №3120"	"УИК №3121"	"УИК №3122"	"УИК №3123"	"УИК №3124"	"УИК №3125"	"УИК №3126"	"УИК №3127"	"УИК №3128"	"УИК №3129"	"УИК №3130"	"УИК №3131"	"УИК №3132"	"УИК №3133"	"УИК №3134"	"УИК №3135"	"УИК №3136"	"УИК №3137"	"УИК №3138"	"УИК №3139"	"УИК №3140"	"УИК №3141"	"УИК №3142"	
1841	1766	1485	2209	1442	1512	1602	1498	1839	1101	1574	785	1666	831	792	1311	995	1268	1141	511	1784	751	2269	2247	470	287	1295	935	356	987	2268	476	1241	789	149	188	1370	1280	800	1001	1463	491	
1900	1790	1500	2250	1490	1530	1640	1530	1750	1100	1600	790	1700	800	800	1290	1000	1290	1150	490	1800	730	2300	2290	470	275	1330	950	340	1000	2250	470	1250	800	145	185	1400	1280	810	1015	1500	495	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1260	915	741	1865	784	1326	1108	1112	973	524	1164	474	832	669	669	606	928	540	463	420	1564	616	1879	1947	316	219	1005	521	200	675	1366	314	613	661	111	143	915	755	593	523	1052	282	
82	99	80	40	36	30	98	162	155	119	123	153	72	110	81	88	60	85	125	60	115	80	196	120	79	32	115	111	35	77	181	118	137	49	22	28	137	157	127	84	114	82	
558	776	679	345	670	174	434	256	622	457	313	163	796	21	50	596	12	665	562	10	121	34	225	223	75	24	210	318	105	248	703	38	500	90	12	14	348	368	90	408	334	131	
82	99	80	40	36	30	98	162	155	119	123	153	72	110	81	88	60	85	125	60	115	80	196	120	79	32	115	111	35	77	181	118	137	49	22	28	137	157	127	84	114	82	
1260	915	741	1863	784	1296	1107	1112	973	524	1164	474	832	669	669	606	928	540	460	420	1564	616	1879	1945	315	219	1005	521	200	675	1366	314	613	661	111	143	915	754	593	523	1052	282	
12	10	10	15	5	10	11	11	12	3	10	0	13	6	4	12	11	10	10	2	29	8	8	17	0	2	12	6	1	7	20	1	6	7	0	0	8	19	5	5	9	4	
1330	1004	811	1888	815	1316	1194	1263	1116	640	1277	627	891	773	746	682	977	615	575	478	1650	688	2067	2048	394	249	1108	626	234	745	1527	431	744	703	133	171	1044	892	715	602	1157	360	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

6	7	4	6	5	1	7	7	4	2	5	1	4	3	7	5	6	5	3	1	1	10	8	2	2	2	5	1	0	0	7	4	1	2	1	0	6	4	7	2	2	1	
109	169	149	207	144	113	139	101	184	59	178	43	147	100	172	100	107	102	95	41	110	44	176	175	24	18	80	89	28	86	180	36	90	94	7	6	104	85	48	48	109	32	
37	44	43	52	45	39	35	76	53	14	43	43	64	32	43	61	49	50	36	21	100	35	80	72	25	17	35	21	17	42	120	23	36	56	9	17	52	39	95	53	49	14	
1149	757	600	1605	594	1153	992	1025	849	560	1029	535	653	624	518	491	793	443	427	412	1428	598	1780	1766	339	209	974	500	187	609	1194	354	600	533	116	145	862	747	531	489	988	307	
11	9	2	7	12	2	9	16	7	2	9	1	7	4	2	10	5	2	6	2	3	0	4	16	0	0	1	6	2	3	5	4	6	8	0	3	6	5	10	2	5	1	
4	7	7	6	8	3	2	18	7	2	6	3	5	1	3	6	10	7	3	1	6	1	8	8	1	2	6	4	0	4	9	7	8	6	0	0	12	10	14	5	1	0	
9	3	3	4	4	5	7	2	10	0	4	1	7	6	1	4	6	6	3	0	2	0	4	4	2	1	3	4	0	0	7	2	3	3	0	0	1	0	5	2	2	2	
5	8	3	1	3	0	3	18	2	1	3	0	4	3	0	5	1	0	2	0	0	0	7	5	1	0	4	1	0	1	5	1	0	1	0	0	1	2	5	1	1	3	
