"УИК №4601"	"УИК №4602"	"УИК №4603"	"УИК №4604"	"УИК №4605"	"УИК №4606"	"УИК №4607"	"УИК №4608"	"УИК №4609"	"УИК №4610"	"УИК №4611"	"УИК №4612"	"УИК №4613"	"УИК №4614"	"УИК №4615"	"УИК №4616"	"УИК №4617"	"УИК №4618"	"УИК №4619"	"УИК №4620"	"УИК №4621"	"УИК №4622"	"УИК №4623"	"УИК №4624"	"УИК №4625"	"УИК №4626"	"УИК №4627"	"УИК №4628"	"УИК №4629"	"УИК №4630"	"УИК №4631"	"УИК №4632"	"УИК №4633"	"УИК №4634"	"УИК №4635"	"УИК №4636"	"УИК №4637"	"УИК №4638"	"УИК №4639"	"УИК №4640"	"УИК №4641"	"УИК №4642"	"УИК №4643"	"УИК №4644"	"УИК №4645"	"УИК №4646"	"УИК №4647"	"УИК №4648"	"УИК №4649"	"УИК №4650"	"УИК №4651"	"УИК №4652"	"УИК №4653"	"УИК №4654"	"УИК №4655"	"УИК №4656"	"УИК №4657"	"УИК №4658"	"УИК №4659"	"УИК №4660"	"УИК №4661"	"УИК №4662"	"УИК №4663"	"УИК №4664"	
2041	1500	2208	2035	1670	2132	2447	1670	1646	1173	563	818	992	1175	1613	1433	2002	1354	1533	1661	1821	2210	2353	1401	1675	2279	2462	1645	2648	1748	2016	1526	1636	2500	2165	2320	990	1039	1856	1563	1411	1787	1857	2364	2256	1655	2915	2764	2721	1300	1706	823	873	1602	659	1056	1845	1471	2372	2752	1366	2400	1753	1607	
2050	1700	2200	2700	1900	2050	2450	1650	2150	1150	600	700	1000	1150	1500	1500	2350	1200	1550	1700	1850	2200	2200	1250	1600	2050	2200	1650	2500	1600	2100	1750	1650	2600	2200	2250	1000	1100	1900	1400	1200	1650	1700	2350	2100	2050	3050	2550	2600	1800	1700	850	1000	1350	700	950	1600	1500	2450	2500	1500	2700	1600	1200	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1269	1103	1487	1438	1409	1489	1392	1320	1507	993	520	502	897	1036	1154	1038	1810	787	1143	1141	1266	1651	1060	805	914	1235	1472	1129	1502	913	1310	884	1124	1901	1646	1854	863	657	1361	943	1087	941	1362	1358	1182	581	2073	1759	1654	1074	1420	706	766	1137	482	621	1287	1055	1340	2110	1004	2267	1435	875	
40	24	58	108	32	118	28	48	87	117	9	15	20	42	55	22	33	26	34	23	35	28	50	20	23	66	67	78	60	44	58	121	25	42	65	56	25	24	31	64	63	9	37	58	14	540	142	45	45	43	57	17	46	33	19	44	78	28	110	135	41	46	65	53	
741	573	655	1154	459	443	1030	282	556	40	71	183	83	72	291	440	507	387	373	536	549	521	1090	425	663	749	661	443	938	643	732	745	501	657	489	340	112	419	508	393	50	700	301	934	904	929	835	746	901	683	223	127	188	180	199	285	235	417	1000	255	455	387	100	272	
40	24	58	108	32	118	28	48	87	117	9	15	20	42	55	22	33	26	34	23	35	28	50	20	23	66	67	78	60	44	58	121	25	42	65	56	25	24	31	64	63	9	37	58	14	540	142	45	45	43	57	17	46	33	19	44	78	28	110	135	41	46	65	53	
1269	1102	1487	1438	1409	1488	1390	1320	1507	993	520	501	897	1036	1154	1038	1810	787	1143	1141	1266	1651	1060	805	914	1235	1472	1129	1501	912	1308	884	1124	1901	1646	1854	863	657	1361	943	1087	941	1362	1345	1182	581	2073	1758	1654	1074	1417	706	766	1137	482	621	1287	1055	1339	2109	1003	2267	1435	875	
25	15	13	16	15	13	24	13	17	5	11	6	10	20	12	10	0	12	18	20	7	15	20	18	20	19	21	18	12	21	14	8	19	26	17	26	22	13	25	16	16	18	0	30	9	9	15	19	25	21	0	8	7	9	3	9	11	21	13	23	11	14	17	14	
1284	1111	1532	1530	1426	1593	1394	1355	1577	1105	518	510	907	1058	1197	1050	1843	801	1159	1144	1294	1664	1090	807	917	1282	1518	1189	1549	935	1352	997	1130	1917	1694	1884	866	668	1367	991	1134	932	1399	1373	1187	1112	2200	1784	1674	1096	1474	715	805	1161	498	656	1354	1062	1436	2221	1033	2299	1483	914	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

6	6	7	8	5	13	11	9	20	6	6	6	5	7	10	9	9	2	14	5	8	9	6	4	10	5	8	8	11	5	9	4	7	6	11	10	8	3	10	7	11	9	5	16	8	6	10	13	10	7	14	5	7	9	5	4	13	8	8	12	6	8	4	3	
169	144	179	185	188	175	185	168	158	42	77	58	94	115	154	117	173	74	143	131	130	133	116	103	84	133	154	127	175	116	169	109	137	290	184	94	93	81	166	114	124	137	149	199	150	114	210	196	206	110	174	92	107	150	67	78	147	162	178	265	146	148	151	94	
51	45	66	82	84	46	72	83	30	22	17	29	33	60	69	68	49	42	62	68	67	105	55	51	54	69	81	49	75	53	52	42	63	68	53	55	46	32	75	49	54	39	63	67	66	71	70	102	92	53	60	23	18	53	17	29	48	40	66	91	23	106	48	57	
987	857	1169	1183	1072	1284	1054	1020	1291	996	368	386	722	815	898	789	1551	634	886	881	1040	1325	854	612	723	998	1192	928	1205	716	1059	787	878	1473	1383	1643	674	520	1046	763	887	681	1102	1021	884	864	1773	1369	1262	890	1093	554	634	845	376	497	1054	765	1101	1681	817	1967	1209	714	
42	30	74	36	41	39	36	32	29	7	19	20	21	30	24	28	25	31	27	25	19	48	28	17	22	29	31	34	39	19	30	31	21	45	31	35	30	18	46	24	30	41	42	35	33	26	61	52	53	16	59	25	9	55	16	24	47	53	46	101	20	20	32	24	
8	11	7	5	7	2	4	15	6	8	6	1	4	4	7	12	5	4	10	8	7	14	5	5	8	15	13	10	8	5	10	6	6	5	8	8	2	4	1	11	6	4	6	8	9	7	10	15	8	5	7	3	8	4	2	7	9	8	10	6	6	13	10	8	
10	9	20	12	14	19	13	10	19	13	13	3	10	10	16	9	18	4	5	8	11	14	11	7	6	16	15	12	12	14	13	11	8	14	14	22	5	4	10	10	7	14	14	8	17	13	15	17	21	6	19	7	8	18	6	8	18	15	12	33	6	14	13	8	
11	9	10	19	15	15	19	18	24	11	12	7	18	17	19	18	13	10	12	18	12	16	15	8	10	17	24	21	24	7	10	7	10	16	10	17	8	6	13	13	15	7	18	19	20	11	51	20	22	9	48	6	14	27	9	9	18	11	15	32	9	23	16	6	
