"УИК №41"	"УИК №42"	"УИК №43"	"УИК №44"	"УИК №45"	"УИК №46"	"УИК №47"	"УИК №48"	"УИК №49"	"УИК №50"	"УИК №51"	"УИК №52"	"УИК №53"	"УИК №54"	"УИК №55"	"УИК №56"	"УИК №57"	"УИК №58"	"УИК №59"	"УИК №60"	"УИК №61"	"УИК №62"	"УИК №63"	"УИК №64"	"УИК №65"	"УИК №66"	"УИК №67"	"УИК №68"	"УИК №69"	
1163	964	1189	983	996	836	536	872	1128	630	648	366	435	1072	887	614	534	412	462	824	1965	1326	565	168	348	175	240	1075	1786	
1200	900	1150	1000	1050	800	500	900	1000	590	660	350	430	1100	870	600	540	400	460	800	1700	1330	560	230	320	180	240	1100	1850	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
670	633	695	610	694	546	360	588	764	421	403	227	222	575	511	338	301	222	279	405	1040	764	330	158	209	151	138	629	1030	
45	7	17	15	22	37	13	16	17	16	23	10	16	25	38	15	15	27	9	10	190	23	16	10	5	3	4	33	53	
485	260	438	375	334	217	127	296	219	153	234	113	192	500	321	247	224	151	172	385	470	543	214	62	106	26	98	438	767	
45	7	17	15	22	37	13	16	17	16	23	10	16	25	38	15	15	27	9	10	190	23	16	10	5	3	4	33	53	
670	633	695	610	694	546	360	588	764	421	403	227	222	575	511	338	301	222	279	405	1040	764	330	158	209	151	138	629	1030	
9	9	7	4	8	11	6	1	5	4	5	4	1	6	1	3	1	1	1	6	23	3	1	2	4	2	1	9	14	
706	631	705	621	708	572	367	603	776	433	421	233	237	594	548	350	315	248	287	409	1207	784	345	166	210	152	141	653	1069	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

4	1	4	5	4	0	0	9	3	3	2	1	4	2	1	1	0	2	0	2	8	1	5	0	0	0	0	5	8	
192	131	215	135	180	148	121	151	193	103	117	76	80	152	119	86	74	49	52	112	251	208	83	14	29	10	32	181	284	
48	43	46	39	33	36	24	26	47	34	30	16	15	46	55	33	41	17	17	37	122	51	31	8	12	5	6	32	78	
449	433	420	428	467	379	201	403	516	283	259	137	133	381	369	224	195	175	214	251	786	505	221	140	164	133	102	428	680	
4	7	10	7	9	3	5	2	10	1	7	0	2	4	1	3	1	2	3	1	20	7	3	2	5	1	0	3	7	
1	1	1	2	5	3	4	4	2	4	0	2	1	5	0	0	2	0	0	1	13	4	1	0	0	0	1	2	3	
2	8	5	2	6	1	5	4	2	3	1	1	0	1	1	2	0	2	0	1	2	4	1	1	0	0	0	2	3	
6	7	4	3	4	2	7	4	3	2	5	0	2	3	2	1	2	1	1	4	5	4	0	1	0	3	0	0	6	
