"УИК №1093"	"УИК №1094"	"УИК №1095"	"УИК №1096"	"УИК №1097"	"УИК №1098"	"УИК №1099"	"УИК №1100"	"УИК №1101"	"УИК №1102"	"УИК №1103"	"УИК №1104"	"УИК №1105"	"УИК №1106"	"УИК №1107"	"УИК №1108"	"УИК №1109"	"УИК №1110"	"УИК №1111"	"УИК №1112"	"УИК №1113"	"УИК №1114"	"УИК №1115"	"УИК №1116"	
1633	1665	387	211	157	162	99	211	329	246	303	157	329	320	345	69	415	148	234	295	127	203	145	127	
1600	1650	350	200	140	150	90	200	330	240	270	150	320	310	300	55	400	140	220	280	120	200	140	120	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1021	948	209	114	42	70	35	89	189	131	140	59	171	205	186	36	215	96	100	136	43	122	81	42	
95	97	115	27	62	47	47	69	76	77	75	57	93	64	86	19	94	40	62	95	55	44	28	38	
484	605	26	59	36	33	8	42	65	32	55	34	56	41	28	0	91	4	58	49	22	34	31	40	
95	97	115	27	62	47	47	69	76	77	75	57	93	64	86	19	94	40	62	95	55	44	28	38	
1021	948	209	114	42	70	35	89	189	131	140	59	171	205	186	36	215	96	100	136	43	122	81	42	
14	9	0	2	0	0	0	1	1	1	0	0	0	4	3	0	0	2	1	6	1	0	1	0	
1102	1036	324	139	104	117	82	157	264	207	215	116	264	265	269	55	309	134	161	225	97	166	108	80	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

4	7	3	1	0	3	0	0	3	3	0	1	2	1	3	1	0	0	0	1	0	0	0	0	
123	123	8	5	1	6	3	7	14	4	2	14	36	22	12	1	15	7	6	19	0	8	7	11	
59	67	13	16	9	8	2	11	14	7	32	19	17	7	16	0	19	16	11	12	8	10	8	9	
888	814	291	117	94	100	77	134	227	193	175	78	208	230	230	50	274	109	143	191	86	137	92	60	
12	6	3	0	0	0	0	3	2	0	4	1	1	3	4	0	0	1	1	1	2	0	1	0	
7	11	4	0	0	0	0	2	4	0	2	0	0	1	3	0	1	0	0	1	1	11	0	0	
6	8	2	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	
3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	1	0	0	0	0	0	0	
