"УИК №425"	"УИК №426"	"УИК №427"	"УИК №428"	"УИК №429"	"УИК №430"	"УИК №431"	"УИК №432"	"УИК №433"	"УИК №434"	"УИК №435"	"УИК №436"	"УИК №437"	"УИК №438"	"УИК №439"	
1047	1018	1057	538	487	258	194	475	566	553	142	307	365	136	135	
1000	1000	1000	500	500	250	200	500	500	550	150	300	400	130	140	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
659	567	686	272	218	129	77	152	189	265	68	170	171	74	59	
63	65	45	100	87	54	60	215	213	126	26	52	40	21	32	
278	368	269	128	195	67	63	133	98	159	56	78	189	35	49	
63	65	45	100	87	54	60	215	213	126	26	52	40	21	32	
659	567	686	272	218	129	77	152	189	265	68	170	171	74	59	
6	6	9	5	3	4	1	1	4	5	0	3	2	0	1	
716	626	722	367	302	179	136	366	398	386	94	219	209	95	90	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	2	2	4	0	1	1	1	0	5	0	1	2	0	1	
96	75	126	29	36	25	11	26	48	53	18	22	19	17	6	
41	57	34	30	20	9	16	43	30	29	7	22	17	23	10	
556	472	527	299	233	136	105	290	306	288	68	161	166	55	72	
4	5	8	2	4	3	0	3	7	3	1	7	0	0	0	
6	7	9	3	4	2	3	2	6	5	0	5	1	0	1	
3	2	5	0	0	1	0	0	0	1	0	1	2	0	0	
7	6	11	0	5	2	0	1	1	2	0	0	2	0	0	
