"УИК №2500"	"УИК №2501"	"УИК №2502"	"УИК №2503"	"УИК №2504"	"УИК №2505"	"УИК №2506"	"УИК №2507"	"УИК №2508"	"УИК №2509"	"УИК №2510"	"УИК №2511"	"УИК №2512"	"УИК №2513"	"УИК №2514"	"УИК №2515"	"УИК №2516"	"УИК №2517"	"УИК №2518"	"УИК №2519"	"УИК №2520"	"УИК №2521"	"УИК №2522"	"УИК №2523"	"УИК №2524"	"УИК №2525"	"УИК №2526"	"УИК №2527"	"УИК №2528"	"УИК №2529"	"УИК №2530"	"УИК №2531"	"УИК №2532"	"УИК №2533"	"УИК №2534"	"УИК №2535"	"УИК №2536"	"УИК №2537"	"УИК №2538"	"УИК №2539"	"УИК №2540"	"УИК №2541"	"УИК №2542"	
344	369	733	340	353	215	469	419	395	218	206	317	470	435	416	367	1058	179	290	120	460	180	323	175	431	660	303	260	286	545	1349	1138	980	1395	185	1375	1538	1453	1464	728	1532	1312	1453	
349	369	736	342	356	218	468	424	394	222	209	321	474	431	415	371	1063	181	294	120	469	180	326	177	430	657	305	263	288	548	1360	1144	981	1406	188	1376	1548	1455	1474	744	1561	1331	1462	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
337	358	639	324	338	211	434	394	358	201	190	297	445	407	391	344	1005	167	268	105	420	169	306	171	416	591	288	235	275	530	1252	1075	916	1318	177	1296	1446	1387	1347	665	1420	1109	1327	
0	0	24	6	0	0	0	18	13	7	7	10	12	13	12	12	13	1	3	3	17	8	6	2	6	35	5	4	5	0	27	5	18	22	3	7	4	0	10	24	10	120	27	
12	11	73	12	18	7	34	12	23	14	12	14	17	11	12	15	45	13	23	12	32	3	14	4	8	31	12	24	8	18	81	64	47	66	8	73	98	68	117	55	131	102	108	
0	0	24	6	0	0	0	18	13	7	7	10	12	13	12	12	13	1	3	3	17	8	6	2	6	35	5	4	5	0	27	5	18	22	3	7	4	0	10	24	10	120	27	
337	358	639	324	338	211	434	394	358	201	190	297	445	407	391	344	1005	167	268	105	420	169	306	171	416	591	288	235	275	530	1252	1075	916	1318	177	1296	1446	1387	1337	665	1419	1109	1327	
0	2	3	1	0	0	0	8	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	2	0	1	16	12	0	0	1	3	5	
337	356	660	329	338	211	434	404	371	208	194	307	457	420	403	356	1018	168	271	108	437	177	312	173	422	626	293	237	280	530	1279	1079	934	1338	180	1302	1434	1375	1347	689	1428	1226	1349	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	0	2	0	0	0	1	0	0	1	0	0	2	0	0	1	1	1	0	1	1	0	2	0	0	1	0	0	0	3	1	8	0	7	0	8	5	7	6	2	38	7	11	
6	16	51	19	14	10	26	11	16	14	11	5	13	14	12	10	23	18	10	5	20	3	23	9	16	50	11	4	5	16	42	56	32	35	8	32	108	30	88	50	50	89	63	
3	2	19	0	5	3	3	1	8	4	2	3	5	2	2	3	11	0	6	1	11	1	0	1	4	3	2	2	1	5	3	22	26	12	2	15	10	34	17	18	20	23	6	
328	333	571	306	311	194	395	390	347	187	178	297	425	399	387	335	979	146	250	100	394	171	287	160	394	567	280	231	271	500	1195	980	861	1245	168	1197	1306	1276	1212	606	1275	1089	1234	
0	1	5	2	3	1	3	1	0	0	2	1	6	1	0	4	1	2	0	0	7	1	0	1	4	1	0	0	1	3	34	4	15	4	2	2	2	13	7	6	2	1	17	
0	1	2	0	2	1	2	0	0	0	1	1	1	2	0	1	1	1	2	0	2	1	0	0	2	1	0	0	0	1	0	1	0	15	0	9	1	3	5	2	6	0	6	
0	1	1	1	1	1	1	1	0	1	0	0	1	1	1	1	1	0	0	0	0	0	0	1	1	2	0	0	1	1	0	2	0	8	0	20	1	3	3	3	11	6	8	
0	2	9	1	2	1	3	0	0	1	0	0	4	1	1	1	1	0	3	1	2	0	0	1	1	1	0	0	1	1	4	6	0	12	0	19	1	9	9	2	26	11	4	
