"УИК №810"	"УИК №811"	"УИК №812"	"УИК №813"	"УИК №814"	"УИК №815"	"УИК №816"	"УИК №817"	"УИК №818"	"УИК №819"	"УИК №820"	"УИК №821"	"УИК №822"	"УИК №823"	"УИК №824"	"УИК №825"	"УИК №826"	"УИК №827"	"УИК №828"	"УИК №829"	"УИК №830"	"УИК №831"	"УИК №832"	"УИК №833"	"УИК №834"	"УИК №835"	"УИК №836"	"УИК №837"	"УИК №838"	"УИК №839"	"УИК №840"	"УИК №841"	"УИК №842"	"УИК №843"	"УИК №844"	"УИК №845"	"УИК №846"	"УИК №847"	"УИК №848"	"УИК №849"	"УИК №850"	"УИК №851"	"УИК №852"	"УИК №853"	"УИК №854"	"УИК №855"	"УИК №856"	"УИК №857"	"УИК №858"	"УИК №859"	"УИК №860"	"УИК №861"	"УИК №862"	"УИК №863"	"УИК №864"	"УИК №865"	"УИК №866"	"УИК №867"	"УИК №868"	"УИК №869"	"УИК №870"	"УИК №871"	"УИК №872"	"УИК №873"	
2294	2306	1992	2329	613	2030	2289	1523	1761	1122	384	441	2165	529	478	1755	2057	364	598	301	210	166	242	916	201	1286	467	1720	741	853	426	931	599	1442	395	1742	1842	444	173	949	1170	1214	1476	1107	1398	1166	536	765	825	650	494	613	215	1523	518	2266	1235	400	331	840	1924	546	244	703	
1960	1960	1760	2000	500	1800	1900	1470	1600	1000	330	400	1900	500	410	1550	1800	350	580	270	190	140	210	800	170	1150	430	1500	600	750	370	820	550	1300	320	1500	1620	390	150	830	1000	1060	1300	970	1200	1100	450	630	710	540	410	540	190	1320	450	2020	1080	340	290	700	1700	460	220	600	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1535	1790	1422	1868	361	1554	1615	1297	1355	914	311	348	1135	428	352	1497	1371	317	510	214	165	132	191	716	156	1019	394	1315	544	670	237	726	490	1211	296	1409	1269	339	124	755	888	971	1078	824	1073	963	426	595	669	488	374	461	167	1179	389	1640	914	319	258	561	1528	394	186	520	
85	77	57	59	31	66	45	149	57	52	17	16	102	22	27	47	125	24	43	17	19	8	19	43	11	102	31	77	47	49	65	51	25	79	23	71	76	22	19	75	79	87	50	21	47	90	19	33	39	32	35	54	7	80	27	111	82	8	28	111	73	17	6	27	
340	93	281	73	108	180	240	24	188	34	2	36	663	50	31	6	304	9	27	39	6	0	0	41	3	29	5	108	9	31	68	43	35	10	1	20	275	29	7	0	33	2	172	125	80	47	5	2	2	20	1	25	16	61	34	269	84	13	4	28	99	49	28	53	
85	77	57	59	31	66	45	149	57	52	17	16	102	22	27	47	125	24	43	17	19	8	19	43	11	102	31	77	47	49	65	51	25	79	23	71	76	22	19	75	79	87	50	21	47	90	19	33	39	32	35	54	7	80	27	111	82	8	28	111	73	17	6	27	
1535	1790	1419	1868	361	1554	1615	1297	1355	914	311	348	1135	428	352	1497	1371	317	510	214	165	132	191	716	156	1019	394	1315	544	670	237	726	490	1211	296	1409	1269	339	124	755	888	971	1078	824	1073	963	426	595	669	488	374	461	167	1179	389	1640	914	319	258	561	1528	394	186	520	
10	21	5	22	8	7	13	12	0	4	1	3	22	3	7	11	14	1	6	4	2	2	0	4	0	13	11	20	8	84	2	8	2	14	6	11	28	3	0	1	12	9	12	15	9	21	2	6	10	13	6	6	5	9	6	20	11	12	12	19	171	0	0	0	
1610	1846	1471	1905	384	1613	1647	1434	1412	962	327	361	1215	447	372	1533	1482	340	547	227	182	138	210	755	167	1108	414	1372	583	635	300	769	513	1276	313	1469	1317	358	143	829	955	1049	1116	830	1111	1032	443	622	698	507	403	509	169	1250	410	1731	985	315	274	653	1430	411	192	547	
