"УИК №713"	"УИК №714"	"УИК №715"	"УИК №716"	"УИК №717"	"УИК №718"	"УИК №719"	"УИК №720"	"УИК №721"	"УИК №722"	"УИК №723"	"УИК №724"	"УИК №725"	"УИК №726"	"УИК №727"	"УИК №728"	"УИК №729"	"УИК №730"	"УИК №731"	"УИК №732"	"УИК №733"	"УИК №734"	"УИК №735"	"УИК №736"	"УИК №737"	
2232	473	348	366	287	947	80	115	82	204	297	318	567	417	2398	586	248	709	507	134	657	252	1998	266	355	
2000	400	320	300	250	700	70	100	70	250	250	300	490	350	2400	500	200	600	500	130	600	200	2000	200	300	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
837	242	272	221	218	523	59	56	43	181	177	221	379	298	1291	400	169	402	249	79	444	121	1227	148	204	
260	92	33	27	24	72	0	16	8	23	14	34	61	47	202	33	24	72	67	23	34	61	79	49	44	
903	66	15	52	8	105	11	28	19	46	59	45	50	5	907	67	7	126	184	28	122	18	694	3	52	
260	92	33	27	24	72	0	16	8	23	14	34	61	47	202	33	24	72	67	23	34	61	79	49	44	
837	242	272	221	218	523	59	56	43	181	177	221	379	298	1291	400	169	402	249	79	444	121	1227	148	204	
0	7	1	0	1	3	0	0	0	0	2	1	3	0	16	3	2	5	0	0	8	0	13	0	0	
1097	327	304	248	241	592	59	72	51	204	189	254	437	345	1477	430	191	469	316	102	470	182	1293	197	248	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

7	2	6	2	0	8	0	0	0	0	3	3	4	2	11	3	2	5	6	0	1	2	17	2	3	
136	64	40	22	22	137	11	12	4	25	31	25	45	45	282	86	44	91	58	8	83	12	244	25	29	
88	21	11	9	11	68	11	5	4	22	11	9	20	21	133	24	13	29	36	12	42	11	109	14	16	
835	233	244	212	205	366	36	53	43	153	136	210	356	268	1002	305	129	330	206	81	335	153	872	151	194	
9	2	2	0	0	3	0	1	0	2	6	4	8	3	12	5	3	2	3	1	1	0	20	1	3	
11	2	0	0	1	4	0	1	0	0	1	2	0	5	24	4	0	7	7	0	5	1	18	3	1	
5	2	1	1	0	3	1	0	0	2	0	1	1	1	9	3	0	3	0	0	1	2	5	1	2	
6	1	0	2	2	3	0	0	0	0	1	0	3	0	4	0	0	2	0	0	2	1	8	0	0	
