"УИК №4101"	"УИК №4102"	"УИК №4103"	"УИК №4104"	"УИК №4105"	"УИК №4106"	"УИК №4107"	"УИК №4108"	"УИК №4109"	"УИК №4110"	"УИК №4111"	"УИК №4112"	"УИК №4113"	"УИК №4114"	"УИК №4115"	"УИК №4116"	"УИК №4117"	"УИК №4118"	"УИК №4119"	"УИК №4120"	"УИК №4121"	
800	424	308	239	206	394	438	109	538	466	1323	812	557	867	668	102	152	181	753	436	901	
890	438	301	288	219	451	553	113	591	487	1285	787	574	850	756	110	169	187	806	458	956	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
542	258	190	125	123	252	288	67	289	364	701	346	275	633	411	71	86	131	396	289	544	
41	47	34	54	32	87	113	22	134	61	318	150	138	65	104	13	35	26	145	136	176	
307	133	77	109	64	112	152	24	168	62	266	291	161	152	241	26	48	30	265	33	236	
41	47	34	54	32	87	113	22	134	61	317	150	138	65	104	13	35	26	145	136	176	
542	258	190	124	123	252	286	67	289	364	699	346	275	633	411	71	86	131	396	289	544	
3	1	2	1	1	2	2	0	0	2	4	5	0	4	0	0	0	1	2	0	5	
580	304	222	177	154	337	397	89	423	423	1012	491	413	694	515	84	121	156	539	425	715	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

7	0	3	1	0	2	0	0	0	0	2	2	2	4	8	1	0	0	2	0	2	
131	42	35	42	9	45	37	2	55	25	111	72	31	36	87	14	18	12	64	3	61	
28	23	5	6	18	38	31	3	17	18	44	38	24	37	30	9	9	12	30	15	58	
404	232	175	125	126	243	321	84	347	377	840	370	351	610	383	60	90	127	435	407	578	
6	6	1	1	1	4	2	0	0	0	5	4	3	2	4	0	1	1	4	0	8	
2	1	0	0	0	3	4	0	2	1	5	2	1	2	1	0	0	4	2	0	5	
2	0	1	1	0	0	1	0	2	2	3	2	1	1	2	0	2	0	1	0	2	
0	0	2	1	0	2	1	0	0	0	2	1	0	2	0	0	1	0	1	0	1	
