"УИК №465"	"УИК №466"	"УИК №467"	"УИК №468"	"УИК №469"	"УИК №470"	"УИК №471"	"УИК №472"	"УИК №473"	"УИК №474"	"УИК №475"	"УИК №476"	"УИК №477"	"УИК №478"	"УИК №479"	"УИК №480"	"УИК №481"	"УИК №482"	"УИК №483"	"УИК №484"	"УИК №485"	"УИК №486"	"УИК №805"	"УИК №806"	"УИК №809"	"УИК №810"	"УИК №811"	"УИК №812"	"УИК №813"	"УИК №814"	"УИК №815"	"УИК №816"	"УИК №817"	"УИК №818"	"УИК №819"	"УИК №820"	"УИК №855"	"УИК №856"	"УИК №857"	"УИК №858"	"УИК №859"	"УИК №862"	
1988	1404	508	791	1773	924	968	1728	781	1801	1661	1852	732	833	467	1128	529	718	519	259	1291	1420	1106	231	13	18	19	14	19	18	19	18	18	18	12	7	18	17	39	39	12	13	
1900	1400	500	850	1800	950	1050	1850	850	1900	1750	1950	800	850	500	1200	650	800	550	300	1300	1400	1050	250	14	19	20	15	20	19	20	19	19	19	14	8	18	18	40	39	13	14	
0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	15	0	16	78	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1369	761	280	520	1098	626	611	1169	541	1156	1065	1007	450	564	330	974	298	464	282	177	826	675	828	143	13	18	19	14	19	18	19	18	18	18	12	7	17	17	39	38	12	13	
18	60	1	20	113	12	19	27	6	32	20	43	16	11	27	14	31	55	29	16	39	20	12	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
513	579	219	310	589	312	420	654	303	711	665	900	334	275	143	212	321	281	224	107	419	627	210	84	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	
18	60	1	20	113	12	19	27	6	33	20	43	16	11	27	14	31	55	44	16	55	98	12	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1369	761	280	520	1097	626	611	1168	541	1156	1065	1007	450	564	330	974	298	464	282	177	826	675	828	143	13	18	19	14	19	18	19	18	18	18	12	7	17	17	39	38	12	13	
35	18	10	20	19	16	14	22	11	17	16	16	6	17	9	17	4	12	6	4	11	16	16	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	
1352	803	271	520	1191	622	616	1173	536	1172	1069	1034	460	558	348	971	325	507	320	189	870	757	824	165	13	18	19	14	19	17	19	18	18	18	12	6	17	17	39	38	12	13	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

9	4	4	3	8	1	1	3	2	9	7	5	2	5	0	7	1	1	2	2	8	6	6	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
385	223	88	127	335	170	162	300	164	322	288	285	110	145	82	136	63	62	62	18	135	123	130	18	1	5	6	3	4	1	6	0	11	4	0	0	4	1	1	0	1	6	
158	98	28	80	113	71	60	116	58	114	108	119	62	76	50	113	44	78	34	25	107	118	111	15	3	3	3	0	3	3	3	0	0	3	3	0	7	1	2	3	4	4	
758	464	146	301	697	359	376	709	294	689	631	586	273	316	208	690	203	355	210	141	604	493	565	128	7	9	7	11	10	12	6	15	6	10	9	2	5	12	36	35	6	3	
9	5	2	2	17	8	4	19	6	13	21	10	7	6	2	8	8	3	5	2	3	7	4	1	1	0	1	0	0	0	3	1	0	0	0	2	1	1	0	0	0	0	
16	4	2	1	4	3	5	9	8	11	5	16	3	7	1	5	3	4	6	1	11	6	4	2	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	
9	3	0	5	8	5	6	6	2	6	2	6	2	2	3	5	2	1	0	0	0	2	2	0	1	0	0	0	1	1	0	1	0	0	0	1	0	1	0	0	0	0	
8	2	1	1	9	5	2	11	2	8	7	7	1	1	2	7	1	3	1	0	2	2	2	0	0	0	2	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	
