"УИК №164"	"УИК №165"	"УИК №166"	"УИК №167"	"УИК №168"	"УИК №169"	"УИК №170"	"УИК №171"	
2033	1469	1005	2699	170	1263	149	973	
2050	1550	900	2700	165	1250	135	900	
0	0	0	0	0	0	0	0	
1782	1283	834	2621	136	1153	122	888	
48	23	63	74	14	52	9	12	
220	244	3	5	15	45	4	0	
48	23	63	74	14	52	9	12	
1782	1282	834	2611	136	1153	122	888	
30	27	0	0	0	14	0	0	
1800	1278	897	2685	150	1191	131	900	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	

2	2	1	6	0	3	1	1	
270	193	110	131	12	149	26	64	
24	16	2	54	7	1	0	7	
1487	1053	773	2479	128	1032	102	820	
7	7	0	0	0	0	0	0	
5	4	10	13	3	5	1	7	
3	1	0	1	0	0	0	0	
2	2	1	1	0	1	1	1	
