"УИК №465"	"УИК №466"	"УИК №467"	"УИК №468"	"УИК №469"	"УИК №470"	"УИК №471"	"УИК №472"	"УИК №473"	"УИК №474"	"УИК №475"	"УИК №476"	"УИК №477"	"УИК №478"	"УИК №479"	"УИК №480"	"УИК №481"	"УИК №482"	"УИК №483"	"УИК №484"	"УИК №485"	"УИК №486"	"УИК №487"	"УИК №488"	"УИК №489"	"УИК №490"	"УИК №491"	"УИК №492"	"УИК №493"	"УИК №494"	"УИК №495"	"УИК №496"	"УИК №497"	"УИК №498"	"УИК №499"	"УИК №500"	"УИК №501"	"УИК №502"	"УИК №503"	"УИК №504"	"УИК №505"	"УИК №506"	"УИК №507"	"УИК №508"	"УИК №509"	"УИК №510"	"УИК №511"	"УИК №512"	"УИК №513"	"УИК №514"	"УИК №3499"	
2326	2066	936	2339	853	2998	3104	3022	2759	2784	1849	1047	390	2817	2754	2824	2614	2455	2425	2119	2896	2014	1450	1140	2479	2158	2314	2008	154	1161	1358	2091	1823	1247	1988	1924	2787	2793	1261	2725	3162	1466	1927	1124	1522	2391	1496	1756	2011	2536	1643	
1950	1800	850	2200	750	2750	2800	2750	2500	2550	1650	1000	380	2550	2500	2500	2400	2200	2200	1950	2600	1850	1300	1050	2250	1850	1950	1850	150	1000	1200	1900	1550	1000	1650	1750	2550	2550	1150	2800	2800	1400	1750	1000	1400	2150	1350	1650	1850	2250	1500	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1407	1202	586	1774	649	2377	2375	1780	1979	1961	1544	636	287	2213	2151	2029	1642	1467	1465	1282	2254	1564	1052	808	1885	1675	1384	1280	119	641	1084	1325	1086	786	1409	1191	1712	1643	621	2354	1720	865	1206	702	1187	1522	805	1180	1419	1748	1220	
53	62	15	50	10	22	30	25	7	41	27	33	68	43	50	56	55	40	48	27	43	32	38	13	59	48	42	29	10	3	15	11	11	8	17	14	18	24	2	20	11	18	24	8	29	39	4	64	32	35	13	
490	536	249	376	91	351	395	945	514	548	79	331	25	294	299	415	703	693	687	641	303	254	210	229	306	127	524	541	21	356	101	564	453	206	224	545	820	883	527	426	1069	517	520	290	184	589	541	406	399	467	267	
53	62	15	50	10	22	30	25	7	41	27	33	68	43	50	56	55	40	48	27	43	32	38	13	59	48	42	29	10	3	15	11	11	8	17	14	18	24	2	20	11	18	24	8	29	39	4	64	32	35	13	
1407	1202	586	1774	649	2377	2375	1780	1979	1960	1544	636	287	2213	2151	2029	1642	1467	1465	1282	2254	1564	1052	808	1885	1675	1384	1280	119	641	1084	1325	1086	786	1409	1191	1712	1643	621	2354	1720	865	1206	702	1187	1522	805	1180	1419	1748	1220	
32	3	3	4	0	4	11	21	14	21	1	13	9	9	9	15	43	10	14	30	12	15	13	0	2	7	6	18	2	8	14	15	14	21	22	21	15	32	4	25	12	13	17	13	3	10	2	30	7	17	0	
1428	1261	598	1820	659	2395	2394	1784	1972	1980	1570	656	346	2247	2192	2070	1654	1497	1499	1279	2285	1581	1077	821	1942	1716	1420	1291	127	636	1085	1321	1083	773	1404	1184	1715	1635	619	2349	1719	870	1213	697	1213	1551	807	1214	1444	1766	1233	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

5	7	6	78	4	15	10	6	13	9	3	2	2	9	15	5	15	7	6	6	11	11	5	8	6	64	7	14	2	6	5	11	7	7	7	11	9	11	6	13	15	8	8	4	16	8	2	7	9	21	6	
156	53	131	27	66	99	335	291	304	244	181	91	36	199	199	183	260	261	211	251	124	121	140	41	198	86	187	210	12	102	54	223	227	132	238	224	318	334	104	387	275	154	197	135	121	256	57	188	198	93	181	
61	41	40	47	22	65	133	64	74	57	97	32	28	55	30	44	93	85	88	68	81	43	27	24	57	54	28	66	18	40	30	90	59	47	92	69	95	100	51	131	108	49	86	38	57	82	21	58	67	63	28	
1139	1130	392	1382	544	2163	1799	1352	1517	1614	1257	506	273	1956	1871	1798	1204	1072	1161	885	1945	1359	860	698	1611	1458	1175	949	85	464	959	925	741	554	1017	824	1207	1103	422	1711	1243	615	864	489	971	1150	712	909	1141	1463	991	
23	9	9	26	9	11	27	20	22	19	10	7	4	10	25	7	30	32	6	24	31	3	17	20	25	13	10	16	4	8	10	23	12	10	14	23	35	33	10	51	21	15	24	12	11	12	9	17	11	20	8	
14	8	7	82	8	23	43	17	16	20	8	6	1	10	10	12	21	17	7	14	11	8	16	3	7	8	5	16	2	6	15	18	14	10	15	14	15	25	12	18	28	13	10	10	12	22	3	14	9	26	3	
14	8	5	83	3	10	34	12	14	7	11	6	0	2	12	9	16	6	9	11	15	13	6	3	9	17	6	10	3	4	5	12	7	4	12	7	20	14	4	14	12	7	8	6	10	7	1	12	3	40	8	
16	5	8	95	3	9	13	22	12	10	3	6	2	6	30	12	15	17	11	20	67	23	6	24	29	16	2	10	1	6	7	19	16	9	9	12	16	15	10	24	17	9	16	3	15	14	2	9	6	40	8	
