"УИК №441"	"УИК №442"	"УИК №443"	"УИК №444"	"УИК №445"	"УИК №446"	"УИК №447"	"УИК №448"	"УИК №449"	"УИК №450"	"УИК №451"	"УИК №452"	"УИК №453"	"УИК №454"	"УИК №455"	"УИК №456"	"УИК №457"	"УИК №459"	"УИК №460"	"УИК №461"	
233	2106	1861	651	285	532	170	349	580	346	264	955	407	192	265	258	1430	78	228	127	
250	2000	1900	650	250	500	150	340	600	350	250	900	350	150	250	240	1400	70	200	100	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
70	1203	1017	324	127	289	76	200	288	174	126	558	233	103	126	125	730	45	103	43	
22	52	48	22	25	57	27	31	30	12	21	55	20	10	24	16	103	7	21	25	
158	745	835	304	98	154	47	109	282	164	103	287	97	37	100	99	567	18	76	32	
22	52	48	22	25	57	27	31	30	12	21	55	20	10	24	16	103	7	21	25	
70	1203	1015	324	127	289	76	200	288	174	126	558	233	103	126	125	730	45	103	43	
0	12	16	2	1	2	1	4	2	1	1	4	1	1	1	2	4	0	2	0	
92	1243	1047	344	151	344	102	227	316	185	146	609	252	112	149	139	829	52	122	68	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	16	20	3	2	6	1	3	0	0	0	11	3	0	2	1	9	1	1	0	
6	148	115	46	4	10	2	19	8	2	14	76	23	5	7	15	124	3	16	4	
9	129	119	44	14	34	18	31	25	20	19	81	30	10	11	14	86	1	14	11	
73	902	760	245	125	287	79	170	278	162	112	415	192	96	126	109	583	46	86	52	
0	21	17	3	0	1	0	1	1	0	1	14	2	1	0	0	4	1	3	0	
1	12	1	1	4	2	1	1	2	0	0	6	1	0	0	0	9	0	0	0	
2	9	9	1	2	3	0	2	2	1	0	4	0	0	3	0	5	0	2	1	
0	6	6	1	0	1	1	0	0	0	0	2	1	0	0	0	9	0	0	0	
