"УИК №641"	"УИК №643"	"УИК №644"	"УИК №645"	"УИК №646"	"УИК №647"	"УИК №648"	"УИК №649"	"УИК №650"	"УИК №651"	"УИК №652"	"УИК №653"	"УИК №654"	"УИК №655"	"УИК №656"	"УИК №657"	"УИК №658"	"УИК №659"	"УИК №660"	"УИК №661"	"УИК №662"	"УИК №663"	"УИК №664"	"УИК №665"	"УИК №666"	"УИК №667"	"УИК №668"	"УИК №669"	"УИК №670"	"УИК №671"	"УИК №672"	"УИК №673"	"УИК №674"	"УИК №675"	"УИК №676"	"УИК №677"	"УИК №678"	"УИК №679"	"УИК №680"	"УИК №681"	"УИК №682"	"УИК №683"	"УИК №684"	"УИК №685"	"УИК №686"	"УИК №687"	"УИК №688"	"УИК №689"	"УИК №690"	"УИК №691"	"УИК №692"	"УИК №693"	"УИК №694"	"УИК №695"	"УИК №696"	"УИК №697"	"УИК №698"	"УИК №699"	"УИК №700"	"УИК №701"	"УИК №702"	"УИК №703"	"УИК №704"	"УИК №705"	"УИК №706"	"УИК №707"	"УИК №708"	"УИК №709"	"УИК №710"	"УИК №711"	"УИК №712"	"УИК №713"	"УИК №714"	"УИК №715"	"УИК №716"	"УИК №717"	"УИК №718"	"УИК №719"	"УИК №720"	
1970	42	142	433	1259	985	1233	384	478	408	533	303	764	1854	1250	445	109	462	1218	2185	335	984	1975	2138	423	515	800	231	1570	398	339	771	958	724	484	518	1454	1238	1862	1593	104	186	986	1516	874	389	755	184	514	258	215	170	160	318	357	456	173	627	121	983	608	2998	1866	949	1131	870	1188	135	308	1325	937	495	440	383	192	446	133	168	979	
1400	40	130	400	1000	1000	1000	350	450	400	450	250	600	1800	1000	450	110	450	1000	2000	300	950	2000	2000	350	500	750	220	1500	350	300	750	900	700	450	500	1400	1000	1800	1600	90	180	950	1400	900	350	750	180	500	250	200	150	150	300	350	450	130	600	120	1000	600	3000	1800	900	1000	850	1000	140	300	1300	900	500	400	350	180	450	130	150	1000	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1266	29	61	253	579	436	658	224	280	275	275	201	529	1181	803	262	62	194	705	1048	154	502	1277	1222	271	285	397	114	817	247	202	348	429	338	281	179	662	699	952	910	71	114	566	859	510	193	393	77	271	150	108	99	89	158	184	180	97	322	70	598	350	1919	1092	534	582	483	660	50	175	735	531	291	226	205	119	238	73	86	580	
7	4	8	22	59	52	37	30	28	29	74	2	2	13	16	15	4	20	35	40	7	17	14	16	5	10	18	7	43	10	5	73	111	19	2	47	24	21	30	22	0	6	16	19	11	8	17	3	60	12	8	19	4	5	19	24	7	34	4	19	13	50	15	23	61	18	30	7	7	35	13	18	22	10	7	8	1	11	34	
127	7	61	125	362	512	305	96	142	96	101	47	69	606	181	173	44	236	260	912	139	431	709	762	74	205	335	99	640	93	93	329	360	343	167	274	714	280	818	668	19	60	368	522	379	149	340	100	169	88	84	32	57	137	147	246	26	244	46	383	237	1031	693	343	357	349	310	83	118	530	356	191	152	135	54	204	56	53	386	
7	4	8	22	59	52	37	30	28	29	74	2	2	13	16	15	4	20	35	40	7	17	14	16	5	10	18	7	43	10	5	73	111	19	2	47	24	21	30	22	0	6	16	19	11	8	17	3	60	12	8	19	4	5	19	24	7	34	4	19	13	50	15	23	61	18	30	7	7	35	13	18	22	10	7	8	1	11	34	
1266	29	61	253	579	436	657	224	280	275	275	201	529	1181	803	262	62	194	705	1048	154	502	1275	1222	271	285	397	114	817	247	202	348	429	338	281	179	662	699	952	910	71	114	566	859	510	193	393	77	271	150	108	99	89	158	184	180	97	322	70	598	350	1919	1092	534	582	483	660	50	175	735	531	291	226	205	119	238	73	86	580	
13	0	1	1	5	4	2	2	3	2	3	2	9	15	9	5	2	3	2	18	0	3	14	17	2	4	3	1	15	3	1	4	7	8	3	4	2	6	11	14	1	0	4	9	5	1	3	1	0	2	0	2	0	1	1	1	0	3	0	8	5	48	13	3	9	5	12	0	2	11	5	9	1	6	0	3	2	0	6	
1260	33	68	274	633	484	692	252	305	302	346	201	522	1179	810	272	64	211	738	1070	161	516	1275	1221	274	291	412	120	845	254	206	417	533	349	280	222	684	714	971	918	70	120	578	869	516	200	407	79	331	160	116	116	93	162	202	203	104	353	74	609	358	1921	1094	554	634	496	678	57	180	759	539	300	247	209	126	243	72	97	608	
