"УИК №738"	"УИК №739"	"УИК №740"	"УИК №741"	"УИК №742"	"УИК №743"	"УИК №744"	"УИК №745"	"УИК №746"	"УИК №747"	"УИК №748"	"УИК №749"	"УИК №750"	"УИК №751"	"УИК №752"	"УИК №753"	"УИК №754"	"УИК №755"	"УИК №756"	"УИК №757"	"УИК №758"	"УИК №759"	
2031	2002	2511	2157	2101	2290	2240	2111	2147	2217	2553	2210	1983	2093	2128	2053	2424	2303	2236	2533	2548	2493	
2000	2000	2500	2000	2000	2200	2200	2000	2000	2200	2400	2200	2000	2000	2000	2000	2500	2400	2400	2500	2500	2500	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1243	1212	1646	1311	1308	1363	1296	1400	1345	1360	1602	1524	1344	1411	1452	1426	1634	1523	1474	1496	1699	1403	
43	63	93	62	51	60	52	48	48	48	30	39	26	38	32	34	31	64	33	46	56	88	
714	725	761	627	641	777	852	552	607	792	768	637	630	551	516	540	835	813	893	958	745	1009	
43	63	93	62	51	60	52	48	48	48	30	39	26	38	32	34	31	64	33	46	56	88	
1243	1210	1643	1310	1305	1363	1296	1400	1343	1360	1602	1524	1344	1411	1452	1425	1634	1520	1474	1496	1699	1403	
27	27	35	17	11	26	21	18	20	20	35	22	25	15	31	15	22	25	25	16	35	27	
1259	1246	1701	1355	1345	1397	1327	1430	1371	1388	1597	1541	1345	1434	1453	1444	1643	1559	1482	1526	1720	1464	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

8	13	19	16	11	7	8	5	16	16	22	12	16	15	9	15	18	8	16	15	18	10	
236	205	266	222	226	228	202	223	259	250	280	280	221	254	282	225	285	232	258	267	330	261	
97	89	118	132	122	130	140	91	101	99	150	100	119	78	133	99	113	131	121	131	113	138	
834	900	1209	926	932	961	922	1049	937	951	1084	1065	931	1000	959	1042	1122	1116	1004	1059	1155	1017	
41	10	34	29	22	27	19	25	26	30	22	42	24	42	31	22	39	38	37	25	44	15	
14	9	13	8	10	14	13	14	9	8	17	9	11	10	10	10	20	11	16	12	18	8	
6	8	20	13	8	13	12	9	8	13	8	15	9	15	14	17	22	10	14	10	22	8	
23	12	22	9	14	17	11	14	15	21	14	18	14	20	15	14	24	13	16	7	20	7	
