"УИК №860"	"УИК №861"	"УИК №862"	"УИК №863"	"УИК №864"	"УИК №865"	"УИК №866"	"УИК №867"	"УИК №868"	"УИК №869"	"УИК №870"	
1403	532	763	1293	1341	1256	1497	1338	1616	1571	1326	
1400	500	750	1300	1350	1250	1500	1350	1600	1600	1350	
0	0	0	0	0	0	0	0	0	0	0	
926	325	498	889	931	815	846	855	1039	918	747	
78	65	54	99	33	74	176	61	210	250	226	
396	110	198	312	386	361	478	434	351	432	377	
78	65	54	99	33	74	176	61	210	250	226	
926	325	498	889	931	815	846	855	1039	918	747	
12	5	7	12	15	8	10	6	8	8	12	
992	385	545	976	949	881	1012	910	1241	1160	961	
0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	

6	3	3	9	7	8	4	4	6	7	3	
127	31	84	97	76	89	98	89	113	106	113	
59	17	25	52	59	42	85	63	57	57	71	
759	322	411	786	780	718	799	727	1034	963	751	
17	2	11	8	8	9	10	16	11	4	6	
10	4	4	12	8	7	8	4	10	6	6	
5	1	5	8	6	2	4	3	8	11	10	
9	5	2	4	5	6	4	4	2	6	1	
