"УИК №4101"	"УИК №4102"	"УИК №4103"	"УИК №4104"	"УИК №4105"	"УИК №4106"	"УИК №4107"	"УИК №4108"	"УИК №4109"	"УИК №4110"	"УИК №4111"	"УИК №4112"	"УИК №4113"	"УИК №4114"	"УИК №4115"	"УИК №4116"	"УИК №4117"	"УИК №4118"	
627	371	696	643	341	298	154	317	143	1636	1440	715	398	562	264	108	330	361	
600	350	700	600	300	300	150	300	150	1450	1400	700	400	500	250	100	350	400	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
431	93	425	346	180	185	92	151	85	964	801	411	216	248	152	68	223	157	
30	188	72	72	96	64	15	69	34	95	81	39	57	110	30	10	34	126	
139	69	203	182	24	51	43	80	31	391	518	250	127	142	68	22	93	117	
30	188	72	72	96	64	15	69	34	95	81	39	57	110	30	10	34	126	
431	93	425	346	180	185	92	151	85	964	801	411	216	248	152	68	223	157	
6	4	4	3	7	3	3	6	1	7	12	3	1	3	3	0	1	3	
455	277	493	415	269	246	104	214	118	1052	870	447	272	355	179	78	256	280	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

4	4	4	6	2	1	0	4	1	5	8	3	3	2	1	1	4	3	
22	10	41	47	24	23	2	9	5	114	94	35	22	30	19	6	11	26	
33	24	41	22	30	23	21	33	16	88	78	39	27	33	13	15	16	13	
380	235	396	327	202	191	80	164	96	817	651	351	216	281	141	54	220	221	
6	2	6	4	7	2	1	0	0	13	17	9	0	4	2	1	1	4	
5	0	0	4	3	3	0	0	0	7	9	5	2	1	1	1	2	4	
5	1	3	4	0	0	0	2	0	5	6	4	1	4	2	0	2	5	
0	1	2	1	1	3	0	2	0	3	7	1	1	0	0	0	0	4	
