"УИК №596"	"УИК №597"	"УИК №598"	"УИК №599"	"УИК №600"	"УИК №601"	"УИК №602"	"УИК №603"	"УИК №604"	"УИК №605"	"УИК №606"	"УИК №607"	"УИК №608"	"УИК №609"	"УИК №610"	"УИК №611"	"УИК №612"	"УИК №613"	"УИК №614"	"УИК №615"	"УИК №616"	"УИК №617"	"УИК №618"	"УИК №619"	
1958	2071	1725	1834	1035	1560	735	1097	2034	694	813	1298	374	975	375	915	782	1818	1365	1135	684	686	623	436	
1844	1987	1632	1664	984	1465	721	1142	1915	655	790	1290	363	924	365	881	748	1758	1310	1092	646	666	608	411	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1570	1839	1383	1361	640	1307	561	650	1270	575	652	1105	334	777	315	802	665	1475	1193	931	510	555	421	345	
94	57	85	131	43	105	6	38	278	52	92	90	28	130	41	49	78	199	5	114	113	72	97	57	
180	91	164	172	301	53	154	454	367	28	46	95	1	17	9	30	5	84	112	47	23	39	90	9	
94	57	85	131	43	105	6	38	278	52	92	90	28	130	41	49	78	199	5	114	113	72	97	57	
1570	1839	1383	1361	640	1307	561	650	1270	575	652	1105	334	777	315	802	665	1475	1193	931	510	555	421	345	
0	9	7	5	7	12	4	6	14	6	1	17	8	26	0	0	2	7	14	0	5	0	3	5	
1664	1887	1461	1487	676	1400	563	682	1534	621	743	1178	354	881	356	851	741	1667	1184	1045	618	627	515	397	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

4	7	6	4	4	1	3	4	8	2	4	3	3	4	0	2	3	5	0	3	2	0	1	2	
110	165	140	107	79	70	78	117	48	44	48	53	8	56	6	49	49	130	75	66	32	41	44	53	
36	104	37	32	34	43	28	29	67	27	39	51	10	33	3	29	28	51	21	22	29	11	1	9	
1478	1579	1247	1323	552	1271	435	512	1384	542	641	1057	330	781	347	764	654	1461	1073	942	544	574	466	330	
12	11	8	4	1	4	3	6	12	2	7	7	2	3	0	4	4	6	15	5	3	0	0	0	
12	13	14	8	2	6	7	8	9	1	4	3	1	1	0	1	2	7	0	3	6	1	1	2	
5	4	5	7	3	3	7	3	4	2	0	2	0	0	0	0	1	3	0	2	1	0	1	1	
7	4	4	2	1	2	2	3	2	1	0	2	0	3	0	2	0	4	0	2	1	0	1	0	
