"УИК №259"	"УИК №260"	"УИК №261"	"УИК №262"	"УИК №263"	"УИК №264"	"УИК №265"	"УИК №266"	"УИК №267"	"УИК №268"	"УИК №269"	"УИК №270"	"УИК №271"	"УИК №272"	"УИК №273"	"УИК №274"	"УИК №275"	"УИК №276"	"УИК №277"	"УИК №278"	"УИК №279"	"УИК №280"	"УИК №281"	"УИК №282"	"УИК №283"	"УИК №284"	"УИК №285"	"УИК №286"	"УИК №287"	"УИК №288"	"УИК №289"	"УИК №290"	"УИК №291"	"УИК №292"	"УИК №293"	"УИК №294"	"УИК №295"	"УИК №296"	"УИК №297"	"УИК №298"	"УИК №299"	"УИК №300"	"УИК №301"	"УИК №302"	"УИК №303"	"УИК №304"	"УИК №305"	"УИК №306"	"УИК №307"	"УИК №308"	"УИК №309"	"УИК №310"	"УИК №311"	"УИК №312"	"УИК №313"	"УИК №314"	"УИК №315"	"УИК №316"	"УИК №317"	"УИК №318"	"УИК №319"	"УИК №320"	"УИК №321"	"УИК №322"	"УИК №323"	"УИК №324"	"УИК №325"	"УИК №326"	"УИК №327"	"УИК №328"	"УИК №329"	"УИК №330"	"УИК №331"	"УИК №332"	"УИК №333"	"УИК №334"	"УИК №335"	"УИК №336"	"УИК №337"	"УИК №338"	"УИК №339"	"УИК №340"	"УИК №341"	"УИК №342"	"УИК №343"	"УИК №344"	"УИК №345"	"УИК №346"	"УИК №347"	"УИК №348"	"УИК №349"	"УИК №350"	"УИК №351"	"УИК №352"	"УИК №353"	"УИК №354"	"УИК №355"	"УИК №356"	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

5	4	23	10	25	11	13	21	15	11	5	29	11	7	13	10	7	14	11	16	14	21	14	17	11	12	14	14	6	21	11	16	7	12	14	5	14	17	9	11	17	23	17	24	19	13	15	12	13	18	6	16	8	23	23	14	23	21	22	22	11	24	17	16	16	12	8	28	13	9	14	18	20	6	9	12	9	18	11	24	9	13	18	11	16	14	8	32	20	8	9	27	16	17	2	1	0	3	
179	43	293	271	321	271	340	213	268	251	83	289	325	311	235	178	242	246	237	287	305	384	283	255	308	257	292	262	280	281	240	240	220	184	319	209	183	275	198	274	254	254	245	306	333	251	245	254	191	209	199	289	295	331	260	217	493	219	301	360	247	420	308	292	332	182	171	340	225	229	305	286	288	197	236	245	301	217	273	285	244	218	181	225	209	156	146	383	478	119	173	279	301	344	18	4	19	39	
81	5	72	74	73	71	84	64	65	55	30	93	101	65	64	56	71	67	65	81	56	73	52	89	78	78	75	84	76	73	76	72	53	39	59	55	54	79	68	64	58	51	73	80	62	94	71	67	42	46	57	93	80	96	75	42	84	54	100	87	61	90	62	53	84	56	37	67	50	47	77	70	72	52	51	55	55	56	70	77	45	42	46	43	44	34	51	71	100	21	22	44	46	67	7	5	12	13	
632	132	841	776	933	816	857	672	709	749	315	990	852	869	751	550	701	691	758	833	910	929	868	845	843	793	825	741	752	874	813	765	575	464	755	662	646	858	672	780	758	758	827	969	784	733	750	756	547	575	525	906	761	806	731	637	1088	554	942	979	745	981	730	785	823	578	493	931	607	669	876	839	874	601	760	597	788	811	774	820	713	604	616	601	585	416	557	968	1012	256	328	804	987	996	86	62	90	143	
14	0	23	25	32	28	20	16	23	17	6	34	7	16	22	22	25	18	26	23	26	30	25	17	20	15	30	22	23	32	33	30	15	14	38	14	20	25	13	22	34	30	37	36	29	35	27	18	15	26	21	9	19	15	33	33	71	22	35	41	26	40	20	28	24	22	6	32	16	20	23	22	26	16	24	8	33	18	22	16	27	21	10	19	26	19	16	53	38	6	15	34	27	62	1	3	2	4	
11	1	11	6	9	4	15	5	10	2	3	16	6	4	9	5	5	4	2	9	9	11	5	4	11	9	3	8	6	2	10	12	9	3	9	7	6	11	1	5	14	11	4	7	11	7	5	7	5	6	9	10	6	5	8	5	6	6	17	10	6	13	10	7	7	6	2	8	9	6	10	4	9	4	3	2	4	7	8	10	3	2	6	11	5	2	6	7	5	7	3	13	10	3	0	0	0	1	
8	0	14	12	11	10	11	10	7	7	1	16	10	7	11	4	3	5	12	10	11	16	13	12	9	6	4	8	8	12	9	16	10	8	12	10	7	6	8	5	8	12	14	19	7	13	10	6	5	6	8	10	9	7	13	12	24	13	12	14	8	16	12	6	10	4	4	17	8	14	14	8	10	7	9	13	11	9	5	12	15	8	8	7	10	2	1	20	14	9	10	16	9	17	0	0	0	1	
4	0	15	14	20	4	13	19	11	10	0	36	5	5	23	9	7	10	14	18	14	23	13	15	8	14	17	9	8	15	13	18	13	20	18	12	11	7	16	15	21	26	12	21	11	13	16	11	13	16	17	14	17	9	21	20	27	19	17	33	10	25	14	15	19	12	3	23	7	14	9	14	7	11	13	8	14	11	10	13	16	11	11	17	12	7	8	15	25	2	7	29	28	20	2	0	0	0	
