"УИК №281"	"УИК №282"	"УИК №283"	"УИК №284"	"УИК №285"	"УИК №286"	"УИК №287"	"УИК №288"	"УИК №289"	"УИК №290"	"УИК №291"	"УИК №292"	"УИК №293"	"УИК №294"	"УИК №295"	"УИК №296"	"УИК №297"	"УИК №298"	
211	419	119	451	1145	2215	164	311	199	707	473	623	510	318	134	274	742	171	
235	535	115	530	1255	2375	165	315	220	785	520	685	570	345	140	405	800	220	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
74	159	68	178	644	1395	98	138	87	351	207	395	219	151	49	162	335	103	
98	183	28	170	113	126	37	108	79	238	195	145	197	109	59	53	223	36	
63	193	19	182	498	854	30	69	54	196	118	145	154	85	32	190	242	81	
98	183	28	170	113	126	37	108	79	238	195	145	197	109	59	53	223	36	
74	159	68	178	644	1395	98	138	87	351	207	395	219	151	49	162	335	103	
0	4	0	1	12	17	0	1	3	2	3	8	1	1	0	1	1	0	
172	338	96	347	745	1504	135	245	163	587	399	532	415	259	108	214	557	139	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	6	2	4	5	18	1	0	0	4	2	4	2	4	0	1	4	7	
18	34	11	47	121	287	6	21	19	80	48	42	35	32	4	19	27	17	
16	34	3	47	62	103	5	25	11	36	34	45	31	28	16	14	45	7	
133	250	79	241	516	1040	123	196	128	464	310	429	333	189	84	170	472	107	
1	7	0	3	20	12	0	2	3	2	2	4	8	1	3	1	1	0	
2	2	0	4	10	14	0	0	2	0	1	4	3	1	1	6	3	1	
0	4	1	0	6	14	0	1	0	1	0	3	2	0	0	2	2	0	
0	1	0	1	5	16	0	0	0	0	2	1	1	4	0	1	3	0	
