"УИК №471"	"УИК №472"	"УИК №473"	"УИК №474"	"УИК №475"	"УИК №476"	"УИК №477"	"УИК №478"	"УИК №479"	"УИК №480"	"УИК №481"	"УИК №482"	"УИК №483"	"УИК №484"	"УИК №485"	"УИК №486"	"УИК №487"	"УИК №488"	"УИК №489"	"УИК №490"	"УИК №491"	
1051	1176	1098	1047	1022	1034	1019	1124	1188	1197	1340	1364	1224	1268	1272	1018	1127	1028	1086	1286	1294	
1030	900	1040	1020	990	1100	990	1080	1180	1210	1280	1270	1170	1230	1220	950	1030	980	1060	1230	1190	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
548	518	665	595	505	545	596	514	462	449	751	620	543	533	623	515	545	500	479	698	593	
11	30	37	27	17	24	21	13	12	8	31	25	14	31	19	44	15	13	18	22	66	
471	352	338	398	468	531	373	553	706	753	498	625	613	666	578	391	470	467	563	510	531	
11	30	37	27	17	24	21	13	12	8	31	25	14	31	19	44	15	13	18	22	66	
548	518	665	595	505	545	596	514	462	449	751	620	543	533	623	515	545	500	479	698	593	
4	13	9	8	8	8	8	8	8	4	12	6	7	10	5	9	6	13	6	7	7	
555	535	693	614	514	561	609	519	466	453	770	639	550	554	637	550	554	500	491	713	652	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	4	3	4	2	1	2	4	2	1	4	2	3	3	2	2	3	6	0	5	3	
102	108	144	110	88	125	145	104	91	88	137	113	99	103	106	95	92	81	87	133	112	
51	46	58	57	50	42	54	53	37	62	65	63	77	66	62	39	60	59	82	57	75	
391	361	468	427	358	377	394	356	333	297	550	453	362	372	457	411	386	344	316	495	448	
3	5	6	6	5	4	7	0	2	2	2	2	0	6	4	1	3	3	2	10	4	
0	5	5	3	7	4	5	1	1	2	3	2	5	3	4	0	5	2	2	4	5	
5	0	5	4	2	2	2	1	0	1	5	2	3	0	0	1	2	2	1	3	4	
0	6	4	3	2	6	0	0	0	0	4	2	1	1	2	1	3	3	1	6	1	
