"УИК №1701"	"УИК №1702"	"УИК №1703"	"УИК №1704"	"УИК №1705"	"УИК №1706"	"УИК №1707"	"УИК №1708"	"УИК №1709"	"УИК №1710"	"УИК №1711"	"УИК №1712"	"УИК №1713"	"УИК №1714"	"УИК №1715"	"УИК №1716"	
1610	892	1253	1017	510	214	566	405	368	247	522	261	237	466	400	651	
1137	819	950	719	360	139	469	372	280	182	395	223	183	379	294	556	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
954	574	679	649	212	102	284	259	129	71	296	129	130	291	170	430	
43	144	147	36	129	34	126	87	112	111	79	64	37	46	102	57	
140	101	124	34	19	3	59	26	39	0	20	30	16	42	22	69	
43	144	147	36	129	34	126	87	112	111	79	64	37	46	102	57	
954	574	679	649	212	102	284	259	129	71	296	129	130	291	170	430	
16	14	14	8	1	0	3	2	2	0	1	0	1	2	2	10	
981	704	812	677	340	136	407	344	239	182	374	193	166	335	270	477	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

11	3	8	10	1	0	1	0	0	1	1	0	1	1	1	2	
147	95	134	64	41	24	48	35	19	15	25	11	3	67	36	75	
86	60	40	48	23	3	34	21	16	17	24	6	9	26	20	40	
702	530	611	543	268	104	319	279	196	144	314	173	149	231	209	343	
18	4	4	8	1	2	1	3	1	1	2	1	1	3	4	7	
3	8	5	1	3	3	4	1	2	0	6	0	0	4	0	6	
5	3	5	2	2	0	0	2	4	4	1	1	2	3	0	4	
9	1	5	1	1	0	0	3	1	0	1	1	1	0	0	0	
