"УИК №378"	"УИК №379"	"УИК №380"	"УИК №381"	"УИК №382"	"УИК №383"	"УИК №384"	"УИК №385"	"УИК №386"	"УИК №387"	"УИК №388"	"УИК №389"	"УИК №390"	"УИК №391"	"УИК №392"	"УИК №393"	"УИК №394"	"УИК №395"	"УИК №396"	"УИК №397"	"УИК №398"	"УИК №399"	"УИК №400"	"УИК №401"	"УИК №402"	"УИК №403"	"УИК №404"	"УИК №405"	"УИК №406"	"УИК №407"	"УИК №408"	"УИК №409"	"УИК №410"	"УИК №411"	"УИК №412"	
1505	1553	896	1382	1410	815	1572	1205	809	962	1042	1172	825	237	507	1893	352	559	337	321	486	307	249	222	147	506	682	749	1118	192	718	488	190	416	1340	
1470	1500	850	1350	1350	750	1550	1100	720	930	860	1160	800	235	500	1830	330	530	340	310	490	330	250	210	145	510	685	750	1150	190	730	490	190	420	1340	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
927	1023	684	917	946	635	981	949	518	652	633	644	658	187	261	1132	230	402	244	221	354	230	159	164	103	395	470	537	746	131	492	348	134	304	1279	
167	55	51	135	109	85	87	67	77	47	173	210	33	40	65	222	55	37	26	54	68	38	26	20	16	81	89	80	171	25	50	57	39	52	48	
376	422	115	298	295	30	482	84	125	231	54	306	109	8	174	476	45	91	70	35	68	62	65	26	26	34	126	133	233	34	188	85	17	64	13	
167	55	51	135	109	85	87	67	77	47	173	210	33	40	65	222	55	37	26	54	68	38	26	20	16	81	89	80	171	25	50	57	39	52	48	
927	1023	684	917	946	635	981	949	518	652	633	644	658	187	261	1132	230	401	244	221	354	230	159	164	103	395	470	537	746	131	492	348	134	304	1279	
10	17	7	8	14	10	13	9	10	13	14	7	4	2	2	19	2	7	7	5	1	5	2	5	0	3	9	8	16	2	9	5	6	3	32	
1084	1061	728	1044	1041	710	1055	1007	585	686	792	847	687	225	324	1335	283	431	263	270	421	263	183	179	119	473	550	609	901	154	533	400	167	353	1295	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	4	5	5	5	1	7	3	5	3	3	6	3	1	1	9	2	0	2	0	3	2	0	0	0	0	0	1	7	0	1	0	0	1	4	
121	159	75	117	122	73	117	123	44	69	96	128	60	3	45	102	16	44	32	20	34	11	8	8	8	40	58	38	97	9	70	46	10	23	90	
45	55	31	58	62	26	71	44	37	41	32	44	47	7	25	91	8	30	12	9	26	22	10	10	6	26	25	36	82	14	39	11	7	43	104	
896	826	595	839	817	592	837	802	475	558	655	649	572	209	250	1114	255	350	213	239	353	219	163	156	102	400	460	526	691	129	414	340	148	281	1069	
8	7	10	9	11	5	5	14	2	6	3	9	3	1	1	7	2	1	1	2	1	3	0	1	0	5	3	3	17	1	4	0	1	1	5	
5	1	5	9	13	3	12	11	8	4	1	5	0	3	0	5	0	1	0	0	4	5	0	0	1	2	2	3	3	0	3	2	1	2	4	
2	5	4	5	7	10	1	4	8	3	2	6	1	0	1	6	0	4	3	0	0	1	2	3	0	0	1	1	3	1	1	1	0	1	10	
4	4	3	2	4	0	5	6	6	2	0	0	1	1	1	1	0	1	0	0	0	0	0	1	2	0	1	1	1	0	1	0	0	1	9	
