"УИК №250"	"УИК №251"	"УИК №252"	"УИК №253"	"УИК №254"	"УИК №255"	"УИК №256"	"УИК №257"	"УИК №258"	"УИК №259"	"УИК №260"	"УИК №261"	"УИК №262"	"УИК №263"	"УИК №264"	"УИК №265"	"УИК №266"	"УИК №267"	"УИК №268"	"УИК №269"	"УИК №270"	"УИК №271"	"УИК №272"	"УИК №273"	"УИК №274"	"УИК №275"	"УИК №276"	"УИК №277"	"УИК №278"	"УИК №279"	"УИК №280"	"УИК №281"	"УИК №282"	"УИК №283"	"УИК №284"	"УИК №285"	"УИК №286"	"УИК №287"	"УИК №288"	"УИК №289"	"УИК №290"	"УИК №291"	"УИК №292"	"УИК №293"	"УИК №294"	"УИК №295"	"УИК №296"	
1528	1689	1642	1977	1791	1678	1812	1781	1835	1806	2214	2026	2084	2452	1997	2176	2070	1940	2101	2165	1910	2504	670	751	1165	827	2391	342	2126	1457	1972	2305	1980	762	1898	1700	1718	1765	414	1323	361	2647	1124	198	880	879	1633	
1350	1700	1600	1950	1800	1650	1850	1800	1800	1850	2000	2050	2000	2464	2050	2150	2100	2050	2050	2150	2050	2700	700	800	1300	1000	2700	350	2200	1450	2100	2500	2100	750	2000	1950	1900	1900	400	1350	370	2800	1100	200	1000	900	1700	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
974	969	1082	1183	1110	1074	1175	1011	1021	1012	1110	1388	1046	2452	1630	1243	1190	1497	1256	1334	990	1351	313	456	747	538	1633	85	1109	757	1394	1849	1046	438	1020	910	1052	997	281	692	180	1238	788	143	510	497	906	
7	18	19	100	212	128	192	127	79	59	423	78	118	0	82	76	150	189	114	260	162	531	203	188	121	154	45	139	252	167	89	134	490	163	187	220	186	179	29	194	50	391	113	47	52	44	311	
369	713	499	667	478	448	483	662	700	779	467	584	836	12	338	831	760	364	680	556	898	818	184	156	432	308	1022	126	839	526	617	517	564	149	793	820	662	724	90	464	140	1171	199	10	438	359	483	
7	18	19	100	212	128	192	127	79	59	423	78	118	0	82	76	150	189	114	260	162	531	203	188	121	154	45	139	252	167	89	134	490	163	187	220	186	179	29	194	50	391	113	47	52	44	311	
974	968	1081	1179	1110	1074	1175	1010	1021	1011	1110	1310	1046	2452	1630	1243	1190	1497	1256	1334	990	1351	313	456	747	538	1633	85	1109	756	1394	1848	1046	438	1020	910	1052	997	281	692	180	1238	788	143	510	497	904	
16	14	17	15	19	11	27	6	20	14	19	20	21	92	18	27	18	22	9	27	8	24	3	14	15	6	24	3	19	8	22	15	24	3	25	24	18	16	4	6	0	18	0	0	5	7	9	
965	972	1083	1264	1303	1191	1340	1131	1080	1056	1514	1368	1143	2360	1694	1292	1322	1664	1361	1567	1144	1858	513	630	853	686	1654	221	1342	915	1461	1967	1512	598	1182	1106	1220	1160	306	880	230	1611	901	190	557	534	1206	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

6	6	7	6	7	3	6	8	6	11	12	11	9	13	5	13	8	7	6	11	8	9	3	5	3	5	6	2	21	4	3	7	4	5	4	5	8	13	0	1	2	8	1	0	1	2	11	
145	142	139	186	164	150	190	167	133	149	228	172	197	245	177	195	185	187	186	204	177	245	67	115	102	80	251	31	217	113	245	184	191	78	172	157	199	195	35	122	30	201	86	14	146	80	147	
58	64	50	78	76	67	47	59	55	27	80	74	88	174	70	61	76	55	53	70	65	102	11	28	41	29	137	7	65	52	143	71	78	40	64	75	54	88	18	46	14	78	47	7	31	34	65	
735	724	851	944	1023	938	1055	852	854	837	1145	1088	815	1862	1412	986	1002	1382	1077	1247	851	1449	427	477	693	563	1223	177	1020	729	1049	1666	1205	462	922	848	939	846	240	697	180	1291	761	164	362	413	959	
13	14	17	17	14	11	13	15	8	6	17	8	11	47	8	16	30	13	14	12	19	15	0	0	5	7	15	0	4	8	8	10	9	2	7	3	7	4	8	6	3	10	4	1	9	2	8	
2	9	9	16	8	5	12	7	8	7	5	10	7	6	16	5	4	5	9	11	14	14	4	3	4	1	11	2	6	6	6	17	14	6	3	10	6	4	3	2	0	15	1	4	5	1	11	
5	7	4	10	2	10	10	10	7	12	18	1	10	8	3	9	12	6	10	9	5	18	1	1	2	1	7	2	9	1	4	8	6	4	5	4	5	9	2	5	1	4	1	0	1	2	3	
1	6	6	7	9	7	7	13	9	7	9	4	6	5	3	7	5	9	6	3	5	6	0	1	3	0	4	0	0	2	3	4	5	1	5	4	2	1	0	1	0	4	0	0	2	0	2	
