"УИК №260"	"УИК №262"	"УИК №263"	"УИК №264"	"УИК №265"	"УИК №266"	"УИК №267"	"УИК №268"	"УИК №269"	"УИК №270"	"УИК №271"	"УИК №272"	"УИК №273"	"УИК №274"	"УИК №276"	"УИК №277"	
724	478	405	217	822	526	218	237	523	321	2200	1392	112	719	102	191	
650	400	350	180	700	450	175	205	440	260	1900	1200	100	545	90	155	
0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	
344	300	184	130	420	263	129	156	254	160	1293	866	47	371	68	109	
78	51	34	23	111	70	13	23	69	29	96	82	31	58	4	15	
228	49	132	27	169	117	33	26	117	71	511	252	22	58	18	31	
78	51	34	23	111	70	13	23	69	29	96	82	31	116	4	15	
344	300	184	130	420	263	129	156	254	160	1293	866	47	371	68	109	
4	4	3	0	7	5	0	0	3	0	13	7	0	7	2	2	
418	347	215	153	524	328	142	179	320	189	1376	941	78	480	70	122	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

4	3	2	3	4	1	1	3	2	3	11	6	0	4	0	1	
28	20	36	24	80	57	8	26	34	13	178	130	3	55	3	15	
29	33	27	18	36	40	12	15	36	26	115	99	7	67	6	14	
347	282	138	106	387	225	116	131	241	138	1029	677	68	341	61	88	
7	0	5	1	10	2	0	0	1	4	21	9	0	7	0	3	
2	4	4	1	2	1	5	1	1	2	5	5	0	1	0	1	
1	2	1	0	2	0	0	1	4	2	8	6	0	3	0	0	
0	3	2	0	3	2	0	2	1	1	9	9	0	2	0	0	
