"УИК №1788"	"УИК №1789"	"УИК №1790"	"УИК №1791"	"УИК №1792"	"УИК №1793"	"УИК №1794"	"УИК №1795"	"УИК №1796"	"УИК №1797"	"УИК №1798"	"УИК №1799"	"УИК №1800"	"УИК №1801"	
2452	2823	2286	2720	2393	2331	2333	2093	2500	222	361	683	1261	305	
1900	2100	2000	2000	2000	2000	2000	1700	1900	200	300	650	1100	300	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1774	1921	1460	1646	1653	1601	1668	1492	1780	176	242	433	697	221	
18	54	46	109	55	47	30	31	8	1	6	33	36	12	
108	125	494	245	292	352	302	177	112	23	52	184	367	67	
18	54	46	109	55	47	30	31	8	1	6	33	36	12	
1774	1918	1459	1646	1653	1600	1668	1492	1779	176	242	433	697	221	
30	26	27	16	35	21	17	26	23	4	0	7	6	5	
1762	1946	1478	1739	1673	1626	1681	1497	1764	173	248	459	727	228	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	

14	5	8	14	9	11	17	13	18	2	1	5	8	0	
236	267	178	237	184	194	176	173	211	31	30	53	97	32	
111	130	96	118	119	79	107	107	109	14	21	58	62	10	
1295	1443	1112	1290	1276	1279	1278	1099	1327	120	183	331	541	175	
44	47	30	33	31	32	41	48	52	4	7	6	8	8	
16	7	12	8	14	6	14	11	5	0	1	2	3	1	
22	21	14	18	17	9	23	21	20	2	2	0	2	1	
24	26	28	21	23	16	25	25	22	0	3	4	6	1	
