"УИК №112"	"УИК №113"	"УИК №114"	"УИК №115"	"УИК №116"	"УИК №117"	"УИК №118"	"УИК №119"	"УИК №120"	
2194	1382	2745	1584	1500	2104	2450	2035	2327	
2200	1300	2600	1500	1500	2600	2400	1950	2250	
0	0	0	0	0	0	0	0	0	
1803	1108	2460	1260	1328	1773	2027	1950	1909	
25	0	0	1	0	50	6	0	0	
372	192	140	239	172	777	367	0	341	
25	0	0	1	0	50	6	0	0	
1803	1108	2460	1260	1328	1773	2027	1950	1909	
0	8	0	0	0	0	0	0	23	
1828	1100	2460	1261	1328	1823	2033	1950	1886	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	

27	1	21	19	18	27	6	11	38	
79	34	61	54	53	78	219	50	348	
77	1	45	53	52	76	11	37	48	
1503	1051	2218	1035	1109	1499	1651	1780	1235	
34	8	21	24	23	34	57	12	132	
11	1	8	8	7	11	16	10	27	
59	1	41	42	41	60	6	30	25	
38	3	45	26	25	38	67	20	33	
