"УИК №945"	"УИК №946"	"УИК №947"	"УИК №948"	"УИК №949"	"УИК №950"	"УИК №951"	"УИК №952"	"УИК №953"	"УИК №954"	"УИК №955"	"УИК №956"	"УИК №957"	"УИК №958"	"УИК №959"	"УИК №960"	"УИК №961"	"УИК №962"	"УИК №963"	"УИК №964"	"УИК №965"	"УИК №966"	"УИК №967"	"УИК №968"	"УИК №969"	"УИК №970"	"УИК №971"	"УИК №972"	"УИК №973"	"УИК №974"	"УИК №975"	"УИК №976"	"УИК №977"	"УИК №978"	"УИК №979"	"УИК №980"	"УИК №981"	"УИК №982"	"УИК №983"	"УИК №984"	"УИК №985"	"УИК №986"	"УИК №987"	"УИК №988"	"УИК №989"	"УИК №990"	"УИК №991"	"УИК №992"	"УИК №993"	"УИК №994"	
388	512	772	435	352	835	336	590	660	117	837	404	573	671	247	125	232	601	607	484	300	387	574	506	205	82	298	597	266	781	526	529	194	1523	2750	1342	1470	1445	443	486	198	515	220	352	439	213	348	273	167	716	
395	507	777	423	357	852	341	589	670	115	844	407	576	674	247	126	231	605	627	502	302	391	574	505	207	83	296	601	266	801	541	531	192	1474	2804	1351	1468	1470	447	484	200	530	217	352	447	211	355	276	168	718	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
276	377	533	410	316	707	224	510	380	80	609	271	278	431	212	90	200	577	420	386	215	257	360	390	150	66	251	534	224	459	423	367	166	1372	1538	757	894	707	290	400	109	381	162	193	396	187	333	232	160	602	
79	127	89	12	26	73	98	49	74	17	100	64	170	174	13	28	14	13	151	76	31	86	149	66	24	12	25	12	20	88	103	57	17	89	93	18	16	57	30	70	85	63	18	44	30	19	0	30	0	50	
40	3	155	1	15	72	19	30	216	18	135	72	128	69	22	8	17	15	56	40	56	48	65	49	33	5	20	55	22	254	15	107	9	13	1173	576	558	706	127	14	6	86	37	115	21	5	22	14	8	66	
79	127	89	12	26	73	98	49	74	17	100	64	170	174	13	28	14	13	151	76	31	86	149	66	24	12	25	12	20	88	103	57	17	89	93	18	16	57	30	70	85	63	18	44	30	19	0	30	0	50	
276	377	533	410	316	707	224	510	380	80	609	271	278	431	212	90	200	577	420	386	215	257	360	390	150	66	251	534	224	459	423	367	166	1372	1538	757	894	707	290	400	109	381	162	193	396	187	333	232	160	602	
0	3	2	0	1	0	0	0	3	0	7	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	3	0	0	0	27	7	11	6	0	2	0	3	0	2	1	3	0	0	0	0	
355	501	620	422	341	780	322	559	451	97	702	335	439	605	225	118	214	590	571	462	246	343	509	456	174	78	276	543	241	547	523	424	183	1461	1604	768	899	758	320	468	194	441	180	235	425	203	333	262	160	652	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	0	2	7	3	15	0	2	0	1	4	0	2	7	4	0	0	0	2	0	1	0	4	2	1	1	0	3	0	1	3	0	0	2	17	10	7	3	2	0	0	2	3	0	3	0	0	0	0	3	
79	24	86	28	28	99	26	55	99	10	117	68	44	76	23	19	24	108	114	16	27	42	127	51	13	4	35	70	29	127	73	106	25	204	402	164	219	130	60	83	15	131	30	39	19	35	39	25	21	133	
13	16	32	6	12	25	3	15	10	4	25	19	14	33	7	9	9	7	5	2	16	10	9	18	6	3	14	10	11	25	16	21	9	8	66	35	27	65	23	6	4	11	8	21	8	2	2	3	1	10	
258	450	492	381	289	626	293	471	337	80	540	244	365	469	187	88	177	461	440	442	195	287	355	381	150	70	210	456	184	383	422	287	149	1238	1086	535	614	534	225	377	174	291	131	168	390	164	290	229	134	490	
0	11	0	0	5	7	0	5	1	1	7	4	1	3	3	1	0	6	3	0	4	2	3	3	3	0	17	0	8	2	2	3	0	2	11	9	13	7	4	2	0	3	1	5	0	1	0	3	2	0	
2	0	5	0	4	2	0	6	1	0	8	0	11	15	1	0	4	2	4	2	2	1	11	1	1	0	0	2	5	5	5	3	0	4	5	6	10	10	3	0	1	0	6	1	3	1	2	1	0	5	
2	0	2	0	0	3	0	5	2	1	0	0	1	0	0	1	0	2	2	0	0	1	0	0	0	0	0	2	2	4	1	2	0	2	10	8	6	7	1	0	0	1	1	0	1	0	0	0	0	5	
1	0	1	0	0	3	0	0	1	0	1	0	1	2	0	0	0	4	1	0	1	0	0	0	0	0	0	0	2	0	1	2	0	1	7	1	3	2	2	0	0	2	0	1	1	0	0	1	2	6	
