"УИК №70"	"УИК №71"	"УИК №72"	"УИК №73"	"УИК №74"	"УИК №75"	"УИК №76"	
1319	1337	405	1879	1569	1779	1736	
1350	1400	400	2000	1700	1900	1750	
0	0	0	0	0	0	0	
1191	1251	359	1654	1376	1513	1510	
77	45	30	53	100	150	34	
82	104	11	293	224	237	206	
77	45	30	53	100	150	34	
1191	1251	359	1654	1376	1513	1510	
0	3	0	0	0	0	0	
1268	1293	389	1707	1476	1663	1544	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	

2	2	1	3	3	3	3	
91	93	30	97	95	94	345	
47	48	19	62	55	61	52	
1112	1134	334	1523	1305	1485	1125	
2	2	1	2	2	2	2	
5	5	1	7	6	7	6	
1	1	1	2	1	1	1	
8	8	2	11	9	10	10	
