"УИК №949"	"УИК №950"	"УИК №951"	"УИК №952"	"УИК №953"	"УИК №954"	"УИК №955"	"УИК №956"	"УИК №957"	"УИК №958"	"УИК №959"	"УИК №960"	"УИК №961"	"УИК №962"	"УИК №963"	"УИК №964"	"УИК №965"	"УИК №966"	"УИК №967"	"УИК №968"	"УИК №969"	"УИК №970"	"УИК №971"	"УИК №972"	"УИК №973"	"УИК №974"	"УИК №975"	"УИК №976"	"УИК №977"	"УИК №978"	"УИК №979"	"УИК №980"	"УИК №981"	"УИК №982"	"УИК №983"	"УИК №984"	"УИК №985"	"УИК №986"	"УИК №987"	"УИК №988"	"УИК №989"	"УИК №990"	"УИК №991"	"УИК №992"	"УИК №993"	"УИК №994"	"УИК №995"	"УИК №996"	"УИК №997"	"УИК №998"	"УИК №999"	"УИК №1000"	"УИК №1001"	"УИК №1002"	"УИК №1003"	"УИК №1004"	"УИК №1005"	"УИК №1006"	"УИК №1007"	"УИК №1008"	"УИК №1009"	"УИК №1010"	
1039	988	1901	1162	681	1763	1794	953	847	1341	809	1041	1059	1132	798	1157	385	665	104	148	372	382	197	249	472	563	65	272	75	95	302	127	333	79	222	96	335	113	364	428	119	320	111	94	505	830	104	134	489	111	56	262	84	226	66	627	90	215	222	613	54	316	
1000	950	1900	1000	600	1700	1800	900	800	1300	800	1000	1000	1000	800	1000	350	600	100	150	350	350	150	250	450	550	80	250	70	90	250	130	320	70	200	90	300	100	350	400	100	300	100	90	500	800	100	100	450	100	70	250	80	200	60	650	90	200	200	600	50	300	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
479	445	1022	681	356	968	847	606	472	706	415	477	468	492	356	449	216	439	57	91	233	192	94	114	247	325	61	171	52	83	177	69	225	56	122	66	233	93	237	285	71	204	47	66	266	468	52	65	292	57	56	168	69	147	52	370	50	133	145	316	41	223	
28	24	111	71	23	94	72	38	51	106	17	23	37	41	27	38	18	57	20	29	31	16	26	29	43	29	4	8	0	0	29	10	12	1	16	0	8	0	10	23	4	32	10	5	28	61	15	19	35	17	0	17	2	9	2	28	8	6	6	35	0	19	
493	481	767	248	221	638	881	256	277	488	368	500	495	467	417	513	116	104	23	30	86	142	30	107	160	196	15	71	18	7	44	51	83	13	62	24	59	7	103	92	25	64	43	19	206	271	33	16	123	26	14	65	9	44	6	252	32	61	49	249	9	58	
28	24	111	71	23	94	72	38	51	106	17	23	37	41	27	38	18	57	20	29	31	16	26	29	43	29	4	8	0	0	29	10	12	1	16	0	8	0	10	23	4	32	10	5	28	61	15	19	35	17	0	17	2	9	2	28	8	6	6	35	0	19	
479	445	1022	681	356	968	847	606	472	706	415	477	468	492	356	449	216	439	57	91	233	192	94	114	247	325	61	171	52	83	177	69	225	56	122	66	233	93	237	285	71	204	47	66	266	468	52	65	292	57	56	168	69	147	52	370	50	133	145	316	41	223	
12	8	14	11	2	17	14	10	7	15	5	7	14	5	14	6	3	3	0	1	0	2	0	4	3	5	0	2	1	0	0	2	1	0	0	0	0	0	4	3	1	6	0	0	2	9	0	2	8	1	0	1	0	0	0	6	0	1	0	3	0	2	
495	461	1119	741	377	1045	905	634	516	797	427	493	491	528	369	481	231	493	77	119	264	206	120	139	287	349	65	177	51	83	206	77	236	57	138	66	241	93	243	305	74	230	57	71	292	520	67	82	319	73	56	184	71	156	54	392	58	138	151	348	41	240	
